Date,Equitorial,Forecast(Equitorial),Lower Confidence Bound(Equitorial),Upper Confidence Bound(Equitorial)
1900,25.18896154,,,
1901,25.05623205,,,
1902,24.87077179,,,
1903,24.85712308,,,
1904,24.43784744,,,
1905,25.01840385,,,
1906,24.98763077,,,
1907,24.75795897,,,
1908,24.85127308,,,
1909,24.79846538,,,
1910,24.81238462,,,
1911,24.77460769,,,
1912,25.07608974,,,
1913,25.01095128,,,
1914,25.27131538,,,
1915,25.34980513,,,
1916,24.96593718,,,
1917,24.91108846,,,
1918,24.77641923,,,
1919,25.24756154,,,
1920,25.03639231,,,
1921,25.07526923,,,
1922,25.0380641,,,
1923,24.9707,,,
1924,25.20426026,,,
1925,24.95877692,,,
1926,25.43250897,,,
1927,25.24572051,,,
1928,25.23616923,,,
1929,25.09117436,,,
1930,25.30014872,,,
1931,25.54685641,,,
1932,25.19684359,,,
1933,25.26946154,,,
1934,25.17213718,,,
1935,25.27153974,,,
1936,25.30817179,,,
1937,25.44743333,,,
1938,25.3743641,,,
1939,25.18025897,,,
1940,25.46320385,,,
1941,25.84708974,,,
1942,25.59722308,,,
1943,25.1576859,,,
1944,25.42492692,,,
1945,25.43293846,,,
1946,25.42798077,,,
1947,25.54270256,,,
1948,25.36446026,,,
1949,25.36312692,,,
1950,25.16738974,,,
1951,25.44572436,,,
1952,25.45484615,,,
1953,25.47882179,,,
1954,25.23482949,,,
1955,25.12530513,,,
1956,25.09452564,,,
1957,25.45257949,,,
1958,25.63938333,,,
1959,25.53433974,,,
1960,25.43469615,,,
1961,25.32154103,,,
1962,25.32150769,,,
1963,25.47662564,,,
1964,25.3017359,,,
1965,25.30412821,,,
1966,25.50772436,,,
1967,25.26389872,,,
1968,25.33234872,,,
1969,25.64804231,,,
1970,25.53369744,,,
1971,25.18605641,,,
1972,25.50310385,,,
1973,25.72118462,,,
1974,25.19812564,,,
1975,25.19153974,,,
1976,25.22595897,,,
1977,25.57794359,,,
1978,25.46640769,,,
1979,25.63919872,,,
1980,25.63683718,,,
1981,25.50426795,,,
1982,25.46072308,,,
1983,25.79635897,,,
1984,25.39235513,,,
1985,25.42466667,,,
1986,25.45690513,,,
1987,26.04478462,,,
1988,25.71398333,,,
1989,25.4199859,,,
1990,25.75926154,,,
1991,25.64439103,,,
1992,25.58814872,,,
1993,25.64095128,,,
1994,25.60418718,,,
1995,25.81867564,,,
1996,25.68704744,,,
1997,25.85427436,,,
1998,26.32043846,,,
1999,25.63752308,,,
2000,25.69128333,,,
2001,25.80588205,,,
2002,26.04144872,,,
2003,26.0429641,,,
2004,26.03158718,,,
2005,26.10022436,,,
2006,26.04243974,,,
2007,26.00265769,,,
2008,25.80247949,,,
2009,26.13893077,,,
2010,26.24627949,,,
2011,25.89633974,,,
2012,25.94242308,,,
2013,26.17146538,26.17146538,26.17,26.17
2014,,25.89156208,25.50,26.28
2015,,25.89456344,25.50,26.29
2016,,26.09810177,25.70,26.50
2017,,25.8550746,25.45,26.26
2018,,25.92390397,25.52,26.33
2019,,26.24036072,25.83,26.65
2020,,26.12650406,25.71,26.54
2021,,25.77984588,25.36,26.20
2022,,26.09708525,25.68,26.52
2023,,26.31547576,25.89,26.74
2024,,26.00503394,25.58,26.43
2025,,25.87878659,25.45,26.31
2026,,26.13346589,25.70,26.57
2027,,26.21553817,25.78,26.65
2028,,26.15458015,25.72,26.59
2029,,26.16690303,25.72,26.61
2030,,26.26774438,25.82,26.71
2031,,26.32248259,25.87,26.77
2032,,26.12535775,25.67,26.58
2033,,26.33106966,25.87,26.79
2034,,26.07978767,25.62,26.54
2035,,26.14399398,25.68,26.61
2036,,26.17795973,25.71,26.65
2037,,26.54083081,26.07,27.01
2038,,26.33782675,25.86,26.81
2039,,26.09268576,25.61,26.57
2040,,26.40232654,25.92,26.88
2041,,26.53829568,26.05,27.02
2042,,26.3857606,25.90,26.88
2043,,26.19392662,25.70,26.69
2044,,26.30992273,25.81,26.81
2045,,26.42241405,25.92,26.92
