Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
World,32363.07,32523.96,32426.66,32509.02,32714.02,33428.59,33785.76,35091.51,34608.21,34610.64,35256.48,35345.86,36359.55,37234.16,39037.49,39901.06,41421.45,42226.46,42604.61,42643.12,44337.35,44476.66,45024.18,45636.26,46230.51,46311.75,46960.71,47528.24,48481.49
China,2879.33,3030.6400000000003,3165.7799999999997,3387.6,3539.64,3929.4700000000003,3967.16,3973.76,4113.87,4064.22,4263.51,4475.42,4786.41,5403.9,6158.63,6889.18,7578.240000000001,8199.49,8488.93,9082.09,9915.85,10411.81,10737.21,11189.42,11200.39,11202.859999999999,11264.73,11469.83,11769.64
United States,5674.3,5639.01,5727.82,5823.7300000000005,5912.39,5981.79,6145.25,6385.22,6420.29,6431.76,6593.759999999999,6520.35,6385.78,6429.2,6528.47,6552.6,6465.14,6565.7699999999995,6374.29,5934.82,6190.410000000001,5942.41,5670.27,5809.14,5830.11,5711.15,5813.76,5761.88,5939.19
India,1014.57,1069.36,1101.67,1133.84,1180.6200000000001,1246.8,1296.27,1354.64,1388.95,1467.29,1505.4,1754.78,1777.16,1825.52,1914.21,1987.47,2084.98,2232.36,2329.97,2481.05,2590.88,2624.7,2772.0299999999997,2830.35,3002.64,3017.39,3089.62,3219.92,3365.17
Russia,2917.09,2811.18,2573.35,2312.82,2026.62,1945.01,1902.4499999999998,1768.7299999999998,1752.5600000000002,1785.44,1844.5,1469.23,1491.45,1571.15,1615.9,1623.5300000000002,1698.3999999999999,1706.6100000000001,1744.7900000000002,1593.08,1714.45,1893.66,1911.84,1878.9099999999999,1905.32,1848.64,1966.42,1992.2499999999998,2045.89
Indonesia,1259.77,1276.11,1296.75,1313.04,1329.58,1363.3400000000001,1180.51,2144.9900000000002,1375.61,1263.2,1193.4,1020.9,1502.62,1169.94,1518.8999999999999,1245.47,1658.16,1103.31,1091.2,1487.03,1129.53,1679.96,1699.77,1640.92,2021.0700000000002,2075.1400000000003,1458.54,1471.71,1709.6200000000001
Brazil,1645.46,1673.5,1683.51,1694.4599999999998,1711.67,1731.83,1742.3300000000002,1774.32,1808.8600000000001,1821.19,1818.29,1913.9799999999998,1949.0,1961.7900000000002,2009.3600000000001,2018.73,2009.01,2045.1,2049.93,2025.6799999999998,2123.21,1290.69,1330.44,1352.8700000000001,1391.37,1374.83,1461.7,1478.81,1437.3
Japan,1140.72,1156.93,1170.6399999999999,1165.1,1224.0400000000002,1236.79,1247.46,1239.84,1194.64,1218.9299999999998,1235.45,1187.66,1222.56,1231.22,1224.55,1227.8899999999999,1203.33,1237.6299999999999,1168.22,1104.4,1161.45,1267.03,1309.97,1321.59,1282.93,1248.61,1260.5300000000002,1238.24,1190.96
Iran,243.41,284.2,305.2,303.73,336.6,353.92,368.45,386.33000000000004,394.38,432.28999999999996,451.47,444.41,469.01,498.44,535.57,574.69,623.4499999999999,662.14,677.22,703.42,710.57,761.36,768.55,792.99,807.1700000000001,803.18,804.5500000000001,821.2900000000001,834.78
Germany,1130.53,1099.02,1051.13,1045.61,1033.5900000000001,1027.01,1055.44,1018.5,992.44,959.19,951.03,998.8,980.8199999999999,980.88,962.97,939.72,947.66,921.05,923.8000000000001,865.1800000000001,895.69,855.04,870.14,887.08,845.81,849.91,855.5,839.07,811.52
Canada,631.99,627.8000000000001,643.99,641.45,662.39,678.3100000000001,702.96,715.52,732.78,730.2,746.2,969.26,986.59,1004.23,999.8399999999999,1012.02,997.4,1028.28,1003.87,966.85,981.4300000000001,830.01,834.4,845.09,851.76,847.9399999999999,734.05,748.85,767.55
South Korea,250.41000000000003,278.71000000000004,305.94,339.41,373.15999999999997,408.63000000000005,441.84000000000003,470.55,405.94,445.42,501.84999999999997,500.15999999999997,492.91999999999996,504.05,529.69,529.55,539.49,546.47,560.6800000000001,571.63,627.36,660.73,664.47,664.25,653.99,678.9,699.8800000000001,712.5300000000001,719.74
Mexico,422.75,440.95,444.42,465.14,493.16,473.99,499.84,528.3,565.52,544.93,571.47,474.87,479.59999999999997,503.49,508.15,533.0699999999999,555.6800000000001,577.95,608.51,590.56,594.9300000000001,691.84,685.73,680.47,672.27,697.99,712.52,708.97,710.96
Democratic Republic of the Congo,435.3,434.19999999999993,434.58,434.96,435.2,435.21,430.7300000000001,437.02000000000004,438.93,431.16999999999996,427.62,419.06,431.36,438.06,441.45,441.90999999999997,444.60999999999996,437.65,441.55,441.59,444.67999999999995,679.05,678.2700000000001,682.58,683.37,685.73,685.59,686.5500000000001,682.1
Saudi Arabia,201.27,226.14000000000001,241.43,249.66,262.36,266.81,280.64,265.13,283.57,290.73,304.15,310.25,330.84000000000003,344.09999999999997,362.78999999999996,379.14,403.34,426.98,465.12,484.79,528.98,550.5699999999999,585.27,602.42,646.75,678.68,683.6,676.52,660.05
Australia,564.71,564.62,567.12,567.41,570.85,579.82,580.11,591.43,617.61,653.45,672.1800000000001,676.35,669.52,592.44,645.49,609.35,658.45,658.35,629.28,645.03,613.51,656.64,655.97,568.17,580.28,579.89,591.33,638.3000000000001,635.36
South Africa,326.64,323.17,322.25,330.1,336.78999999999996,349.34,360.12,371.66,380.88,361.06,362.44,396.04,410.91,432.84000000000003,459.21999999999997,460.42,462.57000000000005,483.28999999999996,516.61,494.83000000000004,520.3299999999999,505.19,524.17,534.06,546.22,522.32,521.47,531.14,532.88
