Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Singapore,23.458123901425992,22.937191774508044,25.505324236434355,26.10555517160102,26.826180855021633,26.30155828930352,27.602334593037195,28.772103967347007,28.47821088390164,30.434056638971708,31.137914246352988,31.45230124997221,30.872017145799155,30.698746435450733,33.27602129665363,33.45006120829057,34.80738361849108,35.95215010071701,36.4012368485654,36.26212588768124,39.48406179408328,40.89752315339967,39.93270884906494,39.626519819186754,39.214044438074026,40.697365601674576,42.5928208010903,44.29415423716643,43.97131525202016
Brunei,60.9166879256631,57.924630364226466,57.54176889823578,57.475752971414785,57.591586860688466,57.95794178626243,57.48145230122776,59.23798411344971,69.24969056982155,54.77999104882071,55.55789006081053,54.40584406991004,53.694449170504384,55.84568137109215,53.91810457552708,53.0796029711431,57.5808481561705,54.51146367547011,53.63477747497483,52.33106365687076,49.095035431794436,46.40742518803008,45.38881244721139,44.4099363523518,43.53576814763116,40.56262261577098,40.06755742738648,39.813324978032,40.12029093621783
Qatar,30.297622172064457,33.89733130332366,33.75030026059592,35.2158315702153,36.781817751516634,38.03703205978417,39.46177355984621,41.69468728984533,42.9866960617587,45.41741602773775,41.87575004177448,44.226707402932945,51.08664444694105,49.765984003895625,48.252297791677506,53.442876786725364,49.81891143478465,47.864443169591304,44.136788545734234,40.152416033412614,39.02864201335,38.03302974366632,39.6024184933322,38.10271341135908,37.804946482639494,37.537397084937176,37.741407688954745,38.94335102195559,39.16335512111018
United Arab Emirates,54.04069158521732,60.000237461148004,55.85291384057223,54.48810129145221,55.862659013754055,55.69129878319688,54.806368030511344,55.252734467561666,54.01295457793115,52.06287598671491,48.818356467810034,49.898235455481874,47.993988678178965,48.2740654392552,47.46131141182777,44.320000209231374,40.38925529209241,37.32788920326427,36.476551332494346,31.958852992560153,30.723983795083928,30.402006174736872,31.294309813229592,32.39540991277582,33.0620775669506,35.30969148309557,36.142602666923054,36.46806024871812,35.10862773266981
Bahrain,31.738542164471784,29.602049583923478,32.518802023392126,33.41961761392882,33.64326134027184,34.38011133621195,35.72039587945274,35.9203734239663,38.325101801051666,38.0023250699092,38.217902228374534,37.717726327861804,37.516663492668066,36.99717994421529,35.23545332507477,36.47274890711089,36.51832228567136,34.90603557789954,34.81826052240848,33.229964348248004,33.1543182814555,32.67214488406318,32.98608707157704,34.42509632867412,35.46961880076912,35.39008917136165,34.19851268732558,33.19775352943657,32.304516260577024
Botswana,42.73537484962184,41.04587049439766,40.12347263485293,38.85327100799794,38.10856023558273,37.824000304933456,37.88734678253288,36.78208077775989,35.82880608087055,35.112342106243716,34.27181222551972,34.69331941619682,34.30055783137407,29.595470907012103,29.44719809825135,29.676328472878033,30.083157625832627,28.553025447650654,32.547937081992615,27.243478995339128,32.10699378895741,34.17673659798572,28.359182977037594,27.790827960132862,26.86942903420873,26.293006701510244,25.445327962776485,26.674817557308682,25.491700113616854
Australia,33.091514260098094,32.667206665123814,32.41611889111174,32.116941189788875,31.971436572388686,32.08388667552014,31.680956801922342,31.93983906680348,33.00785634118967,34.52657719539258,35.09528533389026,34.840055632823365,34.069837263502855,29.77773756747791,32.07021274481553,29.87771392707945,31.812406089506666,31.609498934106668,29.61429136155714,29.736258568945726,27.846630431082414,29.392985432781987,28.854818216228807,24.56618950888764,24.718340499187118,24.3487622499081,24.444308764446077,25.945192761848094,25.432011159087445
Guyana,12.969086755656486,13.230764684469769,13.14460670374942,13.220339432546433,13.51963905462672,14.52781959232784,14.997351475615831,15.515023582571985,15.800408077709882,15.966897699806315,15.628389833913204,16.6396942590371,16.541597687398713,16.882688131926532,17.378780991153718,16.9267552629745,16.627921777753958,17.026646500829898,17.233183586296473,17.239119561117963,17.546668801622566,27.76488672644273,28.012094446827327,28.013344203265984,28.099050134207356,28.145779501272425,24.50208267702755,24.496335224414295,24.621088128861487
Suriname,10.810303848517533,10.823008699568291,10.840159939903677,10.513330903585747,10.457390157182617,10.501277579998687,10.575470708846582,10.32664340052624,10.329724816130899,10.271176243070178,13.313684854250187,13.995727840797022,12.794777574093581,13.136914935913987,13.672824501701507,13.91500037039929,13.655470500225611,13.322091392285708,13.497781954741821,13.591709630615183,14.117620377755017,22.422488260893125,23.094816229928295,22.52898345499228,23.098695411709844,23.107079494076576,24.02267372181496,23.48812710231884,23.07343742133069
Turkmenistan,21.69936954020898,18.734884624357512,14.646743471467955,13.428779225234736,14.123576433651147,14.256717399730645,13.432580643882204,13.43015412875635,13.78278395922308,15.19435269840822,15.67050358182939,16.174100099318878,16.99342605603709,18.400894205705114,19.162749638771643,19.07395115352291,18.918470539367675,19.629817775333862,19.409351944430092,17.494173767205883,18.385319578841923,19.935926723921334,20.919128017849978,21.55272012248117,22.175780286715533,22.927854702087927,22.497642771905973,22.071439699447712,21.627434539153107
Grenada,19.30902748941118,19.489539922456512,20.069781085003243,19.748763157358958,19.729226433137047,19.74353349420657,19.999405958238864,20.085263914460405,20.28954255412995,20.40437766648117,20.22618318309558,20.534278685031286,20.745686826971326,20.86478274665154,20.7961972667855,20.925299547096255,21.15534887266767,21.391289466929067,21.52536104763079,26.657339748740398,21.46346973933181,21.53840391062499,22.61474891114172,21.447324631142997,20.9366391184573,21.07606543616507,21.13129517607901,21.195230622147662,21.534513544311746
