Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
World,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0
China,8.896961876608122,9.318176507411769,9.76289263217365,10.420492527919944,10.819948144556982,11.754818255870202,11.742106733724503,11.323992612458113,11.886977107455138,11.74268953131176,12.092840805434914,12.661794054522934,13.164106816503503,14.513285649521835,15.776193602611235,17.265656601604068,18.295448372763392,19.417895793301167,19.924909534437706,21.297902217286165,22.36455268526423,23.40960404850544,23.8476525280416,24.518705082318313,24.22726896155807,24.190102943637413,23.98756322040276,24.13266302307849,24.276564107250007
United States,17.533256270186975,17.33801787974158,17.663922217089272,17.91419735199646,18.072954653692822,17.894233648502677,18.18887602350813,18.195911204732997,18.551349520821795,18.58318713551671,18.702264094430294,18.44728067162604,17.562868627361997,17.266939820852677,16.723590579209883,16.42212011410223,15.60819333944128,15.548947271450176,14.96150299228182,13.917415048429852,13.962065842906718,13.36073796908311,12.593832913780995,12.729220142053709,12.610957568930129,12.331967589218719,12.38005132375554,12.123066202325187,12.250427946830843
India,3.1349621652086777,3.28791450979524,3.397420517561784,3.487770471087716,3.6089114086254144,3.7297415176649693,3.8367347663631066,3.8603069517384685,4.013354056739716,4.23941886078963,4.269853371635512,4.964598399925762,4.887739259699308,4.9028096779946155,4.903517106248378,4.980995492350329,5.033575599115918,5.286637809563008,5.468821331776067,5.818171841084799,5.843560790169011,5.901297444547319,6.156758435134188,6.201976235563563,6.494931593875992,6.5153875636312595,6.579159471822296,6.774751179509277,6.941143929363557
Russia,9.013638075744977,8.64341242579317,7.935908292744304,7.114394712605917,6.1949586140743325,5.818402750460011,5.630922613550798,5.040335967303771,5.064000709658201,5.158644856032711,5.231662378093332,4.156724436751574,4.101948456457794,4.219646690028726,4.1393542463923785,4.06888939792577,4.100291032786154,4.041565407093088,4.095307996012639,3.7358429683381513,3.866830110505026,4.25764884323598,4.246251680763536,4.117142815822331,4.121347568953922,3.991729960539172,4.187372805905192,4.191718439395189,4.219940434999007
Indonesia,3.8926158735867764,3.9235997092604955,3.9990242596678165,4.03900209849451,4.064251351561196,4.078365255609047,3.4941052088217046,6.112561129458378,3.9748082897092916,3.6497447027850396,3.384909667669603,2.888315633004827,4.132669408724805,3.1421146603011856,3.890875156163985,3.1213957724431385,4.003143298942939,2.6128403849150508,2.5612251819697445,3.487151033976876,2.547581215386125,3.7771721167911436,3.7752381053913697,3.595649599682358,4.3717233489312575,4.480806706721297,3.105872973385624,3.0964958938096596,3.5263355148531947
Brazil,5.084375493425068,5.145437394462421,5.191746544355786,5.212276469730554,5.232221536821216,5.1806851560296145,5.156995136412501,5.056265746330095,5.226678871863064,5.261936791691803,5.157321434244144,5.415004755861083,5.360352369597533,5.268790809299847,5.1472571622816945,5.0593392756984406,4.850168209949193,4.843171793231069,4.811521570083612,4.750309076821771,4.788761619717913,2.901949022251221,2.9549455425951123,2.9644629073460442,3.0096358443806914,2.9686418673446804,3.1126020028232113,3.1114343809070144,2.9646366066719487
Japan,3.5247583124839514,3.557162165984708,3.6101158737902708,3.5839283989489683,3.7416373774913634,3.699797089856318,3.692265617230454,3.5331622948114796,3.4518976855491807,3.5218360596625775,3.504178522643213,3.3601106324757697,3.362417851706085,3.306694712597249,3.1368563911255567,3.077336792556389,2.9050890299591154,2.9309347740729397,2.7420037409097278,2.5898667827307196,2.6195746926688224,2.8487525816911607,2.9094810832756974,2.895920919023601,2.775072133099981,2.6960976426068974,2.6842226192917447,2.605272149778742,2.4565251604272063
Iran,0.7521227127092702,0.8738173334366418,0.9412008513982013,0.934294543483624,1.0289166540828671,1.0587344545492348,1.0905482072920663,1.1009215619390558,1.139556192013398,1.2490089752746554,1.2805305577868238,1.2573183959875358,1.2899224550358845,1.3386632060452013,1.3719375912744394,1.440287551258037,1.5051380383834945,1.5680689311867488,1.589546295576934,1.6495509709420886,1.6026442717032028,1.7118191878616784,1.70697167610826,1.7376314360554523,1.7459681928665722,1.7342898940333717,1.7132407069654612,1.728004234955892,1.7218530206064213
Germany,3.4932718064139157,3.379108817007523,3.241561110518321,3.216368872392954,3.1594710769266507,3.0722504299463425,3.1239196631953816,2.9024114379802977,2.867643255747697,2.7713731962194283,2.69746157302147,2.82579063007662,2.6975581380957685,2.6343551190627097,2.466782572342638,2.3551254026835378,2.2878484456724717,2.1812152853921454,2.168309955190295,2.0288853160838136,2.020170352986816,1.9224465146438603,1.9326059908253743,1.943805211031754,1.8295493603682935,1.8351930125724034,1.8217356594480791,1.7654135730672964,1.6738759472945242
