Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
electricity,8516.91,8645.99,8800.76,8842.72,8943.43,9124.4,9474.94,9731.38,9946.47,9996.81,10393.67,10646.16,10827.73,11431.720000000001,11809.52,12175.630000000001,12657.289999999999,13216.1,13253.07,13067.710000000001,13946.1,14548.13,14854.519999999999,15114.36,15016.73,14797.0,14732.130000000001,14945.91,15368.41
transportation,3950.41,3979.46,4043.16,4088.37,4156.43,4264.95,4449.42,4500.2,4590.88,4705.65,4860.96,4925.39,5038.860000000001,5159.03,5362.86,5456.83,5555.94,5714.16,5712.96,5628.73,5841.48,5946.95,6050.26,6233.13,6319.96,6483.69,6606.0599999999995,6750.24,6900.28
manufacturing construction,3922.3,3841.77,3706.77,3657.58,3672.79,3898.96,3788.0099999999998,3811.62,3809.14,3647.05,3826.47,3847.8900000000003,3844.97,4033.76,4464.26,4880.099999999999,5125.33,5399.39,5515.76,5502.91,6039.45,6262.4,6282.87,6271.93,6310.7699999999995,6267.31,6140.08,6127.2,6116.19
agriculture,4976.16,4968.38,4947.64,4917.31,4961.23,5018.73,5036.93,4967.41,5023.96,5081.29,5078.96,5092.83,5151.38,5146.28,5260.03,5296.66,5355.43,5441.16,5451.95,5448.66,5508.27,5642.7699999999995,5671.2,5614.51,5661.93,5683.83,5729.31,5812.59,5809.85
industrial process,937.84,945.35,1020.85,1033.91,1141.56,1215.11,1267.6,1310.26,1314.87,1321.19,1380.78,1405.3600000000001,1471.52,1547.59,1646.79,1728.97,1860.3,1986.59,2032.74,2083.04,2216.2400000000002,2364.92,2444.08,2549.2599999999998,2665.19,2673.08,2762.36,2820.35,2897.79
building,2587.5,2612.82,2505.23,2565.7200000000003,2483.25,2557.68,2627.64,2605.55,2452.4,2522.41,2514.6800000000003,2539.27,2538.35,2621.72,2664.37,2664.21,2630.72,2627.82,2692.73,2642.66,2696.2799999999997,2643.82,2588.86,2701.75,2650.11,2679.21,2726.4700000000003,2785.21,2871.98
fugitive emission,2253.3199999999997,2261.83,2165.3,2129.64,2063.02,2073.67,2106.2400000000002,2091.67,2076.08,2089.02,2134.25,2179.35,2228.77,2319.12,2393.22,2481.78,2566.95,2639.87,2746.32,2739.03,2793.83,2830.6,2853.18,2860.35,2877.19,2854.0099999999998,2856.95,2850.12,2851.47
waste,1363.93,1394.64,1417.8,1443.8899999999999,1470.42,1476.04,1477.85,1473.88,1465.78,1463.97,1466.26,1452.38,1447.44,1442.97,1431.33,1422.1399999999999,1433.25,1441.27,1446.3700000000001,1453.7,1464.5,1466.72,1476.01,1483.48,1513.6200000000001,1543.02,1560.28,1583.28,1606.18
other fule combustion,1342.62,1353.09,1265.53,1285.25,1253.89,1205.45,1146.14,1195.04,1174.94,1185.07,1124.32,1145.52,1152.02,1179.18,1219.01,1238.6299999999999,1257.86,1270.75,1285.94,1279.14,1309.8700000000001,1314.78,1360.22,1403.53,1421.3,1440.78,1435.02,1441.52,1450.06
Land use change and forestry,1908.77,1908.7399999999998,1908.7299999999998,1908.7299999999998,1908.6799999999998,1914.55,1710.7800000000002,2680.8900000000003,2010.6299999999999,1819.37,1670.5,1337.02,1851.93,1544.4799999999998,1908.1499999999999,1630.1999999999998,2004.01,1470.4599999999998,1431.75,1823.8799999999997,1489.0499999999997,400.9,428.7399999999999,384.46000000000015,734.1200000000002,782.7,1266.8500000000001,1219.2199999999998,1386.72
bunkerfules,603.31,611.89,644.89,635.9,659.3199999999999,679.05,700.21,723.61,743.06,778.8100000000001,805.63,774.69,806.58,808.3100000000001,877.9499999999999,925.91,974.37,1018.89,1035.02,973.66,1032.28,1054.67,1014.24,1019.5,1059.59,1107.12,1145.2,1192.6,1222.56
