Year,Afghanistan,Africa,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua And Barbuda,Argentina,Armenia,Aruba,Asia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Baker Island,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,"Bonaire, Saint Eustatius And Saba",Bosnia And Herzegovina,Botswana,Brazil,British Virgin Islands,Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Christmas Island,Colombia,Comoros,Congo,Congo (Democratic Republic Of The),Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,Côte D'Ivoire,Denmark,Denmark (Europe),Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Europe,Falkland Islands (Islas Malvinas),Faroe Islands,Federated States Of Micronesia,Fiji,Finland,France,France (Europe),French Guiana,French Polynesia,French Southern And Antarctic Lands,Gabon,Gambia,Gaza Strip,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea Bissau,Guyana,Haiti,Heard Island And Mcdonald Islands,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle Of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kingman Reef,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macau,Macedonia,Madagascar,Malawi,Malaysia,Mali,Malta,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nepal,Netherlands,Netherlands (Europe),New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North America,North Korea,Northern Mariana Islands,Norway,Oceania,Oman,Pakistan,Palau,Palestina,Palmyra Atoll,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,Saint Barthélemy,Saint Kitts And Nevis,Saint Lucia,Saint Martin,Saint Pierre And Miquelon,Saint Vincent And The Grenadines,Samoa,San Marino,Sao Tome And Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South America,South Georgia And The South Sandwich Isla,South Korea,Spain,Sri Lanka,Sudan,Suriname,Svalbard And Jan Mayen,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor Leste,Togo,Tonga,Trinidad And Tobago,Tunisia,Turkey,Turkmenistan,Turks And Caicas Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Kingdom (Europe),United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Virgin Islands,Western Sahara,Yemen,Zambia,Zimbabwe
1912-1921,80.5,78.2,71.59,92.71,80.48,67.23,74.6,82.29,81.79,70.42,69.78,84.86,69.83,81.98,60.13,73.53,82.57,94.58,78.18,83.31,80.9,65.04,63.77,80.78,86.2,64.58,72.94,83.06,67.85,80.15,77.97,81.99,69.4,89.2,80.34,69.74,83.74,78.76,54.48,80.05,83.41,80.89,87.58,56.86,67.48,79.62,77.31,80.67,77.71,76.0,79.89,69.93,81.44,83.39,79.54,63.34,82.33,28.79,61.92,91.58,80.7,80.71,72.39,86.49,79.5,78.92,85.0,64.65,75.65,64.08,49.86,50.96,80.53,79.71,61.03,66.69,65.17,79.6,80.11,0.0,77.6,85.58,80.17,65.25,63.11,84.24,75.6,28.11,81.28,81.45,81.42,77.31,61.71,82.86,83.96,79.88,82.29,0.0,80.11,83.23,67.86,47.7,85.48,78.44,84.83,92.86,58.97,58.08,80.53,70.9,81.27,75.1,61.71,82.59,72.46,77.36,81.46,80.78,96.9,62.23,81.07,64.83,77.91,66.81,80.39,86.65,56.6,64.43,63.91,83.45,69.34,76.87,75.83,79.32,92.23,78.41,80.7,91.61,78.88,81.03,76.89,69.3,64.82,65.16,68.29,81.64,79.4,79.44,76.27,70.53,62.96,62.52,78.14,59.54,81.48,91.84,85.77,79.84,60.76,70.93,81.42,52.35,80.87,91.75,86.27,81.53,76.32,81.52,80.63,77.23,81.67,69.32,81.55,64.7,71.78,80.49,95.1,78.1,66.9,58.59,68.01,82.29,80.6,81.22,82.29,58.82,81.45,79.85,71.76,80.51,93.7,87.29,68.07,81.91,82.33,80.89,82.29,63.24,66.74,81.09,82.69,73.21,74.27,40.74,76.97,72.78,83.25,86.33,80.63,38.77,73.2,59.6,60.61,83.58,80.62,62.69,74.43,83.2,80.36,84.58,77.97,80.45,85.6,72.19,84.67,83.94,75.38,67.84,96.3,57.4,58.72,70.09,75.11,81.16,77.91,81.18,81.99,82.99,87.78,76.42,76.51
1922-1931,80.53,78.35,72.94,92.84,80.82,68.29,74.61,82.57,82.07,70.34,70.58,85.38,69.99,82.04,61.34,74.22,82.99,94.64,78.59,83.57,81.33,64.67,64.21,81.23,86.57,64.88,73.47,83.55,69.59,81.04,78.28,82.21,70.81,89.18,80.4,69.68,83.58,78.74,55.23,80.55,83.9,81.09,87.74,56.8,68.02,79.69,77.51,81.03,77.98,76.3,80.21,71.45,81.89,83.85,80.33,64.29,82.47,30.32,61.75,91.33,81.09,81.12,72.83,86.83,79.72,79.25,85.51,63.33,75.78,64.82,49.12,51.01,80.76,79.99,60.25,67.18,65.75,79.94,80.77,0.0,77.91,85.7,81.13,66.34,63.69,84.74,76.65,29.67,81.74,81.74,81.6,77.6,61.37,82.47,83.86,80.32,82.78,0.0,80.35,83.25,69.62,47.97,86.25,78.7,84.84,93.63,58.45,57.53,81.41,72.2,81.9,76.44,61.37,83.56,74.05,78.22,81.63,81.12,96.96,62.72,81.31,63.52,78.88,67.24,80.28,86.7,57.78,63.35,64.53,83.4,70.6,77.18,76.88,79.57,92.47,79.19,81.09,91.95,78.79,81.43,77.16,71.36,66.09,65.21,69.93,81.92,80.71,80.0,77.09,71.42,63.43,62.99,77.9,59.48,81.72,91.83,85.38,80.13,61.34,71.56,81.6,52.29,80.97,91.91,85.91,81.73,76.91,81.71,80.99,77.37,81.81,69.67,81.63,64.9,72.3,80.7,95.24,78.16,68.74,58.49,67.97,82.57,80.87,81.68,82.57,59.52,81.91,80.18,73.17,80.8,93.73,87.69,69.85,81.98,82.01,81.04,82.57,64.67,68.08,80.71,82.35,73.46,74.54,40.1,78.2,73.57,82.93,87.03,81.0,40.6,73.53,58.9,61.95,84.62,80.68,63.2,74.78,83.4,81.03,85.18,78.25,80.79,85.94,73.47,85.24,84.38,76.14,69.57,96.63,57.34,58.66,70.29,75.24,82.33,78.41,81.03,82.21,83.12,87.47,76.32,77.11
1932-1941,80.62,78.44,72.77,92.44,81.35,68.49,74.52,82.84,82.31,70.74,70.97,85.62,70.28,82.51,61.21,74.77,83.02,94.02,78.63,83.6,81.42,66.8,65.1,81.17,86.39,64.88,73.63,83.79,69.21,79.63,78.63,82.41,70.59,89.23,80.65,69.93,84.15,79.23,55.87,80.75,83.89,81.58,87.79,57.11,68.17,79.87,77.76,80.93,78.23,76.22,80.3,71.28,81.83,84.16,80.41,64.5,82.05,30.98,64.11,91.59,81.24,81.21,73.09,86.74,79.62,79.3,85.59,65.85,76.24,65.53,49.33,52.63,81.06,80.89,61.94,67.75,66.32,80.29,80.85,0.0,78.07,86.08,81.15,66.73,64.5,84.17,76.62,30.3,81.73,81.92,81.9,77.41,62.68,82.6,84.03,80.62,82.77,0.0,80.25,83.4,69.65,48.77,86.04,78.96,84.76,93.55,60.04,59.44,81.35,71.88,81.7,75.5,62.68,83.52,73.34,78.1,82.02,81.55,96.57,62.52,81.17,66.19,79.09,66.25,80.35,86.87,57.78,65.99,65.06,83.6,70.56,77.15,75.61,79.77,93.06,78.37,81.24,92.09,79.24,81.51,77.31,71.13,66.17,64.83,69.71,82.15,80.17,79.09,75.83,70.6,64.54,64.12,78.56,60.42,81.73,91.59,85.79,80.89,62.1,71.16,81.9,53.41,81.4,91.29,85.93,81.66,76.78,82.09,81.1,77.35,81.89,70.06,81.74,66.36,72.55,80.8,94.4,78.61,68.47,59.27,68.06,82.84,81.08,81.71,82.84,60.01,81.9,80.74,72.77,80.69,93.32,87.99,69.66,82.21,82.11,81.42,82.84,64.95,67.97,80.7,82.83,72.63,74.75,40.88,77.63,73.6,83.13,87.32,81.38,40.35,73.01,60.62,61.81,84.85,81.08,63.02,74.84,83.56,81.14,84.71,79.15,80.83,85.6,73.52,85.3,84.5,75.74,69.89,95.53,58.86,60.27,71.39,74.82,81.89,78.65,81.3,82.41,82.37,87.63,76.01,76.53
1942-1951,80.77,78.56,73.86,92.71,81.27,69.58,74.82,82.86,82.36,71.09,70.58,85.62,70.12,82.05,62.41,74.29,83.1,94.46,79.39,83.62,81.56,64.55,65.46,81.46,86.45,65.11,73.12,83.9,70.67,80.9,78.34,82.48,71.11,89.74,80.71,69.74,83.75,79.17,55.03,80.46,84.07,81.62,88.36,57.37,68.23,80.09,77.78,81.06,78.72,76.5,80.22,72.52,82.02,84.29,80.33,65.31,82.38,29.8,63.39,91.85,81.32,81.13,73.12,86.44,79.93,79.55,85.69,63.44,76.16,65.24,49.79,52.19,81.31,80.49,60.04,68.72,67.46,80.14,81.28,18.39,78.46,86.37,80.84,66.32,64.83,84.59,77.25,29.12,81.76,82.0,81.9,78.13,62.68,82.83,84.33,80.69,82.67,15.98,80.56,83.38,70.45,48.09,86.44,79.37,85.02,93.07,59.56,58.76,81.14,73.39,81.89,77.17,62.68,83.1,73.45,78.45,81.85,81.38,96.7,62.99,81.5,63.73,78.72,67.33,80.4,86.78,59.06,63.98,65.76,83.56,71.48,77.28,75.74,80.01,92.97,79.74,81.32,92.43,79.63,81.6,77.77,70.65,67.86,65.35,70.99,82.2,80.05,79.44,76.53,71.61,64.58,64.16,78.62,59.47,81.96,91.72,85.62,80.64,61.26,72.24,81.9,52.45,81.02,91.74,85.97,82.08,77.37,81.92,80.98,77.54,81.94,69.81,82.07,66.05,72.45,80.92,94.97,78.82,68.86,58.61,68.12,82.86,81.1,81.87,82.86,60.32,82.02,80.66,74.61,81.06,93.5,88.35,70.84,82.54,82.13,81.55,82.86,65.57,69.13,81.07,83.07,73.74,74.89,40.65,78.54,74.01,83.3,86.99,81.31,39.33,73.61,59.31,63.44,84.27,80.86,63.36,74.7,83.12,81.17,85.14,78.76,80.68,86.41,73.2,85.57,84.55,76.42,68.62,96.01,58.53,59.85,70.26,75.74,82.33,78.62,81.44,82.48,82.59,88.12,76.41,77.21
1952-1961,80.08,78.64,73.37,92.67,81.34,67.61,74.62,83.21,82.82,71.02,70.56,85.65,70.24,82.37,61.23,74.2,83.49,94.27,79.31,84.15,81.95,65.91,64.29,81.29,85.87,64.73,73.45,84.05,69.6,79.92,78.56,82.78,71.22,89.01,81.23,69.99,84.8,78.91,55.52,80.56,84.21,81.33,88.07,57.52,67.92,80.24,78.15,81.42,78.06,76.07,80.47,71.32,82.23,84.29,81.33,64.49,82.06,29.52,62.09,90.77,81.76,81.74,72.82,87.45,80.27,79.17,85.64,63.72,76.28,64.82,49.97,51.68,81.24,80.3,60.45,67.33,65.75,80.38,81.13,47.35,78.0,86.11,82.02,66.77,63.66,84.01,77.24,28.85,82.28,82.5,82.31,77.87,61.99,82.6,84.16,80.83,83.11,41.42,80.72,83.7,69.74,47.22,86.47,79.34,84.68,93.62,59.07,58.58,82.23,71.98,81.91,75.75,61.99,84.38,72.99,78.64,81.7,81.22,96.83,62.4,81.55,64.25,79.85,66.63,80.04,86.86,57.65,64.41,64.55,83.83,71.25,77.51,76.36,80.1,92.24,79.05,81.76,91.81,79.73,81.74,77.85,71.17,65.67,63.78,70.18,82.69,79.72,79.73,76.09,71.14,63.5,63.06,78.71,60.65,82.08,91.14,85.14,80.43,61.61,71.45,82.31,52.13,81.33,91.6,86.1,82.05,77.43,81.75,81.33,77.15,82.36,69.79,82.5,65.89,72.05,81.32,94.59,78.97,68.79,59.45,68.03,83.21,81.56,82.31,83.21,60.05,82.55,80.61,73.15,80.56,93.5,88.11,70.2,82.5,81.82,81.79,83.21,65.18,67.93,80.98,82.97,73.09,75.0,41.15,77.79,72.83,83.19,87.36,81.58,39.84,72.95,58.85,61.67,85.26,81.59,62.94,75.14,84.33,81.45,84.4,78.57,81.32,86.07,73.96,85.02,85.01,75.74,69.6,95.82,57.84,59.14,70.76,75.55,81.75,79.28,81.41,82.78,83.1,87.94,76.8,77.01
1962-1971,80.1,78.49,72.8,92.47,81.17,68.43,74.49,82.93,82.46,70.64,70.81,85.62,70.33,82.78,61.26,74.41,83.48,94.65,79.2,83.69,81.85,64.53,63.97,81.2,86.21,64.64,74.32,83.99,69.01,80.83,78.91,82.53,70.64,88.84,80.78,69.53,84.43,79.06,54.98,80.57,84.16,81.35,87.78,57.08,67.6,80.09,78.21,81.25,78.21,75.98,79.95,71.05,82.26,84.31,80.61,64.18,82.37,29.0,61.38,92.3,81.46,81.4,72.75,86.99,79.79,79.25,85.74,62.46,76.08,64.25,49.18,50.97,80.8,80.43,58.43,67.43,65.88,80.27,81.06,47.13,78.03,86.52,81.49,66.42,63.66,84.35,76.6,28.34,82.14,82.13,82.04,77.57,61.27,82.68,84.49,80.83,82.89,41.15,80.16,83.94,69.47,46.7,85.36,79.47,84.69,93.97,58.55,57.65,81.72,72.07,81.93,75.9,61.27,83.95,74.2,78.16,81.79,81.19,96.9,61.54,81.01,63.0,79.39,67.87,80.4,86.74,57.91,63.2,64.41,84.06,70.5,77.61,75.58,80.18,92.68,79.13,81.46,92.08,79.74,81.61,77.51,70.63,66.09,63.9,69.58,82.32,80.13,79.36,76.54,70.86,62.9,62.44,78.53,60.8,81.48,91.25,85.36,80.48,61.24,70.83,82.04,50.45,81.69,91.17,85.88,82.33,77.35,81.88,80.93,77.26,82.29,69.79,82.68,65.28,71.94,81.13,95.11,79.14,68.37,59.52,67.68,82.93,81.24,82.14,82.93,59.54,82.36,80.49,72.95,80.67,93.89,88.36,69.45,82.4,82.08,81.76,82.93,64.65,67.78,80.9,82.43,73.91,75.03,40.82,77.88,73.38,83.37,87.15,81.56,38.8,74.22,57.16,62.07,85.08,81.82,61.99,74.52,83.96,81.44,84.74,78.75,81.07,86.34,73.52,85.02,84.81,75.61,68.75,96.12,57.16,58.36,70.46,75.01,81.99,79.04,81.22,82.53,83.31,87.59,76.3,76.77
1972-1981,80.49,78.67,71.43,92.52,81.54,67.88,74.46,83.22,82.75,70.77,71.58,85.68,70.18,82.91,60.96,75.22,83.45,94.55,79.44,83.66,81.9,64.27,64.46,81.99,86.54,64.89,73.83,83.94,68.12,80.38,78.56,82.74,69.35,89.48,80.9,70.29,84.8,79.41,55.35,81.17,84.11,81.86,88.67,57.31,67.53,80.46,78.61,81.19,78.38,76.57,80.34,70.35,82.18,84.22,80.14,63.91,82.53,29.21,62.45,92.72,81.67,81.34,73.11,86.73,80.13,79.47,85.7,63.35,76.35,64.12,50.11,51.35,81.5,80.9,60.34,67.61,66.07,80.37,81.56,47.77,78.12,86.17,81.2,66.78,63.75,84.61,75.41,28.54,82.22,82.43,82.25,78.18,62.18,83.18,84.28,81.02,82.93,41.85,80.74,83.71,68.56,47.32,86.31,79.66,85.41,94.13,59.4,58.58,81.45,71.3,82.15,75.46,62.18,83.8,74.79,78.61,81.97,81.5,96.91,62.79,81.26,63.68,78.97,67.21,80.6,86.83,57.52,63.55,64.7,83.91,69.03,77.66,76.22,80.38,92.86,77.87,81.67,92.2,79.46,81.56,77.48,69.49,65.83,63.96,68.28,82.62,79.67,79.76,76.81,70.69,63.63,63.18,79.06,60.47,81.99,92.06,85.92,80.72,61.56,70.98,82.25,52.05,81.84,91.87,86.29,82.48,77.48,82.06,81.16,77.5,82.08,70.0,82.54,64.56,72.15,81.09,95.11,78.86,67.27,58.94,68.44,83.22,81.51,82.25,83.22,59.26,82.46,80.89,72.19,80.9,93.65,88.24,68.24,82.53,82.29,81.88,83.22,63.85,67.23,81.34,82.96,73.24,74.91,41.93,77.39,72.77,83.53,87.37,81.52,39.89,74.0,58.56,61.64,85.05,81.64,62.98,75.03,84.48,82.09,85.13,79.2,81.2,85.37,73.43,86.2,84.76,76.41,67.81,96.48,58.02,59.32,70.9,74.98,83.22,79.13,81.32,82.74,82.97,87.69,76.45,77.01
1982-1991,81.37,79.46,73.15,93.54,81.97,70.63,75.0,83.59,83.15,71.55,71.61,85.9,70.59,83.43,62.64,75.55,83.83,95.17,79.68,84.0,82.2,64.12,65.69,81.82,87.24,65.1,74.61,84.23,70.1,81.28,79.19,83.22,71.0,90.7,81.03,70.42,84.91,79.89,55.81,81.33,84.62,82.22,89.34,58.09,67.53,80.83,78.73,81.82,78.79,76.91,81.18,72.38,82.67,84.42,80.71,65.23,83.34,29.82,62.66,92.78,82.05,81.9,73.49,86.94,80.49,79.71,86.0,63.18,76.65,65.33,51.4,51.84,82.12,81.14,59.81,69.35,68.16,80.46,82.21,48.03,78.5,86.94,81.54,66.99,64.98,85.29,76.79,29.15,82.48,82.82,82.84,78.25,63.15,83.88,85.04,81.16,83.41,42.08,81.11,84.0,70.19,47.94,86.35,79.82,85.86,94.38,60.27,59.28,81.71,73.64,82.42,76.54,63.15,84.04,75.22,79.3,82.6,81.91,98.01,63.24,81.01,63.45,79.59,68.37,81.23,87.85,59.41,63.45,66.09,84.17,70.82,77.99,76.05,80.55,93.95,79.79,82.05,92.9,80.03,82.04,77.42,70.55,68.33,63.51,70.02,83.01,80.49,79.91,77.29,71.04,64.58,64.15,79.06,60.93,82.67,93.25,86.68,81.58,61.81,71.34,82.84,51.98,82.35,91.3,86.64,82.85,77.48,82.67,81.89,77.98,82.56,70.39,82.92,65.44,73.24,81.68,95.38,79.33,68.72,59.67,68.72,83.59,81.91,82.54,83.59,60.01,82.75,81.19,74.42,81.19,94.17,88.95,69.97,83.04,82.97,82.19,83.59,65.17,69.25,81.81,83.24,74.52,75.38,41.75,77.68,74.85,84.37,87.55,81.58,40.06,74.23,58.7,63.68,85.52,81.82,63.61,75.22,84.55,82.33,85.71,79.66,81.54,87.27,73.86,87.0,85.11,76.78,68.58,96.61,58.95,60.29,71.0,76.1,83.77,79.55,81.32,83.22,83.6,87.61,76.11,77.16
1992-2001,81.67,79.75,74.86,94.31,81.87,70.31,75.95,84.09,83.64,71.36,72.27,86.3,71.08,83.22,63.86,75.68,84.24,96.52,79.89,84.19,82.74,66.17,66.55,82.14,87.56,64.72,74.28,84.52,71.59,81.86,79.57,83.66,72.52,90.45,81.4,71.25,84.96,80.19,56.05,81.51,85.16,82.9,89.67,57.68,68.16,81.0,78.83,82.28,78.95,77.27,81.65,73.6,83.16,84.83,82.2,66.69,83.42,29.82,64.16,92.78,82.6,82.4,73.68,88.49,81.17,80.15,86.3,64.74,77.34,66.16,50.38,52.15,81.76,81.32,60.7,69.57,68.34,81.14,82.23,48.4,78.73,87.56,83.16,67.75,66.08,85.43,78.19,29.13,83.02,83.31,82.89,78.27,63.68,83.9,85.62,81.41,83.89,42.15,81.68,83.68,71.66,47.98,86.63,80.18,86.3,95.36,60.24,59.69,83.31,74.66,82.9,76.02,63.68,85.78,74.33,79.26,82.93,82.28,99.03,63.18,81.28,65.14,81.07,67.77,81.38,88.88,60.24,65.1,66.92,83.83,72.57,78.68,77.09,80.94,93.56,81.37,82.6,93.15,80.52,82.61,78.35,72.17,68.46,65.79,71.99,83.5,80.87,80.77,77.49,71.08,65.71,65.3,79.58,60.82,83.19,93.3,86.8,81.46,62.02,71.69,82.89,52.39,82.17,93.15,86.88,82.91,78.26,83.02,82.23,78.08,82.61,70.69,82.92,67.02,73.11,82.09,96.91,79.92,69.97,60.26,69.4,84.09,82.37,83.07,84.09,60.87,83.22,81.29,76.35,81.44,95.42,89.52,71.78,83.14,83.37,82.53,84.09,66.87,70.4,81.83,83.94,74.12,75.65,42.17,77.82,74.73,84.19,88.19,82.23,39.77,73.9,59.42,64.29,86.67,81.82,63.89,75.6,84.48,82.19,85.91,79.89,82.0,88.37,75.07,86.93,85.71,77.12,70.18,97.98,59.2,60.53,70.96,75.71,83.29,79.78,81.28,83.66,83.65,89.07,77.58,77.96
2002-2011,82.1,80.05,75.24,95.2,82.33,70.96,75.94,84.79,84.37,71.79,73.89,86.74,71.61,83.74,64.32,77.82,84.69,97.8,80.02,84.08,83.39,68.13,66.81,82.4,88.23,65.31,74.63,85.16,72.08,81.16,80.02,84.35,73.34,91.21,80.96,71.43,84.97,80.98,56.75,82.15,85.71,83.92,89.28,58.21,68.58,81.56,79.5,82.51,79.7,77.73,81.45,74.22,83.49,85.31,83.23,67.31,84.11,31.62,65.4,93.75,83.34,82.95,73.79,89.24,80.89,80.84,87.32,66.58,77.98,67.05,50.89,53.03,82.3,81.45,62.09,69.86,68.56,81.87,82.37,48.63,79.49,87.68,83.9,69.69,66.92,86.29,79.24,30.94,83.59,84.05,82.86,78.5,63.56,84.57,85.82,82.11,84.21,42.59,81.46,84.36,72.17,49.18,86.88,80.31,87.68,96.65,60.2,60.06,84.11,74.95,83.12,76.54,63.56,86.5,74.73,80.04,83.19,82.8,100.1,63.1,81.52,67.11,81.85,67.79,82.08,89.23,60.93,67.08,67.25,84.38,73.02,78.75,77.36,81.12,94.36,81.19,83.34,93.32,81.02,83.05,78.61,73.16,68.98,67.03,72.21,84.23,82.08,80.58,76.99,71.26,66.25,65.85,79.81,60.91,82.87,93.14,87.72,81.8,62.89,71.56,82.86,54.04,82.64,94.24,87.11,82.7,78.73,83.26,82.47,78.09,83.0,70.51,82.85,68.01,73.65,82.78,98.19,80.27,70.86,60.85,69.53,84.79,83.14,83.74,84.79,61.38,83.9,81.62,76.28,82.26,96.1,89.89,72.1,83.8,84.09,82.95,84.79,67.28,71.08,82.46,84.9,73.87,75.96,42.28,77.88,75.4,84.28,88.58,82.92,40.75,74.49,60.98,64.96,87.76,82.49,63.8,76.13,84.3,82.52,86.79,79.86,82.35,89.09,76.47,87.22,86.16,77.82,71.36,98.69,59.45,60.77,72.06,76.29,83.42,80.31,81.73,84.35,84.05,89.71,77.82,77.74
