Year,Afghanistan,Africa,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua And Barbuda,Argentina,Armenia,Aruba,Asia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Baker Island,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,"Bonaire, Saint Eustatius And Saba",Bosnia And Herzegovina,Botswana,Brazil,British Virgin Islands,Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Christmas Island,Colombia,Comoros,Congo,Congo (Democratic Republic Of The),Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,Côte D'Ivoire,Denmark,Denmark (Europe),Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Europe,Falkland Islands (Islas Malvinas),Faroe Islands,Federated States Of Micronesia,Fiji,Finland,France,France (Europe),French Guiana,French Polynesia,French Southern And Antarctic Lands,Gabon,Gambia,Gaza Strip,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea Bissau,Guyana,Haiti,Heard Island And Mcdonald Islands,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle Of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kingman Reef,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macau,Macedonia,Madagascar,Malawi,Malaysia,Mali,Malta,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nepal,Netherlands,Netherlands (Europe),New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North America,North Korea,Northern Mariana Islands,Norway,Oceania,Oman,Pakistan,Palau,Palestina,Palmyra Atoll,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,Saint Barthélemy,Saint Kitts And Nevis,Saint Lucia,Saint Martin,Saint Pierre And Miquelon,Saint Vincent And The Grenadines,Samoa,San Marino,Sao Tome And Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South America,South Georgia And The South Sandwich Isla,South Korea,Spain,Sri Lanka,Sudan,Suriname,Svalbard And Jan Mayen,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor Leste,Togo,Tonga,Trinidad And Tobago,Tunisia,Turkey,Turkmenistan,Turks And Caicas Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Kingdom (Europe),United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Virgin Islands,Western Sahara,Yemen,Zambia,Zimbabwe
1912-1921,57.12,76.62,53.8,73.02,79.2,49.68,72.16,79.93,79.59,58.7,47.97,81.96,46.15,71.67,42.4,51.54,76.88,79.42,77.12,79.71,79.62,43.18,48.14,77.78,80.4,54.35,70.64,80.89,50.06,73.5,76.71,79.42,50.6,82.05,76.82,67.86,80.02,75.58,23.78,74.79,80.11,76.84,82.51,48.85,45.43,78.26,75.99,78.5,76.0,74.61,77.81,51.45,77.7,81.1,64.96,45.11,78.38,-6.75,45.35,82.71,79.05,77.62,70.62,74.02,76.76,77.27,80.27,40.04,72.8,45.19,42.36,42.72,79.76,76.5,32.93,53.69,49.08,77.56,78.14,0.0,75.86,81.58,66.48,46.42,45.76,79.98,57.42,-7.8,80.05,79.38,80.02,74.23,51.14,76.75,79.54,78.18,78.78,0.0,76.98,73.85,49.36,32.24,77.43,77.73,63.78,71.86,48.17,48.6,67.31,53.17,78.76,53.45,51.14,67.48,42.91,75.07,80.16,79.5,78.2,40.56,75.9,41.37,63.53,57.43,77.48,73.69,39.13,42.84,47.33,73.57,50.48,73.52,71.7,78.14,86.05,64.21,79.05,83.36,73.88,79.45,69.39,48.61,46.09,32.7,49.72,79.46,62.02,75.8,70.72,60.97,48.41,47.69,72.64,50.79,78.7,84.72,79.66,76.4,35.6,45.82,80.02,30.23,71.29,81.1,70.86,80.44,73.52,80.23,79.16,75.79,74.86,67.42,79.42,45.78,56.75,77.83,80.93,73.31,48.09,22.27,66.33,79.93,78.55,80.02,79.93,39.47,80.28,78.75,55.33,78.6,78.57,82.48,49.89,79.44,78.35,79.51,79.93,45.42,48.4,79.82,80.4,63.84,71.59,33.99,54.06,54.02,81.31,82.07,78.36,15.06,66.69,35.16,43.02,64.5,71.55,40.62,72.47,79.8,78.37,80.31,72.8,78.77,67.11,52.58,57.97,79.38,72.78,46.4,82.35,46.53,46.78,47.45,62.94,54.13,76.47,75.55,79.42,71.48,79.38,71.68,71.91
1922-1931,57.7,76.91,55.12,74.38,79.6,51.23,72.58,80.25,80.01,58.11,47.98,82.68,46.53,71.57,43.03,51.48,77.11,79.74,77.5,80.25,80.18,42.07,48.18,78.23,80.56,55.11,70.94,81.55,51.18,73.65,77.13,79.74,51.89,82.18,77.05,67.89,80.2,75.85,23.9,75.14,80.4,77.18,82.63,48.8,45.97,78.25,76.31,78.64,76.3,74.78,78.09,52.5,77.98,81.8,66.72,45.17,78.47,-4.04,44.72,82.81,79.61,78.24,71.14,74.58,77.15,77.41,80.98,39.52,72.95,45.39,42.19,43.34,80.13,76.79,32.67,54.5,50.04,77.88,79.01,0.0,76.21,81.74,68.24,46.84,45.76,80.22,59.09,-5.04,80.52,79.87,80.22,74.73,50.73,76.6,79.65,78.37,79.42,0.0,77.44,73.86,49.82,33.73,77.29,78.07,64.23,72.02,47.83,48.02,68.99,54.37,79.31,53.45,50.73,68.39,43.34,75.09,80.69,80.11,78.35,40.59,75.52,40.48,65.27,57.8,77.5,74.45,40.03,41.95,47.6,73.53,51.46,73.7,71.69,78.41,86.65,65.23,79.61,84.18,74.17,79.71,70.1,48.71,47.48,33.9,50.77,79.92,63.06,75.6,70.98,61.61,48.15,47.41,72.6,50.86,79.07,85.2,79.89,76.95,36.17,45.81,80.22,30.23,71.21,81.39,71.39,80.71,73.81,80.76,79.32,75.79,74.68,67.83,79.64,45.24,57.53,78.24,81.33,73.59,48.69,22.54,66.34,80.25,78.96,80.55,80.25,39.7,80.74,79.15,57.01,78.8,79.06,82.69,50.8,79.58,78.28,79.73,80.25,45.55,49.4,79.53,80.35,63.98,71.63,33.14,53.76,55.62,81.18,82.57,78.63,17.06,66.77,34.52,44.15,65.2,71.6,40.77,72.6,79.99,78.7,80.57,73.42,79.2,68.21,53.79,58.41,80.0,72.95,45.85,82.8,46.05,46.3,47.88,62.01,54.56,76.91,75.27,79.74,71.9,79.86,71.95,72.02
1932-1941,57.34,77.08,55.0,73.96,80.31,50.72,72.41,80.4,80.05,57.8,49.0,82.86,46.95,71.57,43.3,52.71,77.17,78.99,77.71,80.71,80.17,42.59,48.47,78.3,80.94,55.56,71.04,81.69,51.13,73.66,77.49,79.83,52.05,82.5,77.29,68.04,80.57,76.28,23.89,75.42,80.19,77.65,83.19,48.75,46.17,78.51,76.61,79.03,76.65,75.09,78.18,52.55,77.88,81.93,66.22,45.74,78.69,-3.28,45.29,83.01,79.54,78.36,71.34,75.02,77.09,77.92,81.12,40.01,73.09,45.66,42.65,44.43,80.36,77.23,33.39,54.3,49.73,78.18,79.24,0.0,76.69,81.78,68.2,47.83,46.18,80.36,58.95,-4.27,80.43,79.84,80.55,74.71,51.04,77.07,79.98,78.8,79.49,0.0,77.43,74.12,50.22,34.57,77.42,78.31,64.15,72.33,48.38,48.75,68.99,53.94,79.24,53.4,51.04,69.03,44.1,75.52,80.91,80.26,77.93,40.8,76.07,41.11,65.01,58.25,77.79,74.56,40.08,42.42,47.72,73.74,51.72,74.08,71.76,78.74,86.24,64.43,79.54,83.76,74.58,79.95,70.25,48.94,46.96,33.85,50.88,79.91,63.0,75.81,70.76,61.32,48.62,47.89,72.58,50.91,79.11,85.09,80.09,77.65,36.55,46.48,80.55,30.91,71.23,80.91,70.84,80.79,74.08,80.95,79.51,76.03,74.32,68.23,79.78,45.67,57.17,78.35,80.63,73.96,48.84,23.44,66.68,80.4,78.99,80.47,80.4,39.34,80.66,79.78,56.05,79.17,78.82,82.51,51.01,79.83,78.72,80.01,80.4,45.95,49.43,79.74,80.56,64.65,71.8,34.92,54.24,54.83,81.3,83.11,79.0,19.0,67.18,35.33,43.82,65.69,72.33,40.77,72.75,80.17,78.82,80.74,73.99,79.27,67.5,54.26,59.25,80.06,73.46,46.54,82.1,46.51,46.72,48.65,61.93,55.24,77.19,75.84,79.83,72.15,79.44,71.41,71.76
1942-1951,58.03,77.05,54.95,74.44,80.11,52.61,72.92,80.27,79.93,58.83,47.62,82.88,47.65,70.96,44.75,51.38,77.74,79.64,77.93,79.92,80.13,43.23,50.42,78.54,80.75,54.73,70.87,81.68,51.7,73.75,77.22,79.71,51.14,82.35,77.42,68.11,80.77,75.95,24.38,75.22,80.89,77.18,82.48,49.25,46.64,78.78,76.66,78.86,76.76,75.17,78.21,53.41,78.47,81.98,66.58,46.96,78.52,-6.02,46.61,83.27,79.47,78.46,71.45,74.39,77.47,77.87,80.99,41.12,73.17,46.72,42.82,44.26,80.49,77.1,34.67,55.97,51.8,78.21,79.36,15.21,76.75,82.01,68.12,46.37,47.91,80.29,58.26,-7.1,80.59,79.75,80.66,74.97,52.07,77.16,79.95,78.67,79.59,13.68,77.64,74.61,50.93,33.78,77.37,78.55,64.06,71.71,49.39,49.04,68.87,55.56,79.46,53.61,52.07,68.28,43.99,75.32,81.0,80.33,78.11,40.88,76.27,42.18,65.13,58.02,77.67,74.08,42.17,43.51,49.81,74.18,51.38,74.11,71.91,78.84,86.28,65.51,79.47,84.24,74.35,79.95,70.49,48.5,49.31,34.63,51.03,79.82,63.91,76.05,71.06,60.92,50.2,49.5,72.86,50.8,79.22,84.7,79.8,77.16,36.5,46.71,80.66,31.75,70.68,81.1,71.69,81.14,74.13,81.06,79.42,76.37,74.76,68.18,80.02,46.77,58.58,78.36,81.2,73.62,48.73,25.16,66.68,80.27,78.87,80.47,80.27,40.47,80.71,79.61,57.44,79.31,78.86,82.86,51.14,79.77,78.75,80.17,80.27,46.82,50.59,79.92,81.2,64.19,71.82,33.87,54.35,56.61,81.45,82.56,78.96,17.79,67.3,36.73,46.25,64.91,72.43,40.97,72.87,80.62,78.89,80.77,73.72,79.41,68.82,52.95,58.41,80.19,73.27,46.11,82.58,47.92,48.24,48.62,62.54,54.62,77.27,76.02,79.71,72.55,79.65,71.94,72.1
1952-1961,57.03,76.81,54.63,73.58,80.23,51.36,72.84,80.83,80.48,57.84,48.87,83.07,46.59,72.34,43.96,52.38,77.61,79.66,78.05,80.91,80.49,43.27,49.71,78.67,80.22,56.2,70.97,81.95,51.37,74.12,77.58,80.29,51.36,81.97,77.5,68.07,80.68,75.46,24.28,75.15,80.81,76.96,82.4,48.7,46.06,79.0,76.87,79.22,76.12,74.99,78.52,52.95,78.44,82.19,65.84,46.45,78.65,-4.07,46.07,83.13,79.92,78.8,71.47,74.82,77.45,77.48,81.09,40.32,73.01,46.16,42.89,44.56,80.51,77.55,33.37,55.12,50.71,78.54,79.29,39.91,76.31,81.76,67.66,47.5,47.21,79.99,58.1,-5.11,81.04,80.28,80.87,75.17,51.78,77.2,79.89,79.04,79.85,36.12,77.7,74.67,50.59,34.49,77.7,78.68,64.07,72.46,49.2,49.21,68.49,54.55,79.62,54.87,51.78,68.73,42.92,75.51,80.78,80.21,78.33,40.14,76.75,41.67,64.61,57.86,77.9,74.01,40.88,43.3,49.02,74.3,51.13,74.14,71.93,78.98,85.94,64.54,79.92,83.63,74.67,80.3,70.39,48.87,47.81,33.55,50.71,80.37,63.37,76.2,70.93,62.05,49.6,48.89,73.18,51.39,79.39,84.23,79.29,77.6,36.39,46.73,80.87,31.63,71.94,81.1,70.92,81.27,74.08,80.83,79.65,76.3,74.49,68.29,80.36,46.68,58.25,78.8,81.14,73.95,48.79,22.48,66.68,80.83,79.44,80.86,80.83,40.58,81.12,79.78,56.74,78.8,79.09,82.49,50.94,79.87,78.73,80.24,80.83,46.47,49.97,80.04,80.96,63.94,71.85,34.89,54.72,55.67,81.34,82.41,79.35,19.85,67.26,35.85,44.77,65.66,72.82,40.49,72.83,80.39,79.52,80.23,74.17,79.86,67.52,53.79,58.39,80.48,73.31,46.53,82.5,47.61,47.88,48.09,62.15,54.3,77.44,76.37,80.29,72.46,79.77,72.05,72.04
1962-1971,57.6,76.86,54.71,73.39,79.95,51.89,72.81,80.49,80.25,58.98,48.26,82.95,46.71,72.26,44.58,51.83,77.31,79.47,78.01,80.32,80.54,43.94,49.68,78.46,80.17,54.86,71.25,81.81,51.54,74.26,77.45,79.97,51.52,82.11,77.16,67.87,80.65,75.43,24.41,75.34,80.52,76.63,82.73,49.4,46.06,78.67,76.87,78.85,76.05,74.82,78.07,53.25,78.18,82.08,66.15,47.11,78.43,-5.61,45.89,83.16,79.9,78.59,71.63,74.63,76.92,77.42,80.84,40.82,73.17,46.51,43.18,43.33,80.14,76.92,33.79,55.37,51.03,78.58,79.2,39.9,76.13,82.08,67.44,47.1,47.54,79.87,58.09,-6.66,80.87,80.11,80.5,74.75,50.91,77.15,80.05,79.15,79.74,35.97,77.33,74.6,51.17,33.25,77.44,78.59,64.05,71.85,48.34,48.08,68.32,54.89,79.55,54.11,50.91,68.12,43.81,75.18,81.04,80.31,78.2,40.59,76.53,42.15,64.46,57.92,77.65,73.68,41.73,43.66,49.17,74.17,51.41,74.12,71.87,78.98,85.92,64.79,79.9,83.2,74.13,80.04,70.35,49.74,48.6,33.66,50.95,80.16,62.55,75.98,71.02,61.35,49.47,48.75,72.69,51.13,78.93,84.74,79.51,77.1,36.35,46.37,80.5,30.78,71.87,81.41,71.32,81.45,73.86,81.1,79.5,76.27,75.04,68.54,80.41,47.28,57.66,78.5,81.05,73.53,49.44,22.8,66.42,80.49,79.22,80.9,80.49,40.68,81.1,79.48,57.61,78.77,78.87,82.82,51.33,80.12,78.71,80.28,80.49,47.29,50.29,79.95,80.82,63.99,72.18,34.24,54.36,55.46,81.44,82.66,79.38,15.19,66.95,35.99,45.59,64.84,72.69,40.88,72.56,80.37,79.32,80.1,73.56,79.64,67.38,53.22,58.51,80.2,73.09,47.49,82.65,46.8,47.03,48.15,62.17,54.71,77.5,76.18,79.97,72.11,79.88,71.88,72.09
1972-1981,58.65,77.15,53.58,73.31,80.2,49.91,72.8,80.78,80.54,59.08,49.21,83.25,47.14,72.17,42.58,52.97,78.2,80.3,78.2,80.66,80.65,42.64,48.16,78.51,80.48,55.81,71.15,82.17,49.93,73.39,77.28,80.24,51.01,82.11,77.7,68.31,80.88,75.56,23.93,75.42,81.09,76.94,83.05,49.35,46.44,79.0,76.91,79.3,76.22,75.27,78.38,51.52,78.86,82.4,65.86,44.94,78.68,-4.79,45.14,83.57,80.09,78.91,71.82,75.93,77.33,77.4,81.61,39.64,73.71,45.25,43.06,43.57,80.78,77.66,32.7,54.02,49.35,78.55,79.41,40.51,76.14,82.36,68.1,47.86,45.57,80.05,57.5,-5.82,81.0,80.37,81.17,75.05,50.96,77.31,80.11,78.86,80.11,36.57,77.61,74.97,49.44,33.38,77.83,78.8,65.06,72.93,48.22,48.41,69.04,53.25,79.9,54.33,50.96,69.31,44.6,75.82,81.11,80.48,78.93,41.7,76.85,40.77,64.88,57.99,77.99,74.4,39.58,42.08,47.47,74.56,50.26,74.35,72.08,79.08,86.67,63.7,80.09,83.7,75.11,80.16,70.07,48.89,46.73,33.5,49.44,80.44,62.28,75.77,70.48,62.24,48.09,47.34,73.45,51.59,79.22,85.24,79.97,77.54,36.16,46.54,81.17,30.52,71.82,81.91,72.04,81.51,74.55,81.17,79.82,76.48,75.37,68.32,80.49,45.4,56.71,78.82,81.85,74.49,48.35,22.95,66.93,80.78,79.47,80.97,80.78,39.83,81.19,79.73,55.39,78.86,79.76,83.28,49.8,80.09,78.98,80.34,80.78,45.49,48.6,80.5,81.13,64.21,72.11,34.78,55.01,54.07,81.51,83.25,79.24,17.32,66.94,35.04,43.53,65.78,73.28,42.13,72.98,80.46,79.71,80.21,74.1,79.75,66.73,53.71,59.79,80.68,73.69,46.62,83.36,46.42,46.62,47.98,63.42,55.8,77.59,76.45,80.24,71.55,80.26,71.7,71.88
1982-1991,58.2,77.54,54.82,74.82,80.55,51.88,73.33,80.87,80.59,59.48,49.62,83.16,47.47,72.91,44.44,53.28,78.32,80.23,78.38,80.75,80.74,44.4,49.97,78.42,80.9,55.3,71.87,82.04,51.52,74.85,77.88,80.31,51.43,82.83,77.6,68.74,80.88,75.78,24.5,75.98,81.45,77.28,83.27,49.88,46.54,79.08,77.25,79.56,76.4,75.38,78.76,53.11,79.11,82.28,66.13,46.87,79.04,-6.53,46.69,83.52,80.17,79.04,72.27,74.88,77.72,77.47,81.37,41.98,73.87,46.72,43.37,44.08,81.14,77.83,35.27,55.6,51.23,78.89,79.79,40.52,76.35,82.71,68.0,48.18,47.54,80.54,58.11,-7.63,81.16,80.43,81.57,74.97,51.68,77.78,80.71,79.42,80.32,36.5,77.76,74.83,50.82,33.41,77.97,78.99,65.04,72.84,48.87,49.07,68.76,54.72,80.13,54.8,51.68,68.71,44.78,75.94,81.56,81.06,78.9,40.7,76.88,43.08,65.02,58.77,78.16,74.59,41.53,44.33,49.31,74.44,51.43,74.53,72.83,79.28,87.34,64.93,80.17,84.95,74.98,80.53,70.47,49.4,48.23,35.05,51.04,80.5,63.6,76.59,71.39,61.6,49.94,49.24,73.69,51.44,79.48,85.08,80.03,77.71,36.33,47.34,81.57,31.99,72.49,81.46,71.56,81.78,74.59,81.61,80.19,76.96,75.84,68.92,80.73,47.38,57.89,78.91,81.65,74.36,49.07,23.94,67.38,80.87,79.53,81.1,80.87,40.38,81.35,80.03,56.84,78.91,79.05,83.5,51.24,80.36,79.32,80.51,80.87,46.93,50.2,80.79,81.43,64.9,72.64,34.65,55.42,55.62,81.82,83.43,79.66,16.49,67.63,36.97,45.28,65.62,73.01,41.3,73.32,80.49,79.83,80.73,74.34,79.91,68.21,53.69,59.77,80.87,73.85,47.42,82.83,47.38,47.63,48.13,63.79,55.65,77.67,76.42,80.31,72.75,79.68,72.76,73.18
1992-2001,59.06,77.97,55.33,75.06,80.91,52.42,73.33,81.52,81.2,59.67,50.1,83.71,48.1,72.41,44.88,53.86,78.35,81.19,78.68,80.81,81.28,44.93,50.03,79.2,80.96,55.81,71.87,82.55,52.07,75.28,78.26,80.99,52.3,82.69,77.46,68.93,80.88,75.86,25.08,76.72,81.53,77.41,83.68,50.01,47.05,79.63,77.47,80.0,76.66,75.76,79.22,53.79,79.2,82.77,66.7,47.43,79.24,-3.32,46.62,84.3,80.73,79.35,72.39,75.7,78.17,77.93,81.95,42.06,73.7,46.98,43.94,44.19,81.11,78.17,34.45,55.86,51.41,79.37,80.08,41.02,76.7,82.95,68.72,48.81,47.96,80.54,58.83,-4.35,81.7,81.02,81.4,75.5,52.48,77.83,80.89,79.78,80.55,36.87,78.33,75.18,51.54,33.54,78.19,79.27,65.82,73.65,49.26,49.56,69.49,55.45,80.34,55.41,52.48,69.55,45.73,75.98,81.83,81.28,79.9,41.21,76.81,43.45,65.62,58.96,78.53,75.28,41.77,44.77,49.38,74.83,51.89,75.13,72.96,79.56,87.0,66.36,80.73,84.91,75.42,81.16,70.57,50.16,48.65,35.67,51.23,81.1,64.34,76.93,72.22,62.29,50.11,49.39,74.1,51.54,80.05,85.98,79.97,78.02,36.95,48.14,81.4,31.44,72.07,82.54,72.39,81.89,75.1,81.89,80.47,77.13,76.37,69.11,80.87,47.61,58.97,79.55,82.64,74.93,49.84,24.59,67.44,81.52,80.13,81.66,81.52,40.22,81.9,80.38,58.05,79.38,80.39,83.58,51.58,80.73,79.62,80.78,81.52,47.5,50.96,80.88,81.6,65.25,73.16,35.42,56.0,56.58,82.09,83.75,80.1,18.47,68.02,36.48,45.62,66.26,73.43,41.92,73.61,80.59,79.65,80.73,74.59,80.46,68.93,54.18,60.55,81.09,73.97,48.01,83.94,47.45,47.64,48.31,64.15,56.37,78.04,76.6,80.99,73.67,81.2,72.34,73.2
2002-2011,60.44,78.55,55.26,76.5,81.0,53.57,73.28,81.81,81.51,59.97,50.28,83.95,49.0,73.72,45.57,54.06,78.6,82.26,78.91,81.22,81.68,44.94,51.52,79.54,81.66,55.99,71.53,82.93,52.37,75.11,78.54,81.29,52.03,83.48,77.91,69.43,81.16,76.58,26.24,76.68,81.66,77.93,84.04,49.86,47.85,79.87,77.75,80.52,77.04,76.09,79.44,54.14,79.28,83.14,67.33,47.89,79.9,-2.7,47.76,84.72,81.03,79.74,72.49,76.28,78.12,78.36,82.9,42.1,74.63,47.8,43.55,44.9,81.66,78.32,35.8,57.07,52.8,79.79,80.41,40.84,77.03,83.04,69.22,48.72,48.79,81.18,58.74,-3.73,82.14,81.33,81.33,75.87,53.27,78.45,81.34,80.23,80.83,36.77,78.59,75.14,51.85,34.85,78.54,79.44,67.29,74.58,50.06,50.34,70.07,55.91,80.53,55.44,53.27,70.41,46.2,76.7,82.42,81.79,80.97,42.62,77.24,43.2,66.16,59.38,79.12,75.81,42.83,44.5,50.88,74.77,51.87,75.58,73.13,79.81,87.49,66.33,81.03,86.3,76.1,81.49,71.45,50.18,49.9,36.37,51.55,81.41,65.4,77.21,72.26,62.94,51.36,50.66,73.96,51.31,80.31,86.6,80.92,78.31,37.87,48.08,81.33,33.39,73.24,84.06,73.61,81.91,75.31,82.48,80.77,77.09,76.67,69.04,81.0,47.64,59.9,79.82,83.91,75.41,49.85,25.87,68.01,81.81,80.47,82.01,81.81,41.6,82.25,80.61,58.13,79.88,81.23,83.84,51.83,81.35,80.06,81.21,81.81,47.75,51.32,81.2,82.44,65.56,73.27,35.74,56.1,57.55,82.38,84.13,80.54,20.48,68.28,37.79,46.93,67.02,73.82,43.14,74.14,80.78,80.02,81.48,74.86,80.9,69.93,54.39,61.38,81.4,74.55,48.23,85.56,48.73,49.04,49.14,64.28,57.19,78.46,76.9,81.29,74.6,81.74,72.4,72.88
