Year,Afghanistan,Africa,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua And Barbuda,Argentina,Armenia,Aruba,Asia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Baker Island,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,"Bonaire, Saint Eustatius And Saba",Bosnia And Herzegovina,Botswana,Brazil,British Virgin Islands,Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Christmas Island,Colombia,Comoros,Congo,Congo (Democratic Republic Of The),Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,Côte D'Ivoire,Denmark,Denmark (Europe),Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Europe,Falkland Islands (Islas Malvinas),Faroe Islands,Federated States Of Micronesia,Fiji,Finland,France,France (Europe),French Guiana,French Polynesia,French Southern And Antarctic Lands,Gabon,Gambia,Gaza Strip,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea Bissau,Guyana,Haiti,Heard Island And Mcdonald Islands,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle Of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kingman Reef,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macau,Macedonia,Madagascar,Malawi,Malaysia,Mali,Malta,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nepal,Netherlands,Netherlands (Europe),New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North America,North Korea,Northern Mariana Islands,Norway,Oceania,Oman,Pakistan,Palau,Palestina,Palmyra Atoll,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,Saint Barthélemy,Saint Kitts And Nevis,Saint Lucia,Saint Martin,Saint Pierre And Miquelon,Saint Vincent And The Grenadines,Samoa,San Marino,Sao Tome And Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South America,South Georgia And The South Sandwich Isla,South Korea,Spain,Sri Lanka,Sudan,Suriname,Svalbard And Jan Mayen,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor Leste,Togo,Tonga,Trinidad And Tobago,Tunisia,Turkey,Turkmenistan,Turks And Caicas Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Kingdom (Europe),United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Virgin Islands,Western Sahara,Yemen,Zambia,Zimbabwe
1912-1921,32.66,69.37,38.19,52.7,77.83,37.96,65.22,76.09,75.8,44.68,24.75,78.22,18.23,57.36,25.26,31.17,70.05,59.65,75.77,64.2,76.4,19.57,34.47,71.42,77.39,38.83,63.14,77.03,32.34,58.17,72.96,75.61,31.43,76.41,64.81,66.12,74.24,73.31,-12.57,70.69,75.21,74.24,70.11,40.32,16.28,76.31,75.02,74.11,73.61,73.07,75.74,33.84,72.24,77.49,51.85,27.29,76.44,-26.85,31.46,75.4,75.38,74.05,69.4,56.0,73.54,73.77,72.61,17.77,70.09,28.59,36.14,36.21,78.94,72.93,7.7,43.52,36.84,76.33,61.06,0.0,72.25,76.03,50.66,27.62,30.27,77.32,42.6,-28.12,77.25,75.66,77.93,68.48,42.7,74.61,76.49,76.63,75.61,0.0,71.71,58.69,28.8,21.67,62.16,76.79,40.89,47.45,40.26,40.94,51.84,40.18,75.56,32.77,42.7,48.01,6.66,71.9,78.82,77.68,54.56,7.79,64.18,19.37,47.75,43.65,75.61,54.42,23.89,21.46,33.32,57.41,31.57,66.01,63.24,76.18,69.62,54.64,75.38,66.96,68.52,75.94,58.38,24.99,32.41,-9.7,31.95,75.72,48.41,66.88,57.91,42.5,35.48,34.54,67.2,41.64,75.46,65.78,75.15,73.02,9.18,13.64,77.93,13.79,57.96,66.68,48.1,79.27,69.26,78.86,77.33,73.95,62.85,65.01,76.41,25.22,46.09,73.82,62.03,68.93,26.38,-16.15,64.65,76.09,74.97,76.72,76.09,19.04,77.08,77.45,42.26,76.02,59.03,75.83,29.95,78.13,76.27,77.51,76.09,26.13,31.14,78.58,76.51,50.33,66.01,25.68,28.01,41.85,77.11,71.49,76.95,-0.66,56.18,14.14,28.71,43.51,59.7,12.52,68.05,71.37,75.13,77.56,68.4,76.15,50.73,33.31,31.16,74.96,71.28,22.27,64.81,38.42,37.8,23.81,50.32,24.76,75.02,65.17,75.61,61.05,67.83,62.27,59.97
1922-1931,30.3,69.91,36.53,53.08,78.25,37.59,65.19,76.5,76.29,44.2,22.21,78.38,18.04,56.8,23.12,28.96,70.87,59.82,76.43,64.12,76.91,15.65,32.95,71.45,77.22,38.4,63.26,77.16,30.8,58.07,73.13,75.99,29.17,76.43,65.82,66.45,75.64,73.4,-10.51,70.97,75.96,74.83,71.6,40.08,15.96,76.3,75.29,74.0,73.63,72.85,76.38,32.29,72.99,77.59,51.89,24.82,75.96,-23.5,29.28,75.36,75.91,74.37,69.35,56.17,74.3,73.75,73.31,16.47,70.21,27.54,35.7,37.77,79.32,73.13,10.16,43.07,36.21,76.48,69.13,0.0,72.25,76.18,50.74,25.28,27.82,76.67,41.13,-24.7,77.57,76.18,78.08,68.84,42.44,74.36,76.57,76.79,76.0,0.0,72.38,59.09,26.72,25.23,62.08,77.16,39.62,46.99,40.43,40.53,51.98,38.84,76.23,31.24,42.44,48.25,4.1,71.69,79.32,78.3,54.22,6.45,65.23,17.09,47.72,43.72,75.17,54.74,21.85,18.4,31.84,57.81,29.53,66.38,62.7,76.97,69.65,53.6,75.91,66.79,69.01,75.96,58.44,21.44,31.67,-9.35,30.14,76.22,49.05,66.54,58.04,41.75,33.45,32.45,67.41,41.24,76.2,67.2,75.88,73.46,11.0,12.68,78.08,15.64,57.43,66.8,46.57,79.62,69.55,79.35,77.85,73.51,63.05,64.9,76.63,22.6,45.83,74.02,62.44,69.18,23.65,-15.39,65.19,76.5,75.41,77.19,76.5,18.3,77.47,77.78,41.33,76.01,59.73,75.75,27.66,78.02,76.01,78.06,76.5,23.99,29.48,78.31,76.51,50.76,66.04,26.4,27.67,41.44,77.45,72.12,77.07,1.05,55.95,15.07,27.3,42.9,60.61,10.31,67.72,72.82,74.89,77.16,68.88,76.27,50.28,32.29,28.03,75.42,71.02,18.66,64.96,37.85,37.24,24.77,50.33,21.74,75.12,66.03,75.99,61.2,68.44,62.1,59.64
1932-1941,30.89,70.16,35.93,53.1,79.02,36.64,65.28,76.38,76.29,46.1,22.03,78.16,18.13,56.93,21.92,29.93,71.28,59.5,76.86,63.77,77.27,15.73,31.84,72.09,77.57,38.44,64.31,77.11,29.43,58.43,74.09,75.72,29.26,77.07,64.86,66.79,75.33,74.08,-11.51,71.13,76.08,75.5,72.33,41.12,15.95,76.77,75.76,74.46,73.88,73.15,76.18,30.85,73.3,77.39,51.45,23.84,76.08,-22.06,30.12,75.73,76.05,74.52,69.5,56.43,74.18,74.19,73.9,17.34,70.85,27.12,36.62,37.7,79.62,73.89,10.8,41.79,34.58,76.96,77.05,0.0,72.45,76.19,50.61,25.88,27.12,76.76,41.05,-23.2,78.42,76.23,78.57,69.11,41.17,74.68,76.58,77.27,76.25,0.0,72.41,59.11,25.27,24.2,61.92,77.41,39.95,46.56,39.76,40.04,51.9,38.45,76.18,32.18,41.17,47.94,4.47,72.49,79.64,78.49,53.91,6.73,64.46,17.3,47.37,44.4,75.37,55.26,20.25,18.11,30.48,57.83,28.97,66.54,63.06,77.19,70.15,54.01,76.05,66.87,69.16,76.34,59.55,21.35,30.55,-9.59,29.18,76.26,48.69,66.77,58.35,41.73,33.18,32.18,67.34,40.51,76.15,67.76,76.25,74.25,10.94,12.37,78.57,16.03,57.56,66.66,46.85,79.63,69.69,79.68,77.71,74.15,64.75,65.37,76.81,21.35,45.52,73.86,62.26,69.35,22.94,-14.62,65.43,76.38,75.33,77.63,76.38,19.52,78.09,78.6,40.56,76.38,59.52,75.82,26.91,78.58,76.29,78.24,76.38,22.46,28.06,78.46,76.55,51.31,67.02,26.5,27.11,41.12,77.45,72.95,77.62,1.65,56.06,16.77,25.77,42.31,60.36,9.97,68.27,72.22,75.13,77.28,69.51,77.18,50.28,31.37,29.35,75.87,71.62,18.7,64.74,37.47,36.82,24.9,51.67,22.38,75.66,65.53,75.72,60.99,68.36,62.23,59.77
1942-1951,32.12,69.96,35.08,52.75,78.86,37.21,65.29,76.44,76.31,45.6,22.28,78.76,18.88,57.19,22.06,29.13,70.89,60.22,76.87,64.73,77.11,16.47,31.9,71.93,77.1,39.26,63.97,77.55,29.3,58.34,73.54,75.94,27.58,76.14,65.87,66.89,75.41,73.85,-10.63,70.52,75.94,74.99,71.14,40.94,16.76,76.94,75.81,74.59,74.08,73.26,76.41,30.79,72.93,77.99,51.09,24.32,75.77,-24.33,29.7,76.17,76.01,74.56,69.62,55.82,74.01,74.18,73.79,16.46,70.74,26.96,36.89,37.37,79.57,73.86,9.04,42.11,35.01,76.75,77.07,3.69,72.64,75.33,50.05,24.61,27.73,76.5,39.91,-25.55,78.13,76.22,78.79,69.0,40.84,74.32,75.92,77.36,76.19,3.35,72.25,59.3,24.97,24.04,62.08,77.63,40.35,47.07,39.37,39.38,51.38,38.32,76.01,32.53,40.84,47.68,3.54,72.51,79.51,78.38,54.59,7.44,64.93,17.47,46.88,43.98,75.12,54.32,20.8,18.85,30.62,58.07,27.69,66.61,63.44,77.39,69.09,53.73,76.01,65.74,69.28,76.57,58.86,21.01,30.79,-9.99,28.55,76.26,48.8,67.05,58.24,42.22,33.09,32.09,68.1,42.01,75.86,66.93,75.91,73.78,11.54,13.29,78.79,13.94,57.86,67.05,47.5,80.07,69.48,79.54,77.86,74.54,63.91,65.52,77.16,22.28,46.24,74.17,62.91,69.3,22.19,-13.94,65.59,76.44,75.43,77.49,76.44,20.96,77.91,78.41,40.18,76.27,60.07,74.9,26.05,78.4,76.29,78.47,76.44,22.84,28.16,78.85,76.64,50.87,66.64,27.38,27.78,41.77,77.4,72.08,77.41,0.89,56.45,13.64,26.08,42.46,60.49,11.69,68.29,72.4,75.42,76.93,69.44,77.06,50.45,30.7,28.59,75.52,71.32,18.36,65.38,37.18,36.44,25.18,51.3,22.13,75.71,65.95,75.94,60.51,68.79,62.44,60.09
1952-1961,34.28,69.84,37.81,52.91,78.96,37.01,65.11,77.19,76.94,44.28,23.84,79.44,19.28,57.29,22.84,31.38,69.96,60.56,77.15,64.74,77.71,17.9,32.97,71.55,76.77,38.67,62.67,78.35,31.03,58.8,73.61,76.63,31.03,76.68,65.44,66.78,75.61,73.52,-10.74,70.69,75.51,74.88,70.57,40.29,15.93,76.92,75.97,74.8,73.38,73.03,76.84,32.11,72.21,78.78,52.09,24.94,75.67,-23.59,29.92,76.19,76.63,74.18,69.84,56.05,74.05,73.34,73.15,16.88,70.94,27.83,37.27,36.48,79.78,74.05,9.39,42.45,35.33,77.36,76.92,35.46,71.8,75.51,50.9,26.95,28.47,76.31,42.58,-24.8,78.67,76.83,78.95,68.71,41.7,74.34,76.05,77.82,75.64,32.12,72.34,59.22,26.82,23.38,62.67,77.72,42.28,47.58,39.55,39.37,52.14,38.85,75.86,33.11,41.7,48.26,7.54,72.54,79.67,78.49,54.96,9.47,65.09,18.24,47.8,44.4,75.08,53.98,21.28,19.68,31.51,57.93,30.76,66.7,63.42,77.63,69.94,53.71,76.63,66.4,69.2,76.63,58.85,24.35,30.85,-9.1,31.28,76.86,48.76,67.07,58.3,42.02,34.11,33.1,67.48,41.42,76.39,66.91,75.56,74.38,11.25,12.72,78.95,14.58,57.93,67.47,48.39,80.24,69.84,79.71,78.25,74.58,61.9,65.58,77.45,23.26,45.8,74.81,63.49,69.62,25.47,-14.09,65.51,77.19,76.13,78.07,77.19,22.54,78.45,78.59,40.86,75.54,59.95,75.05,28.46,78.67,76.15,78.72,77.19,24.09,29.01,79.05,77.13,51.2,66.28,27.37,28.01,41.27,78.01,71.44,78.14,0.62,56.46,14.79,26.28,43.03,60.49,14.36,68.39,72.3,76.31,76.59,69.73,77.62,50.14,32.74,32.49,74.84,71.5,21.28,66.05,37.29,36.54,25.69,50.47,26.21,76.26,66.06,76.63,60.52,68.7,62.62,60.39
1962-1971,32.61,69.83,36.13,53.94,78.72,37.19,65.58,76.81,76.72,45.06,23.74,79.54,19.05,57.29,21.31,31.18,70.4,60.68,76.9,64.6,77.57,15.27,31.9,72.07,77.11,38.41,63.5,78.27,29.04,58.29,73.8,76.3,29.1,76.48,65.58,66.65,75.21,73.82,-11.58,71.57,75.56,74.7,70.09,40.85,16.85,76.97,75.88,74.54,73.79,73.22,76.67,30.4,72.59,78.72,52.5,23.27,76.24,-22.51,29.53,75.37,76.53,74.62,70.15,56.14,74.72,73.93,72.85,14.35,69.88,26.5,37.72,36.24,79.27,73.7,6.03,41.86,34.62,77.26,77.03,34.62,72.34,75.11,51.13,27.79,26.62,76.71,41.49,-23.64,78.51,76.68,78.52,69.17,40.99,74.18,75.61,77.84,76.21,31.27,72.96,58.08,24.71,22.67,62.18,77.75,41.12,47.84,39.25,39.02,52.39,38.51,75.98,32.84,40.99,48.41,6.16,72.66,79.8,78.85,55.73,9.41,64.8,15.56,48.12,43.81,75.59,54.61,19.67,17.25,30.39,56.83,28.84,66.66,63.67,77.21,70.42,53.75,76.53,67.3,68.73,76.44,58.47,22.73,30.61,-7.86,29.26,76.7,48.94,67.1,58.18,42.01,33.14,32.12,67.66,41.63,76.67,66.53,75.46,73.82,9.9,13.39,78.52,11.96,57.91,67.33,47.56,80.06,69.58,79.83,78.19,74.55,63.19,65.65,77.1,20.46,46.07,74.4,63.16,69.05,23.23,-14.73,65.28,76.81,75.86,77.96,76.81,23.19,78.36,78.34,40.35,76.11,60.22,75.07,26.29,78.6,76.53,78.22,76.81,22.2,27.64,78.81,76.74,50.65,66.68,28.47,27.36,41.71,77.75,71.32,77.95,-4.24,55.91,11.86,25.33,43.48,59.21,13.31,68.44,72.33,75.75,77.02,69.14,77.51,51.11,33.48,31.08,75.61,71.75,19.99,65.74,37.19,36.46,23.94,50.71,24.69,76.2,65.44,76.3,61.16,68.62,62.69,60.2
1972-1981,31.5,69.54,37.5,53.05,79.08,38.64,65.51,76.88,76.73,45.79,22.12,79.52,18.82,58.19,25.11,28.98,69.96,60.34,77.11,64.8,77.55,18.28,34.22,71.65,77.58,38.78,64.0,78.22,32.65,58.37,74.05,76.39,30.5,76.34,65.23,67.24,75.23,73.82,-10.29,71.29,75.17,75.01,69.8,41.1,17.5,77.39,75.91,75.13,73.85,73.29,76.63,34.24,72.14,78.68,51.79,27.55,76.38,-25.32,30.82,76.05,76.39,74.85,70.39,55.17,74.35,73.9,73.35,18.61,70.65,28.72,36.82,37.97,80.15,74.15,10.19,43.69,36.81,77.16,76.89,35.67,72.36,76.13,50.35,25.7,30.0,76.98,41.83,-26.56,78.58,76.65,79.16,68.91,42.7,74.62,76.49,77.46,76.29,31.89,72.55,59.63,28.93,23.01,62.63,77.92,39.98,46.84,39.83,40.26,51.59,40.51,75.91,33.17,42.7,47.52,4.87,72.99,79.83,78.63,54.77,9.32,64.77,19.42,47.36,44.42,75.79,53.6,23.34,21.01,33.11,58.41,30.42,66.87,63.24,77.3,69.75,54.47,76.39,67.04,69.72,77.11,58.75,23.75,33.1,-6.15,31.55,76.69,49.45,66.82,58.65,42.56,35.17,34.19,67.79,42.07,76.32,65.78,75.12,74.38,10.97,15.57,79.16,14.6,58.78,67.38,47.75,80.31,69.94,79.84,78.12,74.8,64.6,65.91,77.22,24.74,46.55,74.76,62.88,69.9,25.61,-14.7,65.87,76.88,75.9,77.95,76.88,20.73,78.37,78.71,43.31,76.18,59.54,75.82,29.57,78.94,76.93,78.51,76.88,26.46,31.43,79.16,77.52,51.53,67.01,27.53,29.31,42.48,77.84,71.49,77.71,-0.77,56.24,14.7,28.41,42.67,60.79,12.56,68.52,72.04,76.65,77.36,69.82,77.53,50.88,31.7,29.24,75.47,72.02,20.47,65.31,37.85,37.13,24.5,51.76,22.98,75.99,65.96,76.39,61.62,69.02,62.25,59.73
1982-1991,34.31,69.55,37.23,52.74,79.21,37.64,66.08,77.32,77.12,45.81,24.32,79.61,19.97,57.73,23.61,31.69,71.92,59.62,77.36,65.04,77.9,18.53,32.72,72.47,77.43,39.4,63.93,78.43,31.82,59.9,74.32,76.77,30.99,75.93,65.88,67.3,75.79,73.65,-9.56,71.45,76.64,74.69,69.58,41.28,18.46,77.69,76.39,75.32,74.12,73.8,77.24,32.87,73.91,78.84,51.57,25.47,76.62,-25.71,30.29,76.1,76.82,75.55,70.4,55.49,75.12,74.17,72.76,17.26,70.89,28.11,37.34,38.34,80.39,73.99,7.82,42.59,35.41,77.45,77.54,35.5,72.77,76.59,50.47,27.41,28.43,77.3,41.57,-26.99,78.78,77.01,79.49,69.63,41.23,74.43,76.89,78.05,77.17,31.95,73.08,60.08,27.48,24.17,63.34,78.09,41.66,47.16,39.36,39.77,51.75,39.32,77.02,33.28,41.23,47.81,9.37,73.11,80.1,78.92,54.55,11.67,65.24,18.56,47.38,45.04,75.99,54.03,21.7,20.17,31.41,58.75,30.22,67.06,64.85,77.71,69.27,54.24,76.82,66.84,69.63,77.19,58.54,25.0,31.8,-4.51,31.5,77.05,49.12,68.42,59.3,42.94,33.9,32.89,68.37,42.46,77.09,65.8,74.98,74.34,11.25,15.37,79.49,15.09,58.37,67.36,49.32,80.64,69.94,80.13,78.35,74.95,63.91,66.33,77.38,23.86,46.81,75.04,62.27,70.01,25.87,-13.47,65.83,77.32,76.22,78.24,77.32,20.7,78.61,78.78,41.37,76.46,58.91,76.11,28.98,79.0,76.98,78.5,77.32,24.83,29.77,79.27,77.42,52.02,67.19,28.59,29.4,42.35,78.46,70.39,78.13,-0.15,57.44,13.86,26.87,42.92,61.2,14.65,69.31,72.1,76.36,77.64,69.76,77.63,50.44,32.5,33.46,76.65,72.21,21.77,65.16,37.29,36.46,25.06,51.83,27.27,76.42,66.56,76.77,61.54,68.6,64.11,61.91
1992-2001,34.98,70.36,37.5,53.99,79.38,39.2,66.67,77.62,77.5,45.56,25.01,80.25,20.44,58.67,25.67,32.5,71.45,60.65,77.63,64.23,78.36,20.85,35.02,72.85,77.71,39.18,63.77,78.9,32.2,60.1,74.8,77.04,30.64,76.75,65.78,67.43,76.3,74.25,-9.0,72.52,76.46,75.45,70.11,40.85,18.19,77.93,76.65,75.7,74.6,73.94,77.49,33.96,73.34,79.47,52.11,27.77,76.85,-24.01,32.88,76.46,77.23,75.38,70.7,56.3,75.57,74.57,73.54,20.66,71.23,29.72,37.47,38.34,80.48,74.42,12.6,44.53,37.66,77.98,77.86,35.57,73.17,76.91,50.87,28.53,30.84,77.22,42.06,-25.26,79.29,77.42,79.54,70.11,43.7,75.06,77.12,78.42,76.87,32.4,73.7,60.13,28.46,24.39,62.99,78.47,42.32,47.95,41.25,41.92,52.11,40.54,76.85,34.73,43.7,48.12,9.78,73.18,80.66,79.61,55.05,12.06,66.19,21.27,48.0,45.0,76.3,54.99,24.15,22.98,33.91,58.8,30.17,67.51,64.55,78.02,70.47,54.57,77.23,68.06,70.27,77.62,59.41,24.79,33.58,-5.07,31.52,77.46,49.99,68.41,59.89,43.05,36.01,35.05,68.43,42.4,77.33,66.43,75.77,74.43,12.28,16.72,79.54,17.22,59.24,68.0,49.28,80.74,70.26,80.69,78.86,75.14,63.91,66.49,78.01,26.34,46.93,75.07,63.51,70.58,26.09,-12.17,66.09,77.62,76.59,78.71,77.62,21.3,79.09,78.99,43.02,76.62,59.63,76.57,29.03,79.41,77.24,79.2,77.62,26.55,31.57,79.56,77.52,51.97,67.44,28.76,31.15,42.72,78.37,71.73,78.63,-0.32,57.56,18.6,29.16,43.62,61.86,15.56,69.2,73.36,76.81,77.47,69.8,78.18,51.63,33.39,34.45,76.18,72.15,22.72,66.16,39.17,38.51,26.54,51.7,28.03,76.81,67.07,77.04,62.39,69.02,63.91,61.76
2002-2011,34.2,70.71,37.58,54.56,79.7,38.72,66.94,78.08,77.89,45.88,24.16,80.54,20.56,58.66,24.86,31.75,71.18,60.3,77.89,64.81,78.8,19.04,35.02,72.69,78.24,39.9,64.07,79.39,31.99,59.31,75.3,77.47,30.53,77.08,66.93,68.06,76.66,74.92,-6.46,72.47,76.23,75.62,70.91,41.18,18.43,78.19,76.86,76.22,75.28,74.51,77.41,33.64,73.22,79.84,53.0,27.12,77.41,-20.21,32.2,77.19,77.63,75.85,71.36,57.13,75.31,75.31,74.17,18.0,72.09,29.63,38.01,38.99,80.79,74.48,10.63,44.02,36.95,78.65,78.0,35.84,73.84,77.21,52.0,28.25,30.42,77.8,42.1,-21.39,79.65,77.8,79.8,69.97,43.8,75.91,77.62,78.79,77.22,32.67,73.28,59.62,28.61,25.69,63.38,78.65,42.29,47.72,41.23,41.98,53.26,39.85,76.62,34.98,43.8,48.86,6.41,73.77,81.0,79.66,54.51,11.46,66.16,19.06,48.8,44.56,76.82,55.82,23.05,20.54,33.52,58.32,30.62,67.93,64.77,78.34,70.91,54.4,77.63,68.44,70.61,78.26,59.35,24.49,32.3,-6.92,31.43,77.83,49.86,68.22,59.86,43.49,36.27,35.3,68.45,42.53,77.24,67.41,76.61,74.73,13.84,16.73,79.8,16.58,59.27,68.34,49.35,81.25,70.87,81.04,78.83,75.3,64.37,66.37,78.11,24.66,47.49,75.65,63.36,70.87,25.66,-12.92,66.7,78.08,76.96,79.12,78.08,23.35,79.48,79.22,42.56,77.54,59.61,76.88,29.11,79.93,77.72,79.52,78.08,26.06,30.95,79.92,78.36,51.92,67.83,29.2,30.24,43.17,78.38,72.23,79.13,1.76,57.32,16.81,28.07,43.85,61.41,15.21,69.88,73.59,76.65,78.1,70.02,78.57,52.06,33.47,31.83,76.49,72.69,22.11,66.45,39.52,38.85,27.17,51.74,25.32,77.15,66.68,77.47,62.96,69.02,63.95,60.99
