Year,City,Lat,Lon,temp_mean
1900,A Coruña,42.59,-8.73,13.26791667
1900,Aachen,50.63,6.34,9.1325
1900,Aalborg,57.05,10.33,7.37525
1900,Aba,5.63,8.07,26.41883333
1900,Abadan,29.74,48,25.01616667
1900,Abakaliki,5.63,8.07,26.41883333
1900,Abakan,53.84,91.36,-0.683416667
1900,Abbotsford,49.03,-122.45,7.6045
1900,Abengourou,7.23,-4.05,26.37041667
1900,Abeokuta,7.23,4.05,26.18691667
1900,Aberdeen,57.05,-1.48,8.119
1900,Abha,18.48,42.25,24.23833333
1900,Abidjan,5.63,-3.23,26.1185
1900,Abiko,36.17,139.23,12.10608333
1900,Abilene,32.95,-100.53,16.72533333
1900,Abohar,29.74,73.85,24.94541667
1900,Abomey Calavi,7.23,2.43,26.98983333
1900,Abu Dhabi,24.92,54.98,26.43108333
1900,Abuja,8.84,7.3,25.95433333
1900,Acapulco,16.87,-100.47,26.08075
1900,Acarigua,8.84,-68.92,27.26933333
1900,Accra,5.63,0,26.30741667
1900,Achalpur,21.7,77.02,26.60375
1900,Acheng,45.81,128.08,2.055666667
1900,Achinsk,57.05,90,-0.506416667
1900,Acuña,29.74,-101.54,19.04433333
1900,Adana,36.17,35.8,18.96816667
1900,Addis Abeba,8.84,38.11,17.31141667
1900,Adelaide,-34.56,138.16,15.65966667
1900,Aden,13.66,45.41,25.30033333
1900,Adilabad,20.09,78.48,28.12841667
1900,Adiwerna,-7.23,109.46,25.89383333
1900,Adoni,15.27,77.5,27.94075
1900,Afyonkarahisar,39.38,31.21,11.63616667
1900,Agadir,29.74,-9.23,17.55741667
1900,Agartala,23.31,91.75,25.43966667
1900,Agboville,5.63,-4.84,26.14925
1900,Ageo,36.17,139.23,12.10608333
1900,Agra,26.52,78.81,25.677
1900,Aguascalientes,21.7,-102.98,17.96991667
1900,Ahmadabad,23.31,72.52,26.90266667
1900,Ahmadnagar,18.48,74.37,25.28783333
1900,Ahmadpur East,29.74,72,25.75341667
1900,Ahvaz,31.35,49.01,24.2545
1900,Aix En Provence,44.2,4.47,11.55616667
