,Code,Coastal population,Continent,Country,Littered Plastic Waste,"Plastic waste generation (tonnes, total)",Littered waste(%)
0,ALB,2530533.0,Europe,Albania,1273.12,73364.0,1.735347036693746
1,DZA,16556580.0,Africa,Algeria,17331.66,1898343.0,0.9129888539636936
2,AGO,3790041.0,Africa,Angola,1719.88,528843.0,0.3252156121949236
4,ATG,66843.0,Americas,Antigua and Barbuda,320.835,22804.0,1.4069242238203823
5,ARG,16449245.0,Americas,Argentina,21901.46,2753550.0,0.7953899511539649
6,ABW,137910.0,Americas,Aruba,252.58,9352.0,2.7008126603934985
7,AUS,17235954.0,Oceania,Australia,13888.98,900658.0,1.5420925589957564
8,BHS,341145.0,Americas,Bahamas,967.25,51364.0,1.88312826103886
9,BHR,743574.0,Asia,Bahrain,713.5749999999999,59785.0,1.193568620891528
10,BGD,70874124.0,Asia,Bangladesh,17686.805,1888170.0,0.9367167680876193
11,BRB,276784.0,Americas,Barbados,1146.83,58164.0,1.9717179011072141
12,BEL,4747957.0,Europe,Belgium,2742.975,318151.0,0.8621613636292201
13,BLZ,202429.0,Americas,Belize,252.215,20191.0,1.249145658956961
14,BEN,3235418.0,Africa,Benin,1013.97,144382.0,0.7022828330401296
15,BMU,66966.0,Americas,Bermuda,122.64,5990.0,2.0474123539232054
16,BIH,585582.0,Europe,Bosnia and Herzegovina,612.835,195633.0,0.3132574770105248
17,BRA,74696771.0,Americas,Brazil,89582.315,11852055.0,0.7558378272797418
18,VGB,29674.0,Americas,British Virgin Islands,54.385,2504.0,2.1719249201277955
19,BRN,359871.0,Asia,Brunei,67.52499999999999,3688.0,1.8309381778741862
20,BGR,1002695.0,Europe,Bulgaria,1119.455,415707.0,0.2692894274092089
21,KHM,1391254.0,Asia,Cambodia,667.22,344698.0,0.1935665423065988
22,CMR,1986723.0,Africa,Cameroon,664.3,335305.0,0.19811813125363475
23,CAN,11846863.0,Americas,Canada,7959.554999999999,1154309.0,0.6895514979091386
24,CPV,522245.0,Africa,Cape Verde,246.74,11919.0,2.070140112425539
25,CYM,51864.0,Americas,Cayman Islands,94.9,5106.0,1.8585977281629456
26,CHL,5621550.0,Americas,Chile,4853.04,738106.0,0.6574990584008259
27,CHN,262892387.0,Asia,China,231157.42,59079741.0,0.3912634281859834
28,COL,7498563.0,Americas,Colombia,7849.69,2413455.0,0.3252470006691652
29,COM,938595.0,Africa,Comoros,1367.655,50599.0,2.70292891163857
30,COG,847807.0,Africa,Congo,424.86,110479.0,0.3845617719204555
32,CRI,2479298.0,Americas,Costa Rica,4664.335,428029.0,1.0897240607528929
33,CIV,6230583.0,Africa,Cote d'Ivoire,4653.02,766988.0,0.606661381925141
34,HRV,1602782.0,Europe,Croatia,2936.06,406347.0,0.7225499388453711
35,CUB,11333471.0,Americas,Cuba,7337.96,368154.0,1.9931767684175643
36,CUW,143784.0,Americas,Curacao,263.53,13678.0,1.9266705658722032
37,CYP,840556.0,Asia,Cyprus,1517.67,100713.0,1.506925620327068
38,COD,1076056.0,Africa,Democratic Republic of Congo,351.495,1059795.0,0.03316631990149038
39,DNK,5376386.0,Europe,Denmark,1790.69,95171.0,1.8815500520116422
40,DJI,621744.0,Africa,Djibouti,464.28,31999.0,1.4509203412606644
41,DMA,70138.0,Americas,Dominica,75.92,3885.0,1.9541827541827541
42,DOM,8232586.0,Americas,Dominican Republic,8618.015,520238.0,1.6565523856388806
43,ECU,6400048.0,Americas,Ecuador,6836.815,801321.0,0.853193039992712
44,EGY,21750943.0,Africa,Egypt,28170.335,5464471.0,0.5155180620411381
45,SLV,6410726.0,Americas,El Salvador,6848.13,330763.0,2.07040388435224
46,GNQ,351600.0,Africa,Equatorial Guinea,367.92,49990.0,0.7359871974394879
47,ERI,1266222.0,Africa,Eritrea,413.545,72120.0,0.573412368275097
48,EST,878021.0,Europe,Estonia,1126.025,85534.0,1.3164647976243367
49,FRO,50554.0,Europe,Faeroe Islands,92.71,4466.0,2.0759068517689205
51,FJI,896145.0,Oceania,Fiji,1229.685,59324.0,2.0728288719573866
52,FIN,2927674.0,Europe,Finland,4984.805,458084.0,1.0881857912522594
53,FRA,17287280.0,Europe,France,24108.615,4557128.0,0.5290308940192157
55,PYF,270618.0,Oceania,French Polynesia,495.67,24634.0,2.0121376958675
56,GAB,862328.0,Africa,Gabon,338.355,32329.0,1.04659902873581
57,GMB,1324214.0,Africa,Gambia,458.44,29646.0,1.5463806247048506
58,GEO,1124249.0,Asia,Georgia,547.865,97443.0,0.5622415155526821
59,DEU,8837035.0,Europe,Germany,31238.89,14476561.0,0.21578944059987729
60,GHA,7727702.0,Africa,Ghana,2206.06,357877.0,0.6164296671761527
61,GIB,33483.0,Europe,Gibraltar,61.32,3053.0,2.008516213560432
62,GRC,9794702.0,Europe,Greece,14228.795,811858.0,1.7526211480332767
63,GRL,57068.0,Americas,Greenland,104.39,5234.0,1.9944593045471914
64,GRD,96121.0,Americas,Grenada,227.395,12417.0,1.8313199645647096
66,GUM,190809.0,Oceania,Guam,349.67,14666.0,2.3842220100913676
67,GTM,2392442.0,Americas,Guatemala,4872.75,1495229.0,0.32588653644358156
69,GIN,1996496.0,Africa,Guinea,432.89,118196.0,0.36624758875088836
70,GNB,1208106.0,Africa,Guinea-Bissau,473.77,30666.0,1.544935759473032
71,GUY,513235.0,Americas,Guyana,2186.715,159681.0,1.369427170421027
72,HTI,9155693.0,Americas,Haiti,5981.985,328487.0,1.8210720667788984
73,HND,3324144.0,Americas,Honduras,4556.66,565317.0,0.8060362593023029
74,HKG,7573074.0,Asia,Hong Kong,21947.815,1020406.0,2.150890429887711
75,ISL,292708.0,Europe,Iceland,598.235,32620.0,1.8339515634580013
76,IND,187493433.0,Asia,India,13728.015,4493080.0,0.30553684777480034
77,IDN,187223476.0,Asia,Indonesia,77821.65,5045714.0,1.542331769101459
78,IRN,9099695.0,Asia,Iran,9525.77,3919268.0,0.24304972255023133
79,IRQ,639228.0,Asia,Iraq,477.42,1156524.0,0.041280595992819864
80,IRL,3749576.0,Europe,Ireland,11709.93,715716.0,1.6361140452358198
81,ISR,6677810.0,Asia,Israel,14416.77,826436.0,1.7444508709688349
82,ITA,33822532.0,Europe,Italy,32760.575,2899258.0,1.1299641149563096
83,JAM,2820558.0,Americas,Jamaica,702.26,34962.0,2.0086379497740405
84,JPN,115228891.0,Asia,Japan,143120.88,7993489.0,1.7904682173203716
85,JOR,55392.0,Asia,Jordan,58.035,377506.0,0.01537326559048068
86,KEN,2729945.0,Africa,Kenya,535.09,407506.0,0.1313084960712235
87,KIR,94487.0,Oceania,Kiribati,70.445,3859.0,1.8254729204457112
88,KWT,2293604.0,Asia,Kuwait,11444.575,750690.0,1.5245407558379624
89,LVA,1432078.0,Europe,Latvia,1286.625,94935.0,1.3552693948491072
90,LBN,3890871.0,Asia,Lebanon,2664.5,148807.0,1.7905743681412836
91,LBR,2148271.0,Africa,Liberia,1312.54,121050.0,1.084295745559686
92,LBY,4050128.0,Africa,Libya,4239.84,324250.0,1.3075836545875097
93,LTU,443894.0,Europe,Lithuania,425.955,149227.0,0.28544097247817085
94,MAC,257911.0,Asia,Macao,690.5799999999999,72126.0,0.9574633280647755
95,MDG,7062413.0,Africa,Madagascar,804.095,123526.0,0.6509520262940596
