,Country,Code,Continent
0,Afghanistan,AFG,Asia
1,False,ALA,Europe
2,Albania,ALB,Europe
3,Algeria,DZA,Africa
4,American Samoa,ASM,Oceania
5,Andorra,AND,Europe
6,Angola,AGO,Africa
7,Anguilla,AIA,Americas
8,Antarctica,ATA,
9,Antigua and Barbuda,ATG,Americas
10,Argentina,ARG,Americas
11,Armenia,ARM,Asia
12,Aruba,ABW,Americas
13,Australia,AUS,Oceania
14,Austria,AUT,Europe
15,Azerbaijan,AZE,Asia
16,Bahamas,BHS,Americas
17,Bahrain,BHR,Asia
18,Bangladesh,BGD,Asia
19,Barbados,BRB,Americas
20,Belarus,BLR,Europe
21,Belgium,BEL,Europe
22,Belize,BLZ,Americas
23,Benin,BEN,Africa
24,Bermuda,BMU,Americas
25,Bhutan,BTN,Asia
26,Bolivia (Plurinational State of),BOL,Americas
27,"Bonaire, Sint Eustatius and Saba",BES,Americas
28,Bosnia and Herzegovina,BIH,Europe
29,Botswana,BWA,Africa
30,Bouvet Island,BVT,
31,Brazil,BRA,Americas
32,British Indian Ocean Territory,IOT,
33,Brunei Darussalam,BRN,Asia
34,Bulgaria,BGR,Europe
35,Burkina Faso,BFA,Africa
36,Burundi,BDI,Africa
37,Cambodia,KHM,Asia
38,Cameroon,CMR,Africa
39,Canada,CAN,Americas
40,Cabo Verde,CPV,Africa
41,Cayman Islands,CYM,Americas
42,Central African Republic,CAF,Africa
43,Chad,TCD,Africa
44,Chile,CHL,Americas
45,China,CHN,Asia
46,Christmas Island,CXR,
47,Cocos (Keeling) Islands,CCK,
48,Colombia,COL,Americas
49,Comoros,COM,Africa
50,Congo,COG,Africa
51,Congo (Democratic Republic of the),COD,Africa
52,Cook Islands,COK,Oceania
53,Costa Rica,CRI,Americas
54,False,CIV,Africa
55,Croatia,HRV,Europe
56,Cuba,CUB,Americas
57,False,CUW,Americas
58,Cyprus,CYP,Asia
59,Czech Republic,CZE,Europe
60,Denmark,DNK,Europe
61,Djibouti,DJI,Africa
62,Dominica,DMA,Americas
63,Dominican Republic,DOM,Americas
64,Ecuador,ECU,Americas
65,Egypt,EGY,Africa
66,El Salvador,SLV,Americas
67,Equatorial Guinea,GNQ,Africa
68,Eritrea,ERI,Africa
69,Estonia,EST,Europe
70,Ethiopia,ETH,Africa
71,Falkland Islands (Malvinas),FLK,Americas
72,Faroe Islands,FRO,Europe
73,Fiji,FJI,Oceania
74,Finland,FIN,Europe
75,France,FRA,Europe
76,French Guiana,GUF,Americas
77,French Polynesia,PYF,Oceania
78,French Southern Territories,ATF,
79,Gabon,GAB,Africa
80,Gambia,GMB,Africa
81,Georgia,GEO,Asia
