Country,Rate
Solomon Islands,1801.6393442622953
Latvia,1201.1627906976746
Zimbabwe,236.4819004524887
Afghanistan,212.74850110444936
Bhutan,122.20077220077219
Iraq,103.41689879294337
Serbia,92.86589099816295
Slovenia,91.53605015673978
Suriname,90.40114613180513
Cambodia,89.68340611353712
Georgia,89.12087912087914
Nepal,80.03273322422258
Oman,79.97625643055005
Tajikistan,72.19069239500567
Qatar,71.8025548020817
Laos,63.8783269961977
Niger,58.04695474651243
Indonesia,56.67338709677418
Democratic Republic of the Congo,54.4785415015287
Vietnam,53.68232401116993
Lebanon,52.12305025996535
Turkey,50.59077587536632
Philippines,50.29437554803959
Chad,50.2
Guyana,49.02874902874903
Mali,49.01628222523745
Mongolia,47.322606172513865
India,44.42975660630825
Sri Lanka,42.287513116474294
Zambia,42.14133414559854
Saudi Arabia,41.90961472308221
Singapore,40.747048138056336
Burkina Faso,39.483020780537245
Guinea,39.3581081081081
China,38.64692016543898
Thailand,38.44663180559826
Pakistan,38.013269904857296
Morocco,36.392314310295376
Algeria,35.76163004787039
Kuwait,35.04826802952868
Tanzania,34.67748106205524
Malawi,33.84845463609174
Ethiopia,33.682102951624344
Panama,33.00239643957549
Jordan,32.73638968481376
Peru,32.207756039824545
Turkmenistan,32.08768267223383
Bangladesh,32.055087261070874
Papua New Guinea,31.844262295081986
United Arab Emirates,30.75406032482597
Bahrain,30.636433908786397
Benin,29.258241758241777
Uganda,28.682732379054176
Nigeria,28.396468242665904
South Korea,28.369123207533693
Dominican Republic,24.404950809266904
Iran,23.26570390714981
Bolivia,23.235867446393765
Cuba,23.02092811646953
Egypt,21.569273579379036
New Zealand,18.9180688787545
Russia,17.257091111251203
Mexico,16.836206471545257
World,13.794000226736022
Colombia,13.771257085695229
Sudan,12.710264332303481
Poland,12.46608240027447
Finland,12.03735731580768
Ecuador,8.924879393521705
Mozambique,8.849995055868687
Central African Republic,7.655266082232378
Azerbaijan,7.24006532389765
Myanmar,6.632324533161631
Malaysia,6.303027058855021
South Africa,3.1493776736803354
Japan,1.9465511633082815
Australia,0.9661835748792336
Kazakhstan,-2.897365707988209
Uzbekistan,-6.232580684250922
Portugal,-6.652333375490061
United States,-6.825858252448514
Kenya,-7.8234704112336955
Belgium,-7.942399999999998
Ireland,-9.039548022598872
South Sudan,-9.635382387784642
Chile,-10.170614543647499
Hungary,-10.471498944405345
Argentina,-10.563867026376222
Czech Republic,-11.123637730176632
Switzerland,-11.741542867370674
Austria,-12.017006377391523
Germany,-12.154145919030091
Netherlands,-12.801320436050974
France,-13.427561837455837
Spain,-16.93738257746915
Madagascar,-18.59414883172982
Venezuela,-19.744653870540084
Italy,-20.061279805161643
Equatorial Guinea,-21.69525731584258
Canada,-23.540896729656236
Libya,-25.85126086337086
Denmark,-25.939741750358685
Greece,-27.771120431396053
United Kingdom,-27.953787517865642
Brazil,-29.885410721341703
Sweden,-31.36557610241821
Ukraine,-32.13144329896909
Romania,-34.681862782096765
Croatia,-34.72077696843565
Yemen,-34.78902331071112
Costa Rica,-35.236081747709655
Bulgaria,-48.95574341123819
North Korea,-52.390961639516554
Syria,-54.53500622545733
Ghana,-71.91011235955057
