Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Democratic Republic of the Congo,MtCO2e,367.71,367.71,367.71,367.71,367.71,367.71,367.72,367.72,367.72,367.71,367.71,367.70,367.70,367.70,367.70,367.70,367.70,367.70,367.70,367.70,367.70,601.37,601.37,601.37,601.37,601.37,601.37,601.37,601.37
Brazil,MtCO2e,1038.47,1038.47,1038.47,1038.47,1038.47,1038.47,1038.47,1038.48,1038.48,1038.49,1038.49,1101.04,1101.05,1101.05,1101.12,1101.12,1101.12,1101.12,1101.12,1101.12,1101.12,261.99,261.99,261.99,261.99,261.99,384.30,384.30,384.31
Colombia,MtCO2e,92.49,92.49,92.49,92.49,92.49,92.53,92.53,92.53,92.55,92.57,92.60,80.41,80.43,80.45,80.50,80.50,80.50,80.51,80.52,80.53,80.54,56.50,56.50,56.50,56.50,56.50,82.96,82.97,82.97
Bolivia,MtCO2e,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,56.89,56.89,56.89,56.89,56.89,56.89,56.89,56.89,56.89,56.89,59.78,59.78,59.78,59.78,59.78,67.38,67.38,67.38
Botswana,MtCO2e,41.22,41.22,41.22,41.22,41.22,41.22,41.22,41.22,41.23,41.27,41.30,41.30,41.31,41.32,41.36,41.36,41.35,41.35,41.36,41.34,41.34,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33
Angola,MtCO2e,10.27,10.27,10.27,10.27,10.27,10.27,10.27,10.27,10.28,10.29,10.30,35.62,35.62,35.62,35.62,35.61,35.61,35.61,35.61,35.61,35.61,35.60,35.60,35.60,35.60,35.60,35.60,35.60,35.59
Canada,MtCO2e,64.88,64.88,64.88,64.88,64.88,65.12,65.16,65.19,65.34,65.49,65.65,301.40,301.43,301.43,301.46,301.40,301.35,301.28,301.25,301.24,301.25,135.16,135.17,135.18,135.19,135.19,35.11,35.13,35.27
Cameroon,MtCO2e,52.85,52.85,52.85,52.85,52.85,52.86,52.86,52.86,52.87,52.90,52.95,41.32,41.32,41.32,41.34,41.34,41.34,41.35,41.36,41.39,41.42,33.68,33.70,33.71,33.71,33.71,33.78,33.78,33.76
Argentina,MtCO2e,44.32,44.32,44.32,44.32,44.32,44.32,44.32,44.32,44.32,44.33,44.33,94.80,94.81,94.83,94.83,94.82,94.82,94.82,94.83,94.83,94.83,65.58,65.58,65.57,65.57,65.57,29.71,29.71,29.70
Cambodia,MtCO2e,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,64.92,64.92,64.92,64.92,64.92,29.01,29.01,29.01
Côte d'Ivoire,MtCO2e,60.30,60.30,60.30,60.30,60.29,60.51,60.54,60.59,60.63,60.63,60.66,26.58,26.58,26.59,26.59,26.59,26.58,26.59,26.59,26.60,26.61,26.61,26.61,26.62,26.63,26.63,26.64,26.64,26.64
Burkina Faso,MtCO2e,12.26,12.26,12.26,12.26,12.26,12.26,12.26,12.26,12.26,12.26,12.26,16.45,16.45,16.45,16.45,16.45,16.45,16.45,16.45,16.45,16.45,5.87,5.87,5.87,5.87,5.87,24.10,24.10,24.10
Chad,MtCO2e,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,16.68,16.68,16.68,16.68,16.68,16.68,16.68,16.68,16.68,16.68,25.90,25.90,25.90,25.90,25.90,23.33,23.33,23.33
Bangladesh,MtCO2e,22.61,22.61,22.61,22.61,22.61,22.65,22.64,22.63,22.52,22.35,22.22,22.66,22.60,22.58,22.46,22.45,22.46,22.49,22.48,22.49,22.51,22.02,22.02,21.97,21.90,21.89,21.75,21.75,21.74
Central African Republic,MtCO2e,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.98,13.98,13.98
Benin,MtCO2e,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,10.71,10.71,10.71,10.71,10.71,10.71,10.71,10.71,10.71,10.71,10.71,10.71,10.71,10.71,10.71,10.71,10.71,10.71
Republic of Congo,MtCO2e,9.43,9.43,9.43,9.43,9.43,9.40,9.35,9.31,9.31,9.33,9.18,8.99,8.99,8.96,8.95,8.97,8.99,8.96,9.02,9.01,9.04,9.13,9.36,9.41,9.47,9.47,10.41,10.44,10.47
Belize,MtCO2e,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.55,6.55,6.54,6.53,3.24,3.24,3.23,3.24,3.24,3.24,3.24,3.25,3.25,3.26,5.48,5.47,5.47,5.47,5.47,5.23,5.23,5.24
Burundi,MtCO2e,5.39,5.39,5.39,5.39,5.39,5.50,5.51,5.54,5.56,5.61,5.61,3.53,3.53,3.53,3.52,3.53,3.54,3.54,3.53,3.53,3.53,-1.41,-1.41,-1.41,-1.41,-1.41,3.50,3.49,3.48
Australia,MtCO2e,50.36,50.36,50.36,50.36,50.36,50.39,50.40,50.41,50.41,50.42,50.42,29.39,29.39,29.39,29.38,29.39,29.38,29.38,29.38,29.38,29.37,-29.44,-29.44,-29.44,-29.44,-29.44,2.19,2.19,2.19
Denmark,MtCO2e,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,-0.01,-0.01,-0.01,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-1.95,-1.95,-1.95,-1.95,-1.95,0.86,0.86,0.86
Brunei,MtCO2e,1.52,1.52,1.52,1.52,1.52,1.53,1.36,1.49,4.43,1.31,1.33,1.35,1.30,1.40,1.28,1.29,1.26,1.26,1.25,1.27,1.25,0.34,0.34,0.34,0.40,0.37,0.38,0.32,0.33
Algeria,MtCO2e,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,-2.41,-2.41,-2.41,-2.41,-2.41,-2.41,-2.41,-2.41,-2.41,-2.41,-0.63,-0.63,-0.63,-0.63,-0.63,0.20,0.20,0.20
Belgium,MtCO2e,-3.91,-3.91,-3.91,-3.91,-3.91,-3.92,-3.92,-3.92,-3.92,-3.92,-4.01,-3.00,-3.01,-3.01,-3.01,-3.01,-3.01,-3.01,-3.01,-3.01,-3.01,-2.36,-2.36,-2.36,-2.36,-2.36,0.16,0.16,0.16
Afghanistan,MtCO2e,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,-0.25,-0.25,-0.25,-0.25,-0.25,0.15,0.15,0.15
Comoros,MtCO2e,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Armenia,MtCO2e,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,-0.08,-0.08,-0.08,-0.08,-0.08,0.04,0.04,0.04
Djibouti,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.00,0.00,0.00
Andorra,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Albania,MtCO2e,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-0.84,-0.84,-0.84,-0.84,-0.84,-0.24,-0.24,-0.24
Antigua and Barbuda,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Indonesia,MtCO2e,684.40,684.40,684.40,684.40,684.38,686.36,537.91,1226.89,646.81,570.44,515.45,329.33,695.33,426.56,688.32,485.53,788.73,358.59,354.58,642.21,356.97,805.23,817.12,795.95,1049.18,1083.92,573.13,548.18,686.44
Ethiopia,MtCO2e,26.29,26.29,26.29,26.29,26.29,26.32,26.33,26.33,26.36,26.43,26.42,31.02,31.08,31.06,31.09,31.13,31.13,31.13,31.17,31.23,31.25,31.75,31.74,31.69,31.58,31.58,31.80,31.77,31.71
Ecuador,MtCO2e,36.57,36.57,36.57,36.57,36.57,36.57,36.57,36.57,36.57,36.57,36.57,28.49,28.49,28.49,28.57,28.57,28.57,28.57,28.57,28.57,28.57,17.05,17.05,17.05,17.05,17.05,26.15,26.15,26.15
Guyana,MtCO2e,6.97,6.97,6.97,6.97,6.97,7.36,7.65,7.74,7.77,7.95,7.97,8.67,8.69,8.68,9.11,9.10,9.09,9.08,9.08,9.08,9.08,16.75,16.73,16.73,16.71,16.71,14.08,14.08,14.08
Liberia,MtCO2e,13.40,13.40,13.40,13.40,13.40,13.40,13.40,13.40,13.41,13.41,13.43,13.43,13.44,13.44,13.44,13.44,13.44,13.44,13.44,13.44,13.44,13.44,13.44,13.44,13.44,13.44,13.44,13.44,13.44
Guinea,MtCO2e,10.78,10.78,10.78,10.78,10.78,10.77,10.77,10.77,10.77,10.77,10.75,11.10,11.10,11.09,11.09,11.09,11.09,11.08,11.08,11.08,11.09,11.13,11.13,11.14,11.14,11.14,12.21,12.22,12.23
Laos,MtCO2e,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.50,12.17,12.17,12.17,12.17,12.17,12.17,12.17,12.17,12.17,12.17,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67
Finland,MtCO2e,-31.13,-31.13,-31.13,-31.13,-31.13,-31.11,-31.11,-31.09,-31.05,-30.87,-30.66,-15.30,-15.23,-15.18,-15.02,-14.99,-14.97,-14.95,-14.92,-14.87,-14.83,-54.68,-54.65,-54.65,-54.62,-54.62,6.62,6.70,6.94
Gabon,MtCO2e,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.65,3.65,3.15,3.16,3.17,3.19,3.19,3.19,3.19,3.19,3.19,3.18,6.44,6.44,6.44,6.45,6.45,6.45,6.46,6.46
Honduras,MtCO2e,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.90,5.90,5.90,5.90,5.90,5.52,5.52,5.52
Equatorial Guinea,MtCO2e,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83
North Korea,MtCO2e,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,1.70,1.70,1.70,1.70,1.70,1.70,1.70,1.70,1.70,1.70,3.19,3.20,3.20,3.20,3.20,3.29,3.29,3.29
Guatemala,MtCO2e,16.12,16.12,16.12,16.12,16.12,16.12,16.12,16.12,16.12,16.12,16.12,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,7.71,7.71,7.71,7.71,7.71,3.27,3.27,3.27
Estonia,MtCO2e,-1.78,-1.78,-1.80,-1.80,-1.80,-1.75,-1.75,-1.74,-1.67,-1.50,-1.45,-1.42,-1.40,-1.39,-1.36,-1.36,-1.35,-1.34,-1.33,-1.32,-1.30,-6.16,-6.15,-6.15,-6.15,-6.15,1.94,1.93,1.95
Hungary,MtCO2e,1.62,1.62,1.62,1.62,1.62,1.64,1.64,1.63,1.62,1.62,1.62,2.39,2.37,2.33,2.27,2.27,2.27,2.27,2.26,2.26,2.26,1.34,1.34,1.34,1.34,1.34,1.90,1.90,1.89
Guinea-Bissau,MtCO2e,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49
Greece,MtCO2e,-0.93,-0.93,-0.93,-0.93,-0.93,-0.92,-0.92,-0.92,-0.92,-0.93,-0.93,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.09,-1.09,-1.09,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.39
El Salvador,MtCO2e,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08
Haiti,MtCO2e,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.65,0.65,0.65,0.65,0.65,0.63,0.63,0.63
Gambia,MtCO2e,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Iraq,MtCO2e,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,0.08,0.08,0.08,0.08,0.08,0.50,0.50,0.50
Eritrea,MtCO2e,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.38,0.38,0.38,0.38,0.38,0.45,0.45,0.45
Egypt,MtCO2e,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,0.92,0.92,0.92,0.92,0.92,0.18,0.18,0.18
Jamaica,MtCO2e,0.36,0.36,0.36,0.36,0.36,0.37,0.37,0.37,0.39,0.43,0.43,-2.43,-2.43,-2.43,-2.43,-2.43,-2.43,-2.43,-2.43,-2.43,-2.43,0.23,0.24,0.24,0.24,0.24,0.18,0.18,0.18
Israel,MtCO2e,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.05,-0.05,-0.05,-0.05,-0.05,0.08,0.08,0.08
Iran,MtCO2e,-20.41,-20.41,-20.41,-20.41,-20.41,-20.41,-20.41,-20.41,-20.41,-20.41,-20.41,-44.27,-44.27,-44.27,-44.27,-44.27,-44.27,-44.27,-44.27,-44.27,-44.27,false,false,false,false,false,0.06,0.06,0.06
Bahamas,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Georgia,MtCO2e,-18.27,-18.27,-18.27,-18.27,-18.27,-18.27,-18.27,-18.27,-18.27,-18.27,-18.27,-3.52,-3.52,-3.52,-3.52,-3.52,-3.52,-3.52,-3.52,-3.52,-3.52,false,false,false,false,false,false,false,false
Grenada,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Jordan,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Lesotho,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Barbados,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bahrain,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kuwait,MtCO2e,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,0.00,0.00,0.00
Cook Islands,MtCO2e,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dominica,MtCO2e,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Cape Verde,MtCO2e,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06
Lebanon,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08
Iceland,MtCO2e,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08
Cyprus,MtCO2e,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.32,-0.32,-0.32,-0.32,-0.32,-0.25,-0.25,-0.25
