Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Democratic Republic of the Congo,MtCO2e,11.45,11.45,11.45,11.45,11.45,11.45,6.66,8.40,8.63,7.07,6.25,7.18,10.74,12.72,13.32,13.44,14.16,11.95,13.03,12.81,13.27,13.59,12.66,12.91,12.30,13.55,13.66,13.10,11.25
Zambia,MtCO2e,7.34,7.34,7.34,7.34,7.34,7.34,2.06,1.99,1.86,1.87,1.14,4.97,5.41,7.14,7.36,8.06,6.90,7.98,8.97,7.75,9.68,9.18,9.24,9.43,9.65,11.80,11.25,11.14,10.33
Libya,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Liechtenstein,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Mozambique,MtCO2e,8.56,8.56,8.56,8.56,8.56,8.56,0.68,0.43,0.60,0.49,0.12,8.08,7.10,9.30,8.96,10.49,10.36,10.60,12.52,10.83,14.18,10.54,11.99,12.07,11.32,10.63,12.01,11.02,11.57
Central African Republic,MtCO2e,7.89,7.89,7.89,7.89,7.89,7.89,0.62,1.42,2.25,1.88,1.43,9.10,8.10,12.75,8.38,11.16,10.55,11.52,10.78,7.54,10.32,10.95,10.00,8.67,7.41,8.26,11.05,9.33,9.07
Angola,MtCO2e,5.73,5.73,5.73,5.73,5.73,5.73,4.30,3.84,5.18,4.82,3.48,4.24,4.87,5.34,6.02,6.41,5.89,5.94,6.09,6.80,7.10,6.20,6.61,5.94,6.21,6.71,6.26,7.58,4.83
Russia,MtCO2e,3.47,3.47,3.44,3.44,3.44,3.44,8.12,3.04,5.79,3.87,4.36,1.70,2.29,4.05,4.13,1.97,3.12,1.59,5.93,2.47,3.11,3.30,4.03,1.55,3.67,1.58,3.75,2.12,3.74
Myanmar,MtCO2e,4.53,4.53,4.53,4.53,4.53,4.53,2.29,2.12,3.10,3.21,1.88,2.49,1.98,5.13,9.28,4.97,4.55,8.35,3.59,7.29,7.84,3.66,5.89,4.62,5.94,6.34,3.58,4.02,3.29
Tanzania,MtCO2e,3.18,3.18,3.18,3.18,3.18,3.18,0.37,0.38,0.55,0.31,0.16,2.07,2.58,4.56,4.07,5.47,3.96,3.82,4.11,4.92,4.57,3.69,4.29,3.40,3.29,4.63,4.19,4.20,3.18
India,MtCO2e,2.07,2.07,2.07,2.07,2.07,2.07,0.44,0.38,0.39,0.81,0.46,0.62,0.45,1.84,2.80,1.62,1.63,2.82,1.65,5.28,4.07,2.06,4.88,2.78,2.29,1.75,2.30,3.74,3.08
Brazil,MtCO2e,4.32,4.32,4.32,4.32,4.32,4.32,3.14,3.83,6.78,5.19,0.77,2.28,5.78,5.18,5.88,7.45,3.40,8.92,2.78,1.17,8.89,1.96,3.94,1.14,2.55,5.00,4.17,6.36,1.89
Canada,MtCO2e,0.73,0.73,0.73,0.73,0.73,0.73,2.22,1.13,4.25,1.77,0.91,0.04,0.06,0.33,0.21,0.09,0.15,0.06,0.07,0.11,0.20,0.17,0.36,0.32,0.33,0.81,0.42,0.65,1.69
