Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
India,MtCO2e,433.94,437.56,440.17,443.69,446.37,448.12,451.53,452.40,456.39,457.74,456.45,458.38,449.35,454.75,459.04,470.03,476.48,485.86,490.36,481.09,484.13,487.58,484.40,487.51,487.66,485.98,491.01,494.26,498.49
China,MtCO2e,336.95,341.21,341.33,338.76,346.38,366.27,386.77,349.74,366.92,373.88,372.89,362.55,353.36,344.47,353.35,356.42,354.81,345.70,350.41,348.44,346.06,341.02,338.53,337.58,337.91,341.35,342.28,335.56,331.36
Brazil,MtCO2e,242.13,250.26,254.46,254.58,259.46,264.09,251.71,256.38,262.05,263.87,268.59,280.00,295.29,307.82,323.27,328.43,322.11,321.15,318.41,321.00,335.81,333.93,334.26,330.24,333.33,337.89,339.75,335.96,329.92
United States,MtCO2e,196.96,198.23,200.94,201.32,205.97,206.73,206.13,205.31,203.43,202.50,199.81,199.06,198.52,197.55,197.62,199.25,199.68,200.35,201.98,199.35,199.92,196.19,194.03,190.92,191.45,191.76,198.17,198.78,202.19
Pakistan,MtCO2e,60.52,61.52,62.16,64.05,64.98,66.30,69.48,71.15,72.99,75.04,75.98,76.71,78.85,81.56,83.56,85.88,92.28,94.63,98.93,101.42,100.40,106.16,108.30,112.97,116.59,119.39,122.76,126.92,130.30
Indonesia,MtCO2e,78.11,77.38,82.72,81.36,80.94,84.93,85.98,83.97,85.89,85.86,84.30,82.83,84.08,82.62,85.32,84.40,85.14,87.38,89.11,93.44,96.37,97.18,100.53,98.21,101.41,104.28,109.84,113.90,115.04
Australia,MtCO2e,103.35,102.44,100.15,98.31,100.00,97.51,91.39,91.07,93.83,108.45,117.54,126.11,118.97,80.49,101.08,81.01,99.17,94.30,77.47,80.69,68.25,118.99,118.46,80.15,89.67,85.13,68.00,89.15,88.05
Argentina,MtCO2e,84.68,83.65,84.63,83.27,83.90,83.24,80.60,79.84,77.14,79.23,79.49,78.84,81.92,88.15,89.16,89.14,91.14,91.77,90.56,85.58,77.64,76.88,79.42,80.96,81.73,81.57,82.87,84.65,84.73
Ethiopia,MtCO2e,34.43,34.61,35.48,31.43,31.70,31.73,33.19,34.40,37.62,37.16,34.96,36.80,42.10,40.74,41.38,43.30,46.11,51.53,53.92,56.28,58.99,57.70,59.84,61.72,63.76,65.12,66.96,68.35,68.35
Bangladesh,MtCO2e,50.34,50.10,50.38,50.14,50.64,51.22,50.72,51.13,50.52,52.24,52.65,52.49,53.24,53.52,52.65,53.74,54.35,54.72,56.89,57.49,58.33,58.73,58.82,58.94,59.21,59.26,58.37,60.51,61.49
Mexico,MtCO2e,55.43,55.01,54.07,55.22,55.07,54.38,52.84,53.41,54.07,52.65,53.15,53.21,54.48,54.83,54.24,54.26,54.32,54.83,55.35,56.13,56.47,57.46,55.61,56.36,56.90,57.82,58.42,59.36,60.01
Myanmar,MtCO2e,35.05,34.46,36.60,38.46,39.62,41.13,40.55,39.33,39.93,43.36,44.10,44.95,45.35,46.46,48.26,50.78,54.01,55.33,56.11,56.91,57.81,55.87,55.80,56.51,57.43,58.81,59.83,59.90,58.53
Thailand,MtCO2e,50.88,52.86,53.70,53.47,53.53,52.26,51.47,52.82,49.69,50.48,49.71,50.51,49.02,51.57,51.43,52.80,52.95,55.77,55.79,57.52,60.40,59.61,59.18,57.33,52.58,48.50,44.37,51.88,51.42
Russia,MtCO2e,149.57,146.65,133.74,128.09,119.64,106.33,96.84,84.98,78.63,70.67,69.83,68.79,68.61,69.92,62.26,58.70,56.32,56.17,58.05,55.79,55.75,54.34,55.08,53.82,54.35,52.83,51.96,50.66,51.14
Philippines,MtCO2e,36.25,37.06,35.12,36.09,39.28,40.62,42.58,42.16,36.75,43.80,44.27,44.65,44.76,44.67,45.87,45.34,46.00,47.11,48.55,49.28,47.65,48.60,49.61,50.00,49.88,49.25,48.54,50.68,50.63
Vietnam,MtCO2e,37.03,38.22,39.37,40.18,40.66,41.73,43.05,43.66,45.01,46.61,46.89,45.99,46.48,47.08,47.97,48.54,49.56,49.53,49.66,49.68,49.54,49.51,49.52,49.98,49.83,50.33,50.24,50.10,49.69
Sudan,MtCO2e,25.18,26.02,28.50,30.68,32.50,33.29,34.54,35.81,37.82,39.05,41.24,38.75,40.61,41.78,42.57,44.02,42.60,44.39,44.24,44.87,43.30,43.04,46.15,46.29,46.24,46.79,47.02,47.19,47.43
Nigeria,MtCO2e,22.65,24.06,24.32,24.86,25.82,26.61,27.37,28.87,30.24,30.89,31.39,31.32,31.63,32.43,33.24,34.85,35.28,34.91,34.73,33.43,35.89,39.03,41.12,41.82,42.73,43.26,46.16,45.40,45.78
Chad,MtCO2e,7.97,12.21,12.74,13.29,13.88,14.55,16.11,16.60,17.15,18.31,19.86,18.47,19.86,21.06,22.08,23.42,24.29,25.71,26.78,27.69,29.40,31.09,32.81,34.41,36.07,39.37,42.09,43.84,45.56
Colombia,MtCO2e,41.85,41.44,42.03,42.69,43.38,43.39,43.91,43.25,43.55,41.79,42.19,42.96,42.97,43.82,44.35,44.49,44.23,45.38,45.53,45.29,46.28,43.10,40.34,39.70,39.07,38.88,39.46,41.96,43.99
