Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
China,MtCO2e,384.68,383.27,360.02,370.43,341.37,365.70,313.80,352.62,298.69,305.36,274.12,277.73,283.61,308.48,352.57,365.46,384.12,398.28,383.25,391.66,416.40,440.72,457.21,476.57,487.00,510.54,525.09,533.08,542.13
Canada,MtCO2e,62.82,62.32,64.22,67.36,68.57,67.64,73.13,70.43,63.29,66.48,71.89,68.67,75.42,79.41,76.43,74.58,69.83,74.66,74.00,71.93,67.74,72.90,67.61,70.48,74.32,70.72,66.47,69.94,75.68
Argentina,MtCO2e,17.44,17.12,16.48,18.35,18.01,17.94,17.80,17.89,18.20,19.48,20.57,19.77,18.85,20.27,21.71,22.64,22.65,26.50,25.15,24.72,28.22,28.31,29.77,30.93,29.87,30.17,30.61,28.52,28.10
Algeria,MtCO2e,6.59,7.54,7.78,8.23,8.17,8.09,8.31,7.98,8.63,9.09,9.33,9.53,9.89,10.68,11.52,12.50,12.19,13.60,13.57,13.48,13.23,14.61,16.80,18.48,19.20,21.02,21.29,22.40,26.34
Belgium,MtCO2e,24.66,27.52,27.42,26.65,25.97,27.20,31.58,29.27,29.02,27.48,26.52,27.59,26.35,28.31,28.74,28.65,25.89,22.41,26.22,24.15,27.12,22.19,22.85,25.55,20.29,23.18,22.89,22.70,22.41
Brazil,MtCO2e,16.47,16.71,17.26,17.75,18.82,19.66,19.77,20.10,20.50,21.53,21.42,21.65,21.46,19.25,19.77,19.22,19.22,19.89,19.96,19.63,19.85,20.14,20.08,20.39,20.46,20.22,20.41,20.48,20.38
Australia,MtCO2e,8.63,8.68,9.01,9.37,9.16,9.72,10.09,10.17,10.40,10.31,10.57,10.84,11.14,11.30,11.25,11.36,11.56,11.82,11.92,12.53,12.68,13.14,13.40,13.68,14.17,14.44,14.83,14.87,15.10
Czech Republic,MtCO2e,23.23,22.19,15.28,14.70,14.11,14.91,15.86,14.56,13.32,12.45,12.51,13.73,12.76,14.21,14.18,11.84,12.48,10.77,11.19,11.07,13.00,11.73,11.81,11.88,10.29,10.66,11.23,11.47,10.72
Bangladesh,MtCO2e,2.22,1.94,1.95,2.08,2.28,2.60,2.76,3.24,3.48,3.37,3.52,3.89,4.31,4.90,5.26,4.98,5.13,5.36,5.55,5.65,6.31,6.69,6.67,6.57,7.15,7.92,9.04,9.62,9.82
Austria,MtCO2e,11.89,13.27,12.61,12.38,11.42,12.54,13.94,12.42,12.46,12.96,11.86,13.05,12.38,13.12,12.65,12.30,11.97,10.05,10.39,9.59,9.78,8.51,8.11,8.32,7.34,7.78,7.99,8.20,7.45
Chile,MtCO2e,2.96,3.16,3.67,3.80,4.01,4.06,3.80,4.28,3.68,4.02,4.18,4.23,4.08,3.85,4.25,4.05,4.09,4.48,4.57,4.74,5.09,5.87,5.37,5.40,4.83,4.85,5.91,6.46,6.58
Azerbaijan,MtCO2e,4.94,4.64,3.60,2.37,4.71,3.85,4.08,4.08,4.45,4.75,4.29,4.66,5.22,5.73,5.64,5.78,5.80,5.46,6.64,5.96,6.10,6.18,5.21,5.06,5.61,5.99,6.72,6.14,6.30
Colombia,MtCO2e,3.68,3.80,3.89,4.14,3.74,3.87,4.35,4.48,4.78,4.79,4.78,4.31,4.86,4.85,4.43,4.58,5.36,5.35,5.25,4.95,4.91,5.37,5.25,4.48,4.72,4.50,4.66,4.61,5.09
Belarus,MtCO2e,13.86,12.98,11.71,10.63,8.56,8.15,8.43,6.94,5.99,5.93,6.00,5.28,5.13,5.03,4.85,4.99,5.03,4.86,4.76,4.76,5.23,5.07,5.39,5.24,4.87,4.56,4.88,4.91,4.93
