Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
China,MtCO2e,156.91,162.83,168.76,174.68,180.60,194.05,207.49,220.94,234.38,247.83,261.27,274.72,288.16,301.61,315.05,328.50,370.74,412.97,455.21,497.44,539.68,581.91,624.15,647.72,671.30,694.87,693.38,691.90,690.41
Canada,MtCO2e,37.23,38.65,41.81,44.22,46.48,49.27,52.65,54.65,55.15,54.05,53.59,51.97,49.06,48.22,47.55,45.90,45.94,45.49,44.81,41.99,41.28,42.11,44.54,46.17,48.76,47.04,42.68,43.88,45.07
Australia,MtCO2e,29.78,30.27,32.13,30.74,28.58,29.66,30.36,33.11,33.25,29.72,31.89,31.28,30.07,29.63,30.39,31.52,32.57,34.20,34.35,33.89,33.90,33.46,33.45,33.01,31.29,34.55,35.75,36.06,36.38
Azerbaijan,MtCO2e,11.08,10.66,10.23,9.81,9.38,8.96,9.68,10.40,11.12,11.84,12.57,13.80,15.03,16.26,17.50,18.73,23.86,28.98,34.10,39.23,44.35,43.05,41.75,40.45,39.15,37.85,37.20,36.55,35.89
Algeria,MtCO2e,12.53,12.59,12.64,12.70,12.76,14.78,16.80,18.82,20.83,22.85,24.87,26.31,27.75,29.19,30.63,32.08,31.59,31.11,30.63,30.14,29.66,29.37,29.08,28.80,28.51,28.22,28.11,27.99,27.88
Angola,MtCO2e,4.95,5.31,5.66,6.01,6.37,6.72,6.93,7.14,7.34,7.55,7.76,8.63,9.51,10.38,11.26,12.13,13.44,14.74,16.05,17.36,18.66,18.45,18.25,18.04,17.83,17.63,17.36,17.10,16.83
Colombia,MtCO2e,5.21,5.28,5.35,5.42,5.48,5.88,6.28,6.69,7.09,7.49,7.89,8.34,8.80,9.26,9.71,9.92,10.62,11.32,12.02,12.72,13.42,13.95,14.48,15.00,15.53,16.06,15.89,15.73,15.56
Argentina,MtCO2e,10.12,10.59,11.07,11.54,12.02,12.52,13.01,13.51,13.38,13.24,13.11,13.08,13.06,13.03,13.00,12.97,12.72,12.46,12.20,11.94,11.69,11.42,11.15,10.88,10.61,10.34,10.25,10.15,10.06
Brunei,MtCO2e,9.80,9.93,10.06,10.20,10.33,10.47,10.78,11.09,11.40,11.71,12.02,12.09,12.16,12.23,12.30,12.37,11.88,11.38,10.89,10.40,9.91,9.78,9.66,9.53,9.41,9.28,9.06,8.85,8.63
Brazil,MtCO2e,2.26,2.36,2.13,2.22,2.15,2.14,1.88,2.15,2.35,2.56,2.98,3.48,3.29,2.69,3.35,5.16,4.23,4.23,4.32,6.00,4.52,4.76,5.00,5.24,5.48,5.72,5.85,5.97,6.09
