Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Iran,MtCO2e,2.57,20.19,20.73,15.86,16.36,21.28,21.66,20.19,18.38,19.26,19.26,13.57,15.04,22.21,22.38,22.05,29.05,28.83,30.85,29.16,30.42,30.58,32.22,30.31,28.45,26.18,29.79,32.14,31.42
Iraq,MtCO2e,8.26,1.31,0.16,0.11,0.11,0.11,0.11,0.93,1.48,1.75,1.75,1.75,1.75,1.81,1.53,14.00,13.68,13.13,10.94,12.69,13.79,17.07,21.83,22.65,23.41,26.38,28.89,29.79,29.79
Libya,MtCO2e,9.14,6.67,3.94,3.17,3.23,3.23,3.28,3.39,3.34,2.35,1.91,2.46,2.46,1.37,1.64,4.60,5.31,5.31,7.17,5.96,6.35,2.30,7.17,5.91,8.15,8.02,6.86,11.38,12.82
Liechtenstein,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Nigeria,MtCO2e,38.35,41.25,45.35,46.94,48.96,47.70,49.73,41.14,38.02,34.30,31.29,34.96,34.41,33.70,33.70,40.81,39.55,40.59,34.74,26.26,29.98,31.07,24.02,22.05,19.53,17.50,15.71,18.42,17.88
Indonesia,MtCO2e,8.97,11.00,11.76,12.42,9.46,9.46,9.46,9.30,9.46,9.14,8.70,9.08,7.99,8.92,8.32,8.32,6.07,5.25,6.07,9.25,5.85,9.57,12.36,12.69,12.31,12.46,11.92,10.11,9.21
Angola,MtCO2e,2.30,2.41,2.35,2.57,2.41,6.78,7.11,7.28,7.49,7.82,7.66,7.66,7.88,10.67,11.27,11.54,11.54,13.29,12.58,12.58,12.80,12.75,13.18,12.75,12.75,12.64,13.00,11.01,7.58
Algeria,MtCO2e,13.73,9.25,8.21,13.79,14.11,14.55,13.51,13.57,13.57,13.18,13.29,7.99,8.21,7.82,6.62,5.85,6.46,8.64,9.14,10.39,9.25,7.06,6.46,6.78,7.28,6.34,6.32,5.42,5.24
Mexico,MtCO2e,false,false,false,2.84,2.79,4.16,9.03,13.29,14.33,10.67,10.18,8.10,6.07,5.74,2.79,3.34,5.03,10.07,24.24,18.71,11.43,6.73,2.84,2.79,5.85,11.01,13.72,6.46,4.33
China,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3.43,3.43,2.89,3.25
Kazakhstan,MtCO2e,0.31,1.17,0.71,0.55,0.82,1.26,1.20,0.93,1.81,2.02,2.19,2.02,1.26,0.71,2.90,4.65,5.80,false,false,false,false,4.65,4.92,4.16,4.16,4.15,3.43,3.25,2.89
Oman,MtCO2e,1.31,1.59,1.15,1.09,0.82,0.44,0.38,1.75,1.48,2.46,1.64,1.75,1.64,1.48,1.48,1.75,2.52,2.46,2.46,2.57,2.30,1.64,2.30,2.68,2.79,2.58,3.07,3.07,2.89
Brazil,MtCO2e,2.74,2.02,2.95,1.86,1.97,1.97,2.74,2.90,3.61,4.10,3.77,4.76,3.88,2.95,2.68,4.54,3.39,3.56,3.99,6.29,4.43,3.23,2.68,2.41,2.95,2.53,2.67,2.49,2.53
