Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Russia,MtCO2e,0.45,0.42,0.39,0.36,0.33,0.32,0.26,0.30,0.27,0.34,0.39,0.42,0.43,0.48,0.49,0.49,0.52,0.53,0.55,0.46,0.52,0.54,0.54,0.58,0.56,0.58,0.59,0.59,0.59
Netherlands,MtCO2e,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.39,0.40,0.40,0.44,0.46,0.41,0.46,0.45,0.46,0.42,0.39,0.44,0.41,0.43,0.40,0.41,0.40,0.43,0.43,0.43
Brazil,MtCO2e,0.13,0.13,0.13,0.15,0.17,0.15,0.15,0.17,0.20,0.20,0.23,0.20,0.20,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23
Qatar,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19
New Zealand,MtCO2e,0.03,0.05,0.04,0.04,0.06,0.08,0.11,0.11,0.10,0.12,0.14,0.12,0.13,0.06,0.06,0.02,0.02,0.02,0.03,0.05,0.05,0.05,0.06,0.08,0.13,0.11,0.13,0.13,0.13
Malawi,MtCO2e,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
Mexico,MtCO2e,0.13,0.12,0.12,0.11,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.10,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
Canada,MtCO2e,0.12,0.12,0.11,0.10,0.11,0.10,0.11,0.10,0.10,0.11,0.11,0.11,0.11,0.10,0.11,0.09,0.09,0.09,0.08,0.07,0.07,0.07,0.07,0.08,0.08,0.07,0.08,0.08,0.08
Australia,MtCO2e,0.08,0.08,0.08,0.08,0.09,0.10,0.10,0.10,0.10,0.10,0.09,0.08,0.08,0.09,0.09,0.08,0.09,0.09,0.09,0.08,0.09,0.10,0.08,0.07,0.07,0.07,0.07,0.07,0.07
Belarus,MtCO2e,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.07,0.07,0.08,0.07,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06
