Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
China,MtCO2e,84.51,101.30,122.40,142.80,164.40,184.60,192.90,202.90,211.40,228.30,244.40,270.80,296.60,345.20,380.00,411.60,470.10,515.00,525.90,583.60,639.60,708.60,714.80,748.30,778.60,733.70,756.40,769.30,782.00
Brazil,MtCO2e,11.06,11.78,9.77,10.16,10.09,11.53,13.88,15.27,16.18,16.44,16.05,15.23,14.39,13.10,13.27,14.35,15.44,17.20,18.88,19.03,21.29,22.85,25.00,26.65,26.31,23.77,20.95,19.30,18.93
Algeria,MtCO2e,2.99,2.97,3.00,2.99,2.82,3.17,3.01,3.27,3.45,3.44,3.79,3.77,4.06,4.03,4.90,5.66,6.54,7.00,7.58,8.22,8.25,8.19,7.70,7.30,8.36,9.16,9.16,9.16,9.16
Canada,MtCO2e,5.76,4.72,4.76,4.84,5.71,6.46,6.12,6.59,6.76,7.05,7.17,6.95,7.14,7.21,7.51,7.60,7.74,7.75,6.98,5.39,6.04,6.06,6.56,5.98,5.95,6.26,6.19,6.75,6.75
Colombia,MtCO2e,2.72,2.72,2.89,3.32,3.92,3.90,3.73,3.85,3.81,2.88,3.24,3.12,3.10,3.38,3.44,4.13,4.12,4.54,4.44,3.93,4.04,4.59,5.05,4.79,5.28,5.61,5.32,5.32,5.32
Argentina,MtCO2e,1.63,1.53,2.28,2.55,2.83,2.46,2.30,3.09,3.19,3.23,2.75,2.46,1.72,2.27,2.69,3.23,3.77,3.98,3.92,3.73,4.12,4.55,4.18,4.66,4.50,4.34,4.34,4.34,4.34
Australia,MtCO2e,3.46,3.18,2.92,3.00,3.48,3.36,3.24,3.19,3.48,3.52,3.62,3.54,3.49,3.58,3.56,3.66,3.89,3.97,3.86,3.83,3.55,3.50,3.52,3.29,3.14,3.08,2.93,3.02,3.02
Belgium,MtCO2e,2.82,2.88,3.09,3.08,3.18,3.25,3.01,3.16,3.17,3.11,3.27,2.96,2.99,2.93,2.84,2.93,3.11,3.09,3.03,2.79,2.58,2.76,2.64,2.54,2.64,2.35,2.44,2.29,2.29
Belarus,MtCO2e,false,false,0.92,0.86,0.64,0.57,0.65,0.84,0.93,0.90,0.87,0.83,0.99,1.17,1.30,1.46,1.57,1.63,1.82,1.88,1.97,1.97,2.19,2.38,2.67,2.27,2.20,2.22,2.22
Czech Republic,MtCO2e,false,false,2.47,2.19,2.21,2.00,2.12,2.08,2.07,1.96,1.94,1.63,1.40,1.49,1.63,1.63,1.75,2.04,2.00,1.57,1.47,1.67,1.52,1.33,1.48,1.56,1.70,1.73,1.73
Austria,MtCO2e,2.03,2.00,2.10,2.03,2.10,1.63,1.63,1.76,1.60,1.61,1.71,1.72,1.74,1.75,1.79,1.80,1.95,2.13,2.13,1.80,1.62,1.67,1.67,1.66,1.64,1.70,1.73,1.71,1.71
Bolivia,MtCO2e,0.25,0.27,0.27,0.30,0.34,0.40,0.42,0.47,0.53,0.54,0.48,0.44,0.44,0.50,0.55,0.61,0.69,0.72,0.80,0.91,0.95,1.04,1.06,1.22,1.38,1.43,1.49,1.49,1.49
Croatia,MtCO2e,false,false,0.83,0.69,0.84,0.63,0.69,0.81,0.87,1.13,1.26,1.45,1.43,1.43,1.52,1.55,1.64,1.67,1.57,1.25,1.21,1.09,1.04,1.14,1.23,1.17,1.08,1.29,1.29
Albania,MtCO2e,0.37,0.30,0.10,0.10,0.05,0.10,0.10,0.05,0.04,0.05,0.09,false,false,0.29,0.29,0.25,0.26,0.44,0.46,0.55,0.65,0.90,1.10,1.15,1.10,1.25,1.26,1.26,1.26
Bulgaria,MtCO2e,2.10,1.24,1.08,1.13,1.41,1.95,1.92,1.54,1.10,1.08,1.19,1.20,1.19,1.25,1.42,1.59,1.52,1.94,1.86,0.98,0.81,0.79,0.98,0.89,0.91,1.10,1.20,1.24,1.24
Denmark,MtCO2e,0.88,1.09,1.19,1.21,1.19,1.20,1.28,1.34,1.39,1.35,1.39,1.39,1.42,1.33,1.46,1.36,1.40,1.41,1.16,0.76,0.67,0.86,0.87,0.87,0.89,0.93,1.09,1.19,1.19
Cameroon,MtCO2e,0.26,0.21,0.25,0.25,0.20,0.22,0.12,0.25,0.30,0.35,0.36,0.39,0.37,0.38,0.41,0.40,0.39,0.44,0.38,0.42,0.39,0.44,0.49,0.54,0.50,0.62,1.01,1.01,1.01
Angola,MtCO2e,0.11,0.11,0.12,0.10,0.10,0.08,0.11,0.12,0.14,0.08,0.08,0.22,0.24,0.28,0.30,0.52,0.54,0.54,0.68,0.69,0.58,0.57,0.61,0.78,0.97,0.99,0.95,0.95,0.95
Cyprus,MtCO2e,0.67,0.63,0.69,0.75,0.78,0.75,0.81,0.78,0.74,0.74,0.76,0.74,0.77,0.75,0.81,0.82,0.82,0.81,0.82,0.67,0.56,0.55,0.50,0.75,0.97,0.88,0.88,0.92,0.92
Chile,MtCO2e,0.65,0.96,1.07,1.17,1.16,1.01,0.98,0.96,1.15,0.97,1.03,1.03,1.10,1.13,1.22,1.17,1.26,1.34,1.33,1.10,1.06,1.10,1.15,0.97,0.87,0.84,0.88,0.88,0.88
Bangladesh,MtCO2e,0.10,0.08,0.08,0.07,0.07,0.07,0.15,0.23,0.27,0.43,0.70,0.94,0.88,0.83,0.79,0.75,0.70,0.68,0.70,0.70,0.68,0.69,0.68,0.74,0.75,0.80,0.80,0.80,0.80
Benin,MtCO2e,0.12,0.13,0.15,0.21,0.19,0.24,0.15,0.08,0.08,0.08,0.10,0.10,0.10,0.10,0.10,0.10,0.59,0.60,0.52,0.51,0.50,0.56,0.53,0.55,0.54,0.70,0.70,0.70,0.70
Costa Rica,MtCO2e,0.27,0.30,0.30,0.37,0.40,0.37,0.36,0.40,0.46,0.47,0.45,0.51,0.50,0.47,0.62,0.82,0.57,0.92,0.84,0.83,0.50,0.55,0.54,0.57,0.58,0.62,0.62,0.62,0.62
Cambodia,MtCO2e,false,false,false,false,0.04,0.04,0.08,0.06,0.06,false,false,false,false,false,false,false,false,0.03,0.29,0.36,0.30,0.34,0.37,0.40,0.53,0.57,0.61,0.61,0.61
Cuba,MtCO2e,1.29,0.86,0.86,0.45,0.46,0.63,0.62,0.73,0.73,0.76,0.70,0.56,0.56,0.56,0.58,0.64,0.69,0.72,0.68,0.64,0.64,0.68,0.71,0.65,0.61,0.59,0.58,0.58,0.58
Bahrain,MtCO2e,0.06,0.06,0.09,0.09,0.09,0.08,0.08,0.07,0.09,0.06,0.03,0.03,0.02,0.05,0.14,0.14,0.14,0.14,0.16,0.25,0.43,0.46,0.47,0.47,0.52,0.52,0.56,0.56,0.56
Afghanistan,MtCO2e,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.04,0.03,0.05,0.05,0.05
Andorra,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
India,MtCO2e,22.35,24.50,25.16,26.60,28.54,31.46,34.60,37.98,40.45,45.13,45.97,47.66,51.50,54.47,56.95,60.84,64.23,68.51,73.08,85.05,91.37,96.49,101.40,104.30,108.00,111.80,110.60,108.90,125.30
Russia,MtCO2e,false,false,26.72,21.99,16.48,16.65,12.72,12.27,11.92,13.17,15.11,15.86,17.12,18.67,20.92,22.26,24.54,27.64,23.63,19.75,22.69,25.09,26.25,27.20,26.37,23.07,20.34,20.42,20.53
Mexico,MtCO2e,10.74,10.95,11.75,12.39,13.84,11.03,12.27,12.91,13.41,13.90,14.57,14.06,14.55,14.65,15.35,16.67,17.82,18.97,18.64,17.86,17.05,17.77,18.41,17.44,18.26,19.16,19.35,19.35,19.35
Pakistan,MtCO2e,3.05,3.16,3.17,3.38,3.29,3.48,3.60,3.64,3.60,3.87,3.99,4.41,4.39,5.17,5.94,6.70,8.06,9.91,11.76,11.41,11.45,10.97,11.31,11.85,12.21,12.72,14.14,14.14,14.14
Philippines,MtCO2e,2.79,3.02,2.90,3.46,4.14,4.54,5.33,6.28,5.49,5.33,5.06,3.62,5.55,5.36,5.42,6.22,4.88,5.16,5.17,5.67,6.05,6.12,7.22,7.71,8.42,9.51,9.88,9.88,9.88
Malaysia,MtCO2e,3.25,3.38,3.27,3.42,4.01,4.29,4.79,5.21,5.33,5.48,6.59,6.33,7.15,7.73,7.78,7.62,8.14,7.87,8.42,7.93,7.06,7.77,8.11,8.79,9.47,9.60,9.60,9.60,9.60
Nigeria,MtCO2e,1.44,1.44,1.43,1.31,1.07,1.06,1.03,1.02,1.09,1.01,1.01,0.97,0.84,0.92,0.92,1.07,1.30,1.82,3.85,3.85,3.86,4.59,6.12,7.78,7.75,8.14,8.52,8.52,8.52
Morocco,MtCO2e,2.07,2.85,3.13,3.13,3.13,3.12,3.18,3.45,3.50,3.51,3.74,4.72,4.93,5.15,5.57,5.27,5.66,6.38,7.00,7.39,7.26,7.04,7.91,8.20,7.64,7.78,7.78,7.78,7.78
Poland,MtCO2e,5.45,5.41,5.54,5.15,6.64,6.67,6.22,6.74,6.33,6.18,6.11,4.96,4.67,4.57,5.07,5.06,5.98,7.05,6.69,5.76,6.22,7.38,6.38,5.87,6.46,6.34,6.53,7.00,7.00
Peru,MtCO2e,0.99,0.99,0.94,1.13,1.43,1.71,1.73,1.94,1.95,1.71,1.75,1.75,1.75,1.74,1.98,2.17,2.44,2.58,2.80,3.22,3.31,3.33,3.95,4.12,4.21,4.11,3.98,3.98,3.98
Romania,MtCO2e,4.45,3.20,2.91,2.83,2.77,3.15,3.20,3.00,2.92,2.65,2.66,2.77,2.64,2.65,2.99,3.17,3.66,4.05,4.14,3.09,2.78,3.09,3.15,2.69,2.94,3.34,3.18,3.31,3.31
Portugal,MtCO2e,3.18,3.27,3.14,3.19,3.29,3.46,3.39,3.56,3.54,3.83,3.81,3.63,3.91,3.62,4.00,4.09,4.00,4.17,4.01,3.22,3.38,2.81,2.55,2.81,3.10,2.92,2.30,2.53,2.53
Qatar,MtCO2e,0.11,0.22,0.22,0.22,0.19,0.19,0.28,0.27,0.39,0.40,0.47,0.47,0.50,0.51,0.50,0.52,0.55,0.87,1.36,1.47,1.35,1.77,1.91,1.86,2.10,2.10,2.10,2.10,2.10
Oman,MtCO2e,0.42,0.41,0.40,0.41,0.49,0.47,0.50,0.50,0.52,0.48,0.48,0.52,0.63,0.91,0.93,0.94,1.27,1.41,1.43,1.44,1.61,1.77,1.77,1.56,1.75,1.81,1.71,1.71,1.71
Myanmar,MtCO2e,0.17,0.18,0.19,0.16,0.19,0.21,0.21,0.21,0.15,0.14,0.16,0.15,0.19,0.23,0.21,0.21,0.22,0.23,0.26,0.26,0.20,0.20,0.35,0.43,0.50,0.34,0.99,0.99,0.99
Panama,MtCO2e,0.13,0.13,0.11,0.25,0.27,0.26,0.28,0.30,0.32,0.32,0.40,0.35,0.31,0.37,0.43,0.43,0.43,0.42,0.73,0.66,0.59,0.69,0.90,0.92,0.85,0.85,0.85,0.85,0.85
Nepal,MtCO2e,0.04,0.05,0.10,0.11,0.13,0.13,0.13,0.09,0.11,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.12,0.11,0.46,0.52,0.80,1.03,1.14,1.18,0.76,0.84,0.84,0.84
Norway,MtCO2e,0.63,0.59,0.65,0.84,0.84,0.88,0.86,0.92,0.90,0.89,0.89,0.85,0.88,0.90,0.72,0.78,0.80,0.87,0.83,0.84,0.75,0.75,0.73,0.73,0.73,0.67,0.68,0.77,0.77
Mozambique,MtCO2e,0.03,0.03,0.01,0.01,0.02,0.02,0.07,0.09,0.09,0.09,0.11,0.11,0.20,0.24,0.22,0.20,0.24,0.26,0.29,0.30,0.34,0.37,0.45,0.51,0.58,0.61,0.73,0.73,0.73
Moldova,MtCO2e,false,false,0.47,0.41,0.33,0.25,0.19,0.27,0.22,0.21,0.17,0.17,0.22,0.25,0.28,0.37,0.46,0.70,0.79,0.34,0.35,0.43,0.44,0.48,0.46,0.44,0.43,0.63,0.63
Libya,MtCO2e,1.11,0.97,0.94,0.94,1.55,1.31,1.45,1.02,1.22,1.22,1.21,1.21,1.32,1.40,1.43,1.43,2.08,2.02,2.12,2.50,2.70,1.34,0.76,0.78,0.77,0.55,0.48,0.48,0.48
Lithuania,MtCO2e,false,false,0.76,0.36,0.38,0.31,0.32,0.37,0.41,0.35,0.29,0.28,0.29,0.29,0.35,0.38,0.52,0.52,0.45,0.28,0.29,0.32,0.40,0.46,0.40,0.52,0.45,0.45,0.45
New Zealand,MtCO2e,0.45,0.44,0.48,0.49,0.50,0.54,0.51,0.53,0.49,0.53,0.53,0.53,0.55,0.53,0.49,0.58,0.54,0.69,0.64,0.59,0.56,0.53,0.57,0.59,0.62,0.62,0.49,0.44,0.44
Macedonia,MtCO2e,false,false,0.26,0.25,0.24,0.26,0.25,0.25,0.23,0.26,0.29,0.32,0.30,0.38,0.37,0.44,0.46,0.47,0.46,0.45,0.41,0.49,0.34,0.38,0.34,0.35,0.44,0.44,0.44
Luxembourg,MtCO2e,0.57,0.54,0.55,0.46,0.51,0.46,0.45,0.47,0.47,0.49,0.52,0.45,0.47,0.41,0.45,0.44,0.44,0.43,0.40,0.38,0.39,0.41,0.37,0.37,0.36,0.33,0.35,0.37,0.37
Namibia,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.13,0.23,0.30,0.33,0.36,0.37,0.37,0.37
Paraguay,MtCO2e,0.14,0.14,0.22,0.21,0.26,0.29,0.27,0.27,0.25,0.24,0.24,0.20,0.19,0.22,0.21,0.23,0.23,0.21,0.23,0.27,0.25,0.20,0.29,0.22,0.26,0.35,0.35,0.35,0.35
Netherlands,MtCO2e,0.42,0.50,0.45,0.46,0.46,0.43,0.32,0.38,0.43,0.52,0.47,0.48,0.49,0.43,0.45,0.42,0.40,0.40,0.40,0.42,0.35,0.35,0.31,0.27,0.28,0.25,0.24,0.30,0.30
Nicaragua,MtCO2e,0.09,0.10,0.12,0.11,0.13,0.14,0.15,0.16,0.16,0.15,0.23,0.22,0.23,0.37,0.22,0.22,0.22,0.21,0.21,0.21,0.24,0.27,0.24,0.25,0.27,0.27,0.27,0.27,0.27
Malawi,MtCO2e,0.04,0.05,0.05,0.05,0.05,0.06,0.04,0.07,0.05,0.07,0.06,0.07,0.04,0.06,0.05,0.07,0.08,0.07,0.09,0.09,0.07,0.08,0.06,0.13,0.17,0.18,0.20,0.20,0.20
Mongolia,MtCO2e,0.13,0.08,0.05,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.06,0.06,0.06,0.07,0.09,0.11,0.12,0.10,0.17,0.16,0.16,0.10,0.18,0.18,0.19,0.19,0.19
Rwanda,MtCO2e,0.03,0.02,0.02,0.02,0.00,0.00,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.07,0.13,0.13,0.13
Madagascar,MtCO2e,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.08,0.07,0.06,0.06,0.11,0.06,0.05,0.06,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
Niger,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.03,0.03,0.01,0.01,0.02,0.02,0.02,0.02
Liechtenstein,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Maldives,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Mali,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Malta,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Marshall Islands,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Mauritania,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Mauritius,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Micronesia,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Montenegro,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
United States,MtCO2e,33.48,32.74,32.99,34.84,36.31,37.08,37.31,38.56,39.46,40.24,41.45,41.61,43.16,43.35,45.89,46.19,46.85,45.51,41.42,29.61,31.45,32.21,35.27,36.37,39.44,39.91,39.44,40.32,41.21
Turkey,MtCO2e,10.44,12.02,13.27,13.05,13.49,14.13,14.66,15.10,15.29,14.59,15.18,15.09,15.51,16.02,17.21,19.12,20.84,22.78,24.84,26.56,29.28,30.53,30.45,32.99,33.47,32.62,35.72,37.27,38.84
Indonesia,MtCO2e,7.72,9.09,9.78,10.78,12.54,13.32,14.27,16.01,13.08,14.08,16.45,18.46,18.14,17.81,19.05,18.53,19.05,19.57,20.54,19.44,19.44,21.06,23.27,24.77,25.48,24.51,28.71,30.10,31.03
Vietnam,MtCO2e,1.02,1.22,1.63,1.71,1.91,2.36,2.67,3.24,3.93,4.23,5.36,6.45,8.44,9.60,10.36,12.15,12.76,14.28,15.28,18.63,21.30,22.04,20.94,21.99,23.09,25.53,29.26,29.84,30.29
Japan,MtCO2e,38.70,40.35,41.67,41.22,42.30,42.14,42.56,39.93,35.36,35.01,35.09,34.37,32.42,31.94,31.28,32.28,31.99,30.66,28.55,25.31,24.32,24.98,25.62,26.81,26.56,25.94,25.97,26.43,25.43
South Korea,MtCO2e,17.44,18.21,20.29,23.73,25.79,27.00,27.20,28.16,21.98,22.78,23.79,24.66,26.04,26.83,25.11,22.41,22.23,24.09,24.35,23.30,23.34,23.53,23.49,23.09,23.32,24.46,25.57,25.32,25.09
Saudi Arabia,MtCO2e,5.81,5.50,7.41,7.39,7.24,7.60,7.91,7.41,7.59,7.83,8.69,9.87,11.15,11.55,11.72,11.53,12.39,14.18,18.37,20.18,20.99,22.33,25.37,28.22,29.85,29.67,28.88,24.00,22.87
Egypt,MtCO2e,6.77,7.86,8.10,7.59,7.62,8.32,8.78,9.21,9.79,10.83,11.17,11.75,12.72,11.89,12.69,14.14,15.57,17.10,16.72,19.51,18.48,17.90,22.61,20.13,19.79,20.50,20.90,20.14,20.90
Iran,MtCO2e,5.42,6.21,6.25,6.53,6.48,6.55,7.32,7.62,8.37,8.60,9.23,10.09,10.62,11.08,11.46,11.37,12.46,14.84,15.89,17.98,21.87,23.35,24.43,23.92,23.05,20.25,19.01,18.66,18.32
Thailand,MtCO2e,7.68,7.66,9.27,11.41,12.70,14.82,16.47,15.78,9.66,10.78,10.85,11.84,13.41,13.74,15.00,15.91,16.41,14.70,13.13,14.09,12.10,12.84,13.13,14.93,14.66,15.18,16.74,16.74,16.74
Germany,MtCO2e,15.30,13.74,14.44,14.53,15.34,15.56,14.81,15.27,15.54,15.77,15.25,13.50,12.82,13.51,14.07,13.05,13.34,14.45,13.58,12.56,12.43,13.39,13.29,12.50,12.90,12.63,12.66,13.41,13.41
Spain,MtCO2e,12.28,11.70,10.44,9.91,11.50,12.36,12.11,12.75,13.81,14.43,14.73,15.01,15.53,16.04,16.29,16.79,16.74,16.82,14.39,11.40,11.20,9.52,8.75,7.64,8.90,9.22,9.41,9.45,9.45
Italy,MtCO2e,15.85,15.69,16.43,14.07,13.79,15.31,13.99,14.23,14.54,15.28,15.86,16.39,16.29,16.94,17.41,17.40,17.47,17.91,16.13,13.34,13.28,12.58,10.07,8.88,8.34,8.20,7.68,7.71,7.71
France,MtCO2e,10.94,10.39,9.34,8.59,8.78,8.63,8.44,8.11,8.69,8.39,8.56,8.65,8.64,8.56,9.06,9.11,9.17,9.33,8.88,7.68,7.89,8.06,7.50,7.30,6.97,6.61,6.64,6.48,6.48
United Arab Emirates,MtCO2e,1.36,1.44,1.56,1.63,2.02,2.38,2.39,2.08,2.77,2.75,2.36,2.31,2.60,2.91,3.20,3.48,4.59,5.79,7.83,6.83,6.45,6.37,5.35,5.47,5.59,5.59,5.59,5.59,5.59
South Africa,MtCO2e,3.81,3.63,3.43,3.59,3.85,4.42,4.38,4.76,4.25,3.92,3.87,3.78,4.26,4.51,4.39,5.06,5.40,5.41,4.99,5.43,4.82,4.43,4.41,4.66,4.68,5.21,5.21,5.21,5.21
Iraq,MtCO2e,4.17,2.07,0.82,0.82,0.81,0.85,0.64,0.67,0.79,1.95,2.32,2.27,2.54,0.69,0.89,1.04,1.24,1.63,2.31,2.52,2.87,3.54,3.48,4.18,4.54,5.04,5.04,5.04,5.04
United Kingdom,MtCO2e,7.29,5.99,5.46,5.53,6.37,6.29,6.42,6.71,6.84,6.53,6.33,5.84,5.99,5.87,5.98,5.94,5.89,6.12,5.21,3.72,3.79,4.10,3.72,4.03,4.21,4.45,4.55,4.41,4.41
Greece,MtCO2e,5.76,5.72,5.86,5.88,5.92,6.36,6.37,6.41,6.38,6.37,6.54,6.57,6.31,6.37,6.36,6.79,6.60,6.41,6.05,4.58,4.21,2.43,3.10,3.64,3.82,3.47,3.77,3.69,3.69
Tunisia,MtCO2e,1.56,1.88,1.87,2.00,2.14,2.29,2.11,2.04,2.11,2.23,2.58,2.60,2.71,2.70,2.96,2.96,3.08,3.11,3.29,3.30,3.49,3.04,2.93,2.96,3.63,3.79,3.59,3.59,3.59
Kazakhstan,MtCO2e,false,false,2.54,1.56,0.80,0.70,0.44,0.26,0.25,0.33,0.47,0.60,0.62,0.78,0.90,0.93,1.47,1.90,1.75,1.50,2.46,2.72,2.72,3.02,3.19,3.40,3.38,3.55,3.55
Ukraine,MtCO2e,false,false,8.68,6.40,4.99,3.41,2.16,2.42,2.79,2.54,2.26,2.48,2.82,3.61,4.26,4.79,5.48,6.16,6.29,2.59,2.88,3.90,3.28,3.40,3.30,3.28,3.62,3.54,3.54
Uzbekistan,MtCO2e,false,false,2.49,2.37,2.10,1.54,1.43,1.50,1.59,1.50,1.48,1.68,1.69,1.79,2.13,2.27,2.35,2.55,2.83,2.90,2.92,2.79,2.79,2.87,3.02,3.24,3.41,3.41,3.41
Ethiopia,MtCO2e,0.14,0.12,0.12,0.14,0.19,0.25,0.28,0.30,0.30,0.26,0.36,0.36,0.36,0.45,0.52,0.62,0.68,0.63,0.70,0.65,0.63,0.80,1.34,1.95,2.09,2.89,3.20,3.20,3.20
Venezuela,MtCO2e,2.37,2.86,2.98,3.09,3.12,3.46,3.40,3.66,3.69,3.82,3.86,3.86,3.08,3.35,2.15,2.47,4.65,3.32,3.25,3.14,2.81,3.04,3.17,3.31,3.15,3.26,3.18,3.18,3.18
North Korea,MtCO2e,6.52,6.51,6.91,6.90,6.90,6.89,6.88,2.83,1.29,1.61,1.85,2.07,2.13,2.20,2.23,2.25,2.41,2.36,2.45,2.44,2.33,2.38,2.45,2.72,2.75,2.76,2.80,2.80,2.80
Kenya,MtCO2e,0.62,0.58,0.62,0.58,0.59,0.64,0.74,0.61,0.58,0.58,0.46,0.53,0.59,0.66,0.71,0.84,0.85,0.98,1.09,1.28,1.43,1.71,1.77,1.97,2.16,2.33,2.46,2.46,2.46
