Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
China,MtCO2e,5.76,7.12,8.48,9.84,11.21,12.57,17.59,22.61,27.62,32.64,37.66,52.05,66.44,80.82,95.21,109.60,124.21,138.82,153.43,168.04,182.65,197.10,211.54,223.84,236.14,248.43,253.74,259.05,264.36
Argentina,MtCO2e,1.83,1.66,1.48,1.31,1.14,1.22,1.67,2.11,2.53,2.95,3.36,3.71,4.05,4.40,4.74,5.09,7.06,9.04,11.01,12.99,14.97,15.76,16.56,17.36,18.16,18.95,20.12,21.29,22.46
Canada,MtCO2e,11.70,12.82,11.10,10.05,9.65,9.02,9.02,9.27,10.40,9.89,10.60,9.72,10.01,10.05,10.41,10.33,9.86,9.28,9.32,9.67,9.99,10.59,11.28,11.47,11.52,12.42,13.23,13.33,13.42
Australia,MtCO2e,6.25,6.27,6.19,5.42,3.48,2.84,2.83,2.74,3.26,2.90,3.11,4.32,4.88,5.49,6.21,6.99,6.25,7.16,8.13,8.91,9.90,10.75,11.34,11.94,12.63,13.22,13.76,13.34,12.92
Brazil,MtCO2e,3.87,4.38,4.93,5.01,4.80,4.71,4.15,3.83,3.25,4.30,3.04,3.14,3.71,4.13,4.44,4.85,5.62,6.41,7.14,7.32,8.00,8.04,8.09,8.13,8.18,8.22,8.63,9.03,9.44
Colombia,MtCO2e,0.19,0.21,0.22,0.24,0.25,0.27,0.39,0.51,0.63,0.75,1.02,1.21,1.40,1.59,1.78,1.87,2.10,2.33,2.56,2.78,3.01,3.40,3.79,4.19,4.58,4.97,5.38,5.78,6.19
Algeria,MtCO2e,0.09,0.09,0.10,0.10,0.11,0.11,0.19,0.26,0.33,0.40,0.48,0.74,1.00,1.26,1.52,1.78,2.25,2.73,3.21,3.69,4.17,4.32,4.47,4.62,4.78,4.93,5.15,5.36,5.58
Côte d'Ivoire,MtCO2e,false,0.02,0.04,0.07,0.09,0.11,0.19,0.27,0.35,0.43,0.52,0.54,0.57,0.60,0.62,0.65,0.77,0.90,1.03,1.15,1.28,1.53,1.78,2.02,2.27,2.52,2.82,3.11,3.40
Bahrain,MtCO2e,0.11,0.14,0.16,0.19,0.21,0.26,0.35,0.44,0.54,0.63,0.73,0.74,0.76,0.78,0.79,0.81,0.90,0.98,1.07,1.15,1.24,1.46,1.68,1.90,2.12,2.34,2.65,2.95,3.26
Bangladesh,MtCO2e,0.03,0.04,0.05,0.06,0.07,0.08,0.13,0.17,0.21,0.26,0.30,0.34,0.38,0.41,0.45,0.49,0.56,0.64,0.72,0.79,0.87,1.05,1.24,1.42,1.61,1.79,2.25,2.72,3.18
