Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
China,MtCO2e,4.08,4.17,4.27,4.37,4.47,6.94,9.42,11.89,14.36,16.84,19.31,21.78,24.26,26.73,29.20,31.68,38.01,44.34,50.67,57.00,63.33,69.66,75.99,86.84,97.70,108.55,112.34,116.14,119.93
Cameroon,MtCO2e,false,false,false,false,55.73,55.73,55.73,55.73,55.73,55.73,55.73,55.73,55.73,55.73,55.73,55.73,55.73,55.73,55.73,55.73,55.73,55.73,55.73,55.73,55.73,55.73,55.73,55.73,55.73
United States,MtCO2e,31.56,31.13,29.31,30.94,31.29,34.81,35.20,28.56,24.04,23.09,23.26,19.96,20.85,20.67,18.81,22.67,23.86,27.67,17.97,16.56,19.98,25.33,20.21,18.83,20.59,20.04,21.38,22.07,22.76
Algeria,MtCO2e,0.97,0.80,0.63,0.47,0.30,0.30,0.29,0.29,0.29,0.29,0.28,0.27,0.26,0.25,0.24,0.23,0.20,0.17,0.13,0.10,0.06,0.54,1.01,1.48,1.96,2.43,2.50,2.56,2.62
Australia,MtCO2e,1.02,0.85,1.11,1.41,1.39,1.39,1.55,1.60,1.70,1.65,1.76,2.11,2.24,2.52,2.49,2.68,2.65,2.76,3.11,3.02,3.16,2.58,2.43,1.49,1.41,1.56,1.43,1.43,1.43
Canada,MtCO2e,11.45,10.79,10.74,9.89,11.63,11.48,12.30,10.74,6.25,3.20,2.48,2.41,2.78,2.69,4.55,4.11,2.66,2.84,3.88,1.99,1.29,1.36,1.32,1.23,1.27,1.37,1.34,1.36,1.38
Colombia,MtCO2e,0.06,0.06,0.07,0.07,0.07,0.12,0.16,0.20,0.24,0.29,0.33,0.35,0.37,0.38,0.40,0.37,0.45,0.53,0.62,0.70,0.78,0.76,0.74,0.71,0.69,0.67,0.67,0.68,0.69
Czech Republic,MtCO2e,1.26,0.88,1.06,0.85,1.05,1.18,1.14,1.17,1.24,1.05,1.17,1.16,1.03,1.03,1.15,1.09,1.00,0.85,0.83,0.68,0.55,0.59,0.60,0.44,0.48,0.50,0.44,0.44,0.44
Argentina,MtCO2e,0.12,0.12,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.22,0.29,0.37,0.45,0.52,0.51,0.49,0.48,0.46,0.45,0.44,0.44,0.43,0.42,0.42,0.42,0.43,0.43
Belgium,MtCO2e,3.64,3.54,3.23,3.46,3.96,4.30,4.73,4.50,4.59,4.46,4.19,4.01,3.67,2.99,3.10,3.04,2.10,1.41,1.45,1.51,1.88,0.70,0.74,0.64,0.57,0.47,0.41,0.41,0.41
Brazil,MtCO2e,3.19,4.01,3.74,4.81,4.86,5.20,4.06,3.61,5.68,5.66,5.94,4.84,6.05,5.55,7.75,6.80,7.38,0.88,0.68,0.30,0.28,0.29,0.31,0.32,0.34,0.35,0.37,0.38,0.40
Belarus,MtCO2e,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.37,0.39,0.40,0.39,0.40,0.40,0.39,0.40,0.38,0.38,0.39,0.38,0.38,0.44,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.36
Austria,MtCO2e,1.10,1.11,1.03,1.07,1.02,1.05,1.06,1.05,1.09,1.11,1.14,0.97,0.98,1.04,0.45,0.43,0.43,0.41,0.46,0.30,0.21,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17
Croatia,MtCO2e,0.79,0.70,0.90,0.69,0.74,0.71,0.67,0.70,0.53,0.62,0.73,0.62,0.60,0.57,0.68,0.67,0.66,0.73,0.74,0.63,0.80,0.79,0.69,0.28,0.29,0.34,0.17,0.17,0.17
Costa Rica,MtCO2e,false,false,false,false,false,false,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Bulgaria,MtCO2e,1.68,1.16,0.99,0.87,0.94,1.38,1.42,1.07,0.66,0.55,0.82,0.82,0.68,0.71,0.84,0.90,0.50,0.61,0.58,0.28,0.29,0.25,0.15,0.14,0.14,0.14,0.13,0.13,0.13
Cyprus,MtCO2e,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Denmark,MtCO2e,1.02,0.94,0.83,0.78,0.79,0.89,0.82,0.83,0.79,0.94,0.98,0.87,0.76,0.88,0.53,0.47,0.38,0.29,0.20,0.11,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Cuba,MtCO2e,0.99,0.75,0.52,0.29,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Afghanistan,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Albania,MtCO2e,0.12,0.10,0.07,0.05,0.02,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Andorra,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Angola,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Antigua and Barbuda,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Armenia,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Azerbaijan,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Bahamas,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Bahrain,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Bangladesh,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Barbados,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Belize,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Benin,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Bhutan,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Bolivia,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Bosnia and Herzegovina,MtCO2e,0.21,0.16,0.12,0.08,0.04,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Botswana,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Brunei,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Burkina Faso,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Burundi,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Cambodia,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Cape Verde,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
