Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
China,MtCO2e,745.20,778.83,807.80,861.54,903.38,1070.17,968.66,961.13,1023.82,871.49,906.38,961.33,999.54,1138.75,1500.19,1935.87,2083.32,2274.35,2409.86,2601.83,2844.45,3005.39,3038.40,3029.29,3022.68,2972.98,2846.38,2734.18,2667.43
India,MtCO2e,149.11,153.20,156.66,154.53,164.34,156.70,156.92,173.13,182.58,187.80,192.28,193.98,207.67,198.43,208.25,232.62,260.24,294.80,308.18,355.60,398.01,443.40,431.78,469.25,500.41,503.78,525.10,558.99,571.38
Japan,MtCO2e,262.87,261.56,257.21,255.81,258.56,263.52,262.62,255.94,233.16,236.01,240.40,234.86,237.41,234.11,233.23,234.64,235.19,232.03,212.15,200.12,211.82,218.36,214.45,216.34,209.97,202.35,197.98,196.80,191.68
Indonesia,MtCO2e,28.00,27.75,29.24,32.19,37.84,46.74,46.88,50.90,47.63,61.24,57.94,62.21,58.98,74.67,80.26,81.30,104.64,111.20,91.57,100.25,126.17,135.76,119.16,78.94,88.87,99.98,84.22,99.55,114.44
Germany,MtCO2e,156.15,133.61,124.78,117.55,117.94,116.64,110.52,108.20,106.00,101.69,102.74,96.44,95.84,98.57,97.06,94.77,96.66,96.05,99.87,86.87,98.35,97.18,94.25,93.81,91.25,95.12,93.22,95.14,99.33
Iran,MtCO2e,37.35,45.90,44.88,36.51,41.52,43.36,37.30,42.63,38.30,42.80,43.45,43.73,44.96,48.99,51.81,58.00,61.53,74.76,79.56,78.51,84.26,84.64,87.43,87.31,93.06,88.44,91.87,96.77,98.94
Brazil,MtCO2e,46.67,50.08,50.94,53.17,55.04,59.03,64.71,68.48,70.41,74.16,81.53,79.36,82.11,80.84,83.37,82.03,82.19,91.21,91.21,82.12,96.44,105.72,101.91,99.23,97.98,94.59,84.69,90.50,86.98
South Korea,MtCO2e,51.44,61.15,63.02,70.98,79.18,82.79,87.41,86.49,77.65,85.22,95.86,94.19,85.99,82.87,80.68,74.08,79.09,73.39,77.57,69.24,78.45,80.13,76.33,77.01,72.23,76.27,73.00,71.83,71.97
Egypt,MtCO2e,26.59,24.18,25.81,28.05,20.51,22.98,25.32,26.72,24.74,26.29,25.29,32.81,30.85,28.65,23.72,33.10,34.28,39.23,36.37,31.53,31.77,31.68,28.06,31.59,29.75,32.34,34.62,35.26,41.12
France,MtCO2e,60.55,61.00,61.37,57.49,57.20,59.37,62.63,61.62,58.47,56.62,55.45,59.34,57.16,56.63,53.08,55.13,54.84,54.03,52.54,41.25,45.10,46.12,43.72,45.07,42.88,41.71,43.48,42.47,40.08
Australia,MtCO2e,42.85,43.10,42.82,43.72,45.42,46.21,46.00,47.48,47.60,47.47,47.98,47.26,37.91,44.27,45.28,43.80,42.66,43.29,44.79,41.18,36.98,39.52,41.00,41.01,41.01,37.69,37.49,37.55,39.32
Kazakhstan,MtCO2e,80.97,85.46,88.70,75.82,60.43,59.44,49.43,43.56,43.15,36.00,21.24,27.78,20.85,26.15,33.55,38.42,27.38,39.03,67.56,52.69,57.47,69.24,63.70,69.89,48.60,41.31,42.16,42.35,36.78
Italy,MtCO2e,74.03,69.94,67.79,65.81,67.52,68.52,66.90,68.98,68.72,71.91,73.35,70.87,69.96,76.46,68.28,66.47,61.76,60.54,56.96,43.23,45.80,45.03,43.32,38.09,35.12,34.85,34.65,31.92,32.26
Argentina,MtCO2e,14.11,14.69,15.71,15.02,17.51,17.22,17.74,20.81,20.25,18.29,17.87,17.64,17.08,19.00,20.02,20.43,22.12,21.09,20.68,17.56,19.05,20.71,19.20,21.13,21.37,21.55,19.41,18.98,20.68
Belgium,MtCO2e,28.10,28.98,26.73,24.64,26.59,24.81,24.94,26.07,27.08,27.84,29.11,30.70,24.61,25.04,22.82,20.21,20.98,20.19,19.89,17.95,18.99,17.46,17.50,19.05,18.85,18.74,19.46,18.66,19.22
Bangladesh,MtCO2e,2.31,1.51,1.50,1.47,1.90,3.32,2.96,3.63,2.86,2.85,4.01,4.57,4.95,5.50,4.12,4.70,5.30,6.00,7.02,8.17,9.21,9.26,10.27,10.82,10.94,17.21,14.76,17.35,17.72
Chile,MtCO2e,6.38,6.66,7.55,8.02,7.86,8.86,9.57,12.77,10.69,10.20,10.33,11.24,10.43,10.84,10.64,10.61,12.11,12.01,12.08,11.29,13.72,13.97,11.59,12.85,13.97,15.02,14.99,14.39,14.32
Algeria,MtCO2e,5.67,6.22,6.31,6.23,5.97,6.26,5.88,5.29,5.66,6.05,6.16,6.25,6.62,7.01,8.09,8.21,8.70,9.72,9.22,9.56,10.69,10.80,10.05,10.01,10.23,10.80,10.88,12.02,12.73
Czech Republic,MtCO2e,46.68,37.05,40.04,33.01,27.38,26.50,25.37,24.77,23.20,19.91,24.08,22.40,20.50,20.63,20.75,20.18,19.77,18.11,17.25,16.68,13.32,12.79,12.55,11.76,11.54,11.70,11.44,12.21,12.44
Iraq,MtCO2e,7.79,6.89,8.68,9.60,10.35,10.16,10.31,9.80,9.76,10.09,10.46,10.85,9.82,7.04,7.46,7.00,6.74,8.05,6.72,7.09,7.54,9.95,15.36,14.07,11.09,8.43,8.79,9.40,11.01
Austria,MtCO2e,9.52,10.08,9.14,9.40,9.26,9.71,9.83,10.97,10.31,9.52,10.68,10.54,10.30,11.05,11.71,11.05,11.27,10.97,11.23,10.63,11.13,11.24,11.07,10.71,10.22,10.38,10.71,10.64,10.82
Kuwait,MtCO2e,4.06,0.99,5.26,7.17,6.18,6.01,4.67,4.27,6.47,5.46,7.62,7.12,6.67,8.42,7.99,11.52,10.60,8.98,9.19,9.80,10.50,11.94,11.86,12.28,9.73,11.09,11.68,12.50,10.62
Cuba,MtCO2e,10.77,7.36,6.05,5.70,5.98,6.62,7.31,9.34,9.88,11.20,10.97,11.72,7.83,5.65,4.96,6.31,7.72,8.14,7.10,7.99,8.93,8.21,8.05,7.34,5.16,7.52,11.57,8.72,8.47
North Korea,MtCO2e,78.97,75.18,64.66,59.52,52.90,48.34,41.04,40.07,37.16,40.58,42.92,44.86,43.04,44.09,45.10,47.53,48.69,39.81,44.40,32.91,30.58,21.06,22.20,14.90,17.29,13.39,16.46,11.46,8.43
Finland,MtCO2e,13.61,13.11,12.69,12.22,13.45,11.76,11.64,11.93,13.39,12.79,10.96,10.89,10.52,10.20,10.27,9.77,9.78,9.42,8.99,7.49,9.04,8.40,7.64,7.48,7.45,7.29,7.38,7.29,7.58
Hungary,MtCO2e,14.06,11.76,9.47,8.87,8.39,8.30,8.54,6.88,6.43,6.21,5.76,6.00,6.06,5.90,5.81,5.93,5.77,5.67,5.56,4.09,4.36,5.72,4.97,5.64,5.39,5.80,5.86,6.49,6.81
Greece,MtCO2e,9.64,9.53,9.17,8.97,8.89,9.63,10.31,10.43,10.39,9.30,10.20,10.33,9.89,9.54,8.79,8.70,9.03,10.21,8.53,6.45,6.67,5.77,5.83,5.63,5.99,6.30,6.48,5.27,5.08
Libya,MtCO2e,2.08,2.20,2.40,2.03,2.37,2.74,2.71,3.11,3.01,3.06,3.20,3.29,3.18,3.16,3.65,3.42,2.98,2.83,3.72,3.81,3.55,1.28,1.34,2.81,5.20,3.87,3.94,4.63,5.03
Bulgaria,MtCO2e,12.09,8.89,7.38,6.40,7.91,9.05,8.73,14.11,11.37,7.85,7.98,7.87,7.49,8.09,8.02,7.86,7.98,8.43,6.13,3.51,3.72,3.62,3.28,3.29,3.35,3.67,3.73,4.39,4.79
Belarus,MtCO2e,8.37,8.15,5.47,5.52,4.17,3.41,3.85,3.87,4.44,4.26,3.21,3.26,3.23,3.61,3.91,4.03,3.99,4.27,4.54,4.24,4.67,4.76,5.12,5.21,5.33,4.46,4.50,4.64,4.74
Ethiopia,MtCO2e,0.55,0.56,0.26,0.39,0.51,0.56,0.61,0.66,0.72,0.71,0.79,0.96,1.00,0.95,1.11,1.15,1.23,1.34,1.38,1.36,1.73,2.46,2.30,2.88,3.80,3.46,4.28,4.26,4.55
Israel,MtCO2e,3.18,3.15,1.63,2.35,2.66,2.93,2.81,1.91,1.68,1.54,1.47,1.31,1.29,1.02,0.88,0.82,0.89,0.98,1.69,2.02,3.02,0.85,1.31,4.93,5.13,4.35,3.91,4.78,4.20
Ireland,MtCO2e,3.99,4.09,3.80,3.96,4.16,4.22,4.01,4.37,4.34,4.55,5.29,5.23,4.96,5.20,5.36,5.50,5.59,4.88,4.93,3.67,3.54,3.63,3.62,3.53,3.58,3.85,3.92,3.97,4.15
Equatorial Guinea,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.06,0.52,1.92,1.97,2.60,4.61,5.56,4.54,5.87,6.07,6.12,6.52,6.62,5.34,4.23,3.22,2.22,2.76,3.89
Denmark,MtCO2e,5.46,5.89,5.75,5.69,5.73,5.97,5.90,5.82,5.65,5.71,5.39,5.59,5.19,5.22,5.35,5.16,5.32,5.14,4.64,3.81,4.00,3.98,3.68,3.45,3.46,3.40,3.55,3.72,3.67
