Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
China,MtCO2e,139.45,143.84,139.09,145.41,155.58,151.32,89.34,137.76,148.34,153.92,95.50,101.50,111.65,129.03,141.82,156.17,160.90,160.92,160.46,165.30,169.36,177.54,185.94,198.48,199.23,202.03,201.82,193.31,187.44
Brazil,MtCO2e,11.07,10.55,11.27,11.99,12.66,13.64,14.24,16.01,14.23,14.64,14.20,15.58,15.22,15.29,15.25,15.06,15.16,16.10,17.92,17.40,18.19,16.78,17.46,17.48,18.18,18.30,17.92,19.18,18.78
Canada,MtCO2e,7.34,7.39,7.99,8.34,8.43,8.93,9.49,9.89,9.52,9.80,9.97,8.84,7.87,8.07,8.06,12.72,12.97,13.77,13.97,11.70,14.05,15.65,15.33,16.06,17.01,17.32,17.47,17.98,18.73
Argentina,MtCO2e,4.59,5.08,5.67,6.21,7.32,7.78,8.23,8.07,7.69,7.80,7.56,7.13,7.17,8.40,10.02,10.55,11.20,12.29,11.93,10.60,11.59,12.02,11.33,12.65,11.47,11.87,11.61,11.82,10.51
Australia,MtCO2e,3.39,3.42,3.46,3.58,3.67,3.80,3.81,3.96,4.04,4.14,4.20,4.22,5.04,6.14,6.15,6.49,6.02,5.93,6.00,5.98,6.13,6.07,6.18,6.27,6.23,6.59,6.98,7.50,7.56
Colombia,MtCO2e,1.44,1.32,1.20,1.47,3.84,1.34,1.52,1.52,1.52,1.36,1.47,1.48,1.48,1.54,1.36,1.31,1.44,1.48,1.65,2.54,2.62,3.19,3.43,6.91,7.22,6.30,6.35,4.81,4.88
Algeria,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3.93,3.57,3.96,3.53,4.12,2.37,2.49,2.65,3.33,4.20
Bangladesh,MtCO2e,0.78,0.86,1.00,0.99,0.99,1.17,1.29,1.38,1.43,1.55,1.38,1.86,1.92,1.88,2.17,2.45,2.48,2.48,2.52,2.48,2.77,3.49,3.49,3.20,3.22,2.90,3.08,2.95,3.56
Cuba,MtCO2e,3.13,2.22,1.90,1.63,1.80,1.82,2.33,2.50,2.12,2.13,2.18,1.90,1.64,2.43,2.35,2.38,1.97,2.17,2.03,2.75,3.37,2.97,3.13,3.09,3.03,3.06,2.56,2.79,2.79
Belarus,MtCO2e,3.91,4.09,3.67,3.48,2.27,2.01,1.92,1.83,1.83,1.69,2.13,1.90,1.86,1.90,2.00,2.16,2.33,2.46,2.77,2.15,2.07,2.25,2.25,2.15,2.11,2.00,2.02,2.28,2.39
Belgium,MtCO2e,1.84,2.02,2.54,2.75,3.38,3.71,4.14,3.56,3.20,2.98,2.63,2.53,2.19,2.76,2.83,2.65,2.59,2.30,2.38,2.32,2.05,1.78,1.82,1.96,1.64,1.60,1.75,1.80,1.78
Chile,MtCO2e,0.40,0.63,0.62,0.57,0.58,0.43,0.80,0.89,0.54,0.49,0.57,0.48,0.58,0.42,0.67,0.38,0.32,0.40,0.45,0.50,0.89,1.15,0.88,0.67,0.60,0.66,0.82,1.40,1.48
Denmark,MtCO2e,2.29,2.41,2.37,2.18,2.17,2.15,2.28,2.25,2.18,2.17,2.17,2.14,2.08,2.01,1.89,1.88,1.96,1.84,1.85,1.85,1.91,1.81,1.68,1.70,1.55,1.59,1.57,1.46,1.43
Czech Republic,MtCO2e,5.72,5.20,4.06,7.95,7.52,5.70,2.02,2.29,2.15,2.89,3.13,2.11,2.03,1.91,1.51,1.60,1.59,1.50,1.57,1.39,1.44,1.44,1.44,1.43,1.40,1.37,1.32,1.39,1.28
Azerbaijan,MtCO2e,4.26,3.16,2.69,1.77,1.53,1.18,1.04,0.75,0.79,0.93,1.67,1.22,0.38,0.28,0.39,0.85,0.17,0.64,0.79,1.01,1.05,1.10,1.13,1.16,1.12,1.09,1.01,1.04,1.15
Austria,MtCO2e,1.24,1.21,1.16,1.05,0.99,1.02,1.03,1.03,1.04,1.05,1.01,1.01,0.97,0.99,0.98,0.90,0.86,0.84,0.83,0.78,0.78,0.76,0.74,0.76,0.76,0.75,0.76,0.75,0.74
Croatia,MtCO2e,1.28,0.74,0.64,0.64,0.65,0.58,0.53,0.60,0.65,0.84,0.86,0.81,0.75,0.76,0.70,0.71,0.72,0.71,0.75,0.74,0.72,0.73,0.67,0.66,0.66,0.66,0.66,0.65,0.66
Chad,MtCO2e,0.21,0.21,0.22,0.23,0.23,0.24,0.25,0.26,0.26,0.27,0.28,0.29,0.30,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.39,0.43,0.45,0.45,0.45,0.46,0.47,0.47,0.52
Bulgaria,MtCO2e,1.66,1.45,0.98,0.87,1.03,0.86,0.89,0.87,0.83,0.86,0.87,0.79,0.80,0.80,0.79,0.85,0.85,0.75,0.48,0.48,0.46,0.50,0.49,0.46,0.47,0.47,0.43,0.44,0.46
Armenia,MtCO2e,0.60,1.61,0.70,0.33,0.27,0.20,0.11,0.12,0.12,0.09,0.22,0.21,0.26,0.35,0.35,0.42,0.40,0.42,0.44,0.40,0.66,0.71,0.78,0.74,0.73,0.60,0.50,0.46,0.46
Bolivia,MtCO2e,0.06,0.12,0.11,0.04,0.04,0.04,0.03,0.02,0.02,0.03,0.61,0.60,0.63,0.70,0.78,0.83,0.23,0.25,0.25,0.26,0.27,0.29,0.31,0.35,0.37,0.37,0.37,0.39,0.41
Albania,MtCO2e,1.79,0.96,0.29,0.23,0.17,0.08,0.11,0.04,0.05,0.51,0.51,0.52,0.55,0.59,0.49,0.34,0.53,0.44,0.32,0.20,0.24,0.25,0.25,0.24,0.27,0.25,0.26,0.29,0.29
Côte d'Ivoire,MtCO2e,0.14,0.14,0.14,0.14,0.13,0.16,0.15,0.18,0.15,1.44,1.36,1.27,1.06,0.88,0.82,0.49,0.86,0.89,0.68,0.19,0.20,0.20,0.28,0.28,0.29,0.35,0.33,0.43,0.26
Costa Rica,MtCO2e,0.03,0.10,0.12,0.16,0.17,0.18,0.22,0.24,0.25,0.32,0.41,0.44,0.35,0.36,0.16,0.20,0.21,0.22,0.21,0.22,0.15,0.18,0.19,0.20,0.21,0.21,0.23,0.24,0.21
Cambodia,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.11,0.21,0.23,0.26,0.33,0.39,0.50,0.55,0.15,0.13,0.15
Bosnia and Herzegovina,MtCO2e,4.85,4.83,4.14,3.74,0.69,0.77,0.49,0.87,0.74,0.70,1.10,1.17,1.04,1.63,1.60,1.78,1.40,1.55,1.90,0.86,1.01,1.06,0.99,0.65,0.17,0.16,0.04,0.04,0.11
