Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
China,MtCO2e,37.21,37.18,37.15,37.12,37.09,37.00,37.15,37.29,37.44,37.58,37.73,37.93,38.13,38.33,38.54,38.74,40.15,41.56,42.96,44.37,45.78,46.11,46.44,46.77,47.10,47.43,47.44,47.45,47.46
Central African Republic,MtCO2e,10.86,11.21,11.56,11.91,12.26,12.61,12.94,13.28,13.61,13.95,14.28,14.11,13.95,13.78,13.61,13.45,13.61,13.77,13.93,14.09,14.25,15.43,16.61,17.80,18.98,20.16,20.46,20.75,21.05
Brazil,MtCO2e,4.18,5.28,5.18,5.17,5.25,4.46,5.30,5.45,5.47,5.50,5.63,5.64,5.96,6.31,6.68,7.38,7.79,8.21,8.63,9.05,9.46,9.66,9.86,10.05,10.25,10.44,10.37,10.30,10.22
Canada,MtCO2e,6.11,5.88,5.99,6.01,6.44,6.68,7.02,7.41,7.88,8.40,8.62,8.87,9.01,9.14,8.81,8.57,8.09,7.99,7.53,6.81,6.88,6.75,6.57,6.44,6.21,6.22,6.16,6.15,6.13
Russia,MtCO2e,9.13,8.80,6.75,6.27,5.17,5.17,5.08,4.63,4.46,4.57,4.67,4.78,4.79,4.79,4.91,5.03,5.25,5.05,5.10,4.84,4.76,4.97,4.89,4.63,4.90,5.04,4.93,4.90,4.87
Nigeria,MtCO2e,2.79,2.84,2.88,2.93,2.98,3.07,3.16,3.24,3.33,3.41,3.50,3.67,3.84,4.01,4.18,4.35,4.33,4.30,4.28,4.26,4.23,4.22,4.21,4.20,4.19,4.18,4.24,4.29,4.35
Afghanistan,MtCO2e,0.40,0.36,0.31,0.27,0.22,0.18,0.17,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.40,0.65,0.91,1.16,1.41,1.93,2.44,2.95,3.46,3.97,4.07,4.18,4.28
Mexico,MtCO2e,1.45,1.50,1.52,1.53,1.56,1.56,1.59,1.62,1.67,1.65,1.69,1.68,1.67,1.71,1.77,1.82,1.84,1.90,1.87,1.80,1.86,1.85,1.84,3.40,3.38,3.36,3.33,3.31,3.29
Australia,MtCO2e,1.92,1.97,2.03,2.17,2.26,2.39,2.49,2.63,2.80,2.92,3.02,3.16,3.38,3.65,3.76,3.79,3.77,3.79,3.80,3.70,3.63,3.72,3.69,3.67,3.54,3.32,3.28,3.27,3.25
Poland,MtCO2e,2.21,2.18,2.21,2.46,2.50,2.54,2.68,2.75,2.55,2.55,2.54,2.48,2.44,2.50,2.55,2.60,2.43,2.39,2.39,2.36,2.47,2.49,2.48,2.42,2.34,2.34,2.44,2.44,2.45
Democratic Republic of the Congo,MtCO2e,1.18,1.19,1.20,1.21,1.22,1.22,1.21,1.19,1.17,1.16,1.29,1.19,1.21,1.22,1.23,1.24,1.28,1.32,1.36,1.40,1.44,1.60,1.76,1.91,2.07,2.23,2.26,2.28,2.31
Nepal,MtCO2e,0.35,0.38,0.41,0.43,0.46,0.49,0.56,0.63,0.70,0.76,0.83,0.83,0.83,0.83,0.82,0.82,0.92,1.01,1.11,1.20,1.30,1.38,1.46,1.54,1.62,1.71,1.75,1.79,1.83
Mozambique,MtCO2e,0.35,0.39,0.44,0.48,0.53,0.54,0.54,0.54,0.54,0.55,0.55,0.60,0.64,0.69,0.74,0.79,0.82,0.85,0.88,0.90,0.93,1.01,1.09,1.18,1.26,1.34,1.35,1.37,1.39
Philippines,MtCO2e,0.72,0.76,0.80,0.84,0.88,0.89,0.90,0.91,0.92,0.92,0.93,0.94,0.96,0.97,0.98,0.99,0.99,0.99,0.99,1.00,1.00,1.04,1.07,1.11,1.15,1.19,1.21,1.24,1.26
