Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
China,MtCO2e,17.93,18.62,19.32,20.02,20.71,21.41,22.10,22.80,23.49,24.18,24.87,25.26,25.65,26.04,26.43,26.82,27.12,27.42,27.71,28.01,28.31,28.61,28.91,29.12,29.33,29.54,29.66,29.77,29.89
Central African Republic,MtCO2e,0.02,0.02,0.02,0.02,2.41,2.41,2.41,2.41,2.41,2.41,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.44
Brazil,MtCO2e,1.29,1.32,1.35,1.38,1.41,1.44,1.47,1.53,1.59,1.65,1.69,1.73,1.81,1.90,1.93,1.97,2.00,2.04,2.07,2.11,2.15,2.18,2.21,2.24,2.27,2.30,2.32,2.33,2.35
Bangladesh,MtCO2e,0.84,0.85,0.86,0.87,0.88,0.90,0.94,0.98,1.02,1.07,1.11,1.15,1.19,1.24,1.28,1.32,1.35,1.38,1.40,1.43,1.46,1.48,1.51,1.53,1.55,1.58,1.59,1.61,1.63
Colombia,MtCO2e,1.07,1.10,1.12,1.15,1.17,1.19,1.20,1.22,1.23,1.24,1.26,1.28,1.30,1.32,1.34,1.35,1.36,1.37,1.38,1.39,1.40,1.41,1.42,1.42,1.43,1.43,1.44,1.45,1.45
Argentina,MtCO2e,0.74,0.76,0.78,0.81,0.83,0.86,0.89,0.93,0.93,0.93,0.93,0.92,0.91,0.90,0.89,0.88,0.90,0.92,0.94,0.96,0.98,0.99,1.00,1.01,1.02,1.03,1.04,1.05,1.06
Canada,MtCO2e,0.49,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.60,0.62,0.62,0.62,0.63,0.63,0.63,0.65,0.64,0.64,0.65,0.65,0.66,0.66,0.66,0.67,0.67,0.68,0.68
Algeria,MtCO2e,0.27,0.27,0.28,0.29,0.30,0.32,0.35,0.37,0.40,0.42,0.44,0.46,0.47,0.48,0.49,0.50,0.52,0.53,0.54,0.55,0.56,0.57,0.59,0.61,0.62,0.64,0.65,0.66,0.67
Azerbaijan,MtCO2e,0.21,0.43,0.43,0.43,0.44,0.44,0.44,0.45,0.45,0.45,0.46,0.47,0.48,0.50,0.51,0.52,0.53,0.54,0.55,0.56,0.56,0.57,0.58,0.58,0.59,0.59,0.60,0.60,0.60
Cameroon,MtCO2e,0.39,0.40,0.41,0.43,0.44,0.41,0.39,0.37,0.34,0.32,0.30,0.31,0.33,0.34,0.36,0.37,0.39,0.41,0.44,0.46,0.48,0.49,0.51,0.52,0.54,0.55,0.56,0.58,0.59
Australia,MtCO2e,0.29,0.29,0.30,0.30,0.30,0.29,0.30,0.32,0.33,0.33,0.33,0.34,0.34,0.35,0.35,0.35,0.36,0.36,0.38,0.37,0.35,0.36,0.39,0.40,0.43,0.48,0.52,0.52,0.53
Burkina Faso,MtCO2e,0.11,0.12,0.12,0.12,0.28,0.28,0.29,0.29,0.29,0.30,0.30,0.31,0.32,0.32,0.33,0.34,0.35,0.36,0.37,0.37,0.38,0.39,0.40,0.41,0.41,0.42,0.43,0.44,0.45
Burundi,MtCO2e,0.12,0.12,0.12,0.13,0.13,0.13,0.14,0.14,0.24,0.24,0.24,0.25,0.26,0.26,0.27,0.28,0.29,0.30,0.30,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.40
Democratic Republic of the Congo,MtCO2e,0.14,0.14,0.15,0.16,0.16,0.17,0.17,0.18,0.18,0.19,0.20,0.21,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.29,0.30,0.31,0.32,0.33,0.34,0.35,0.36,0.38,0.39
Afghanistan,MtCO2e,0.14,0.14,0.15,0.16,0.17,0.17,0.18,0.19,0.19,0.20,0.20,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.30,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38
Angola,MtCO2e,0.10,0.10,0.11,0.11,0.11,0.12,0.12,0.13,0.13,0.14,0.15,0.15,0.16,0.17,0.18,0.19,0.20,0.22,0.23,0.25,0.26,0.27,0.29,0.30,0.31,0.32,0.33,0.34,0.35
Chile,MtCO2e,0.22,0.23,0.24,0.25,0.21,0.21,0.22,0.22,0.23,0.23,0.24,0.24,0.25,0.26,0.26,0.27,0.37,0.36,0.35,0.34,0.33,0.33,0.33,0.34,0.34,0.34,0.35,0.35,0.35
Chad,MtCO2e,0.06,0.06,0.06,0.18,0.18,0.19,0.19,0.20,0.20,0.21,0.21,0.22,0.22,0.22,0.23,0.23,0.24,0.24,0.24,0.25,0.25,0.26,0.26,0.27,0.27,0.28,0.28,0.29,0.29
Austria,MtCO2e,0.12,0.12,0.13,0.14,0.15,0.15,0.16,0.16,0.17,0.18,0.18,0.20,0.21,0.22,0.23,0.24,0.25,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.27,0.27,0.27,0.27
Cambodia,MtCO2e,0.11,0.11,0.12,0.12,0.13,0.13,0.13,0.14,0.14,0.15,0.15,0.16,0.17,0.17,0.18,0.19,0.20,0.20,0.21,0.22,0.23,0.23,0.24,0.24,0.25,0.25,0.26,0.26,0.26
Belarus,MtCO2e,0.22,0.21,0.21,0.20,0.19,0.18,0.20,0.21,0.21,0.22,0.22,0.23,0.23,0.21,0.22,0.22,0.22,0.22,0.21,0.20,0.20,0.21,0.21,0.22,0.23,0.23,0.23,0.23,0.23
Bolivia,MtCO2e,0.09,0.09,0.10,0.10,0.11,0.11,0.11,0.11,0.12,0.12,0.13,0.14,0.14,0.14,0.14,0.15,0.15,0.16,0.16,0.17,0.18,0.18,0.18,0.19,0.19,0.19,0.20,0.20,0.20
Czech Republic,MtCO2e,0.23,0.20,0.19,0.20,0.20,0.21,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.20,0.21,0.22,0.21,0.21,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20
Denmark,MtCO2e,0.13,0.13,0.12,0.14,0.15,0.14,0.12,0.13,0.15,0.19,0.24,0.23,0.32,0.30,0.13,0.14,0.14,0.17,0.18,0.16,0.18,0.19,0.19,0.19,0.19,0.20,0.19,0.19,0.19
