IUCN_Category,Species,Country,Value
Total number of known species,Mammals,Australia,380
Total number of indigenous known species,Mammals,Australia,353
Number of endangered species,Mammals,Australia,38
Number of critically endangered species,Mammals,Australia,10
Number of vulnerable species,Mammals,Australia,59
Total number of threatened species,Mammals,Australia,107
Total number of known species,Mammals,Austria,101
Total number of indigenous known species,Mammals,Austria,101
Number of endangered species,Mammals,Austria,6
Number of critically endangered species,Mammals,Austria,4
Number of vulnerable species,Mammals,Austria,17
Total number of threatened species,Mammals,Austria,27
Number of endangered indigenous species,Mammals,Austria,6
Number of critically endangered indigenous species,Mammals,Austria,4
Number of vulnerable indigenous species,Mammals,Austria,17
Total number of known species,Mammals,Belgium,84
Total number of indigenous known species,Mammals,Belgium,65
Number of endangered species,Mammals,Belgium,2
Number of critically endangered species,Mammals,Belgium,4
Number of vulnerable species,Mammals,Belgium,12
Total number of threatened species,Mammals,Belgium,18
Number of endangered indigenous species,Mammals,Belgium,2
Number of critically endangered indigenous species,Mammals,Belgium,4
Number of vulnerable indigenous species,Mammals,Belgium,12
Total number of known species,Mammals,Canada,221
Total number of indigenous known species,Mammals,Canada,209
Number of endangered species,Mammals,Canada,10
Number of vulnerable species,Mammals,Canada,31
Total number of threatened species,Mammals,Canada,52
Number of endangered indigenous species,Mammals,Canada,10
Number of vulnerable indigenous species,Mammals,Canada,31
Total number of known species,Mammals,Czech Republic,95
Total number of indigenous known species,Mammals,Czech Republic,92
Number of endangered species,Mammals,Czech Republic,1
Number of critically endangered species,Mammals,Czech Republic,10
Number of vulnerable species,Mammals,Czech Republic,4
Total number of threatened species,Mammals,Czech Republic,15
Total number of known species,Mammals,Denmark,71
Total number of indigenous known species,Mammals,Denmark,54
Number of endangered species,Mammals,Denmark,2
Number of critically endangered species,Mammals,Denmark,1
Number of vulnerable species,Mammals,Denmark,6
Total number of threatened species,Mammals,Denmark,9
Number of endangered indigenous species,Mammals,Denmark,2
Number of critically endangered indigenous species,Mammals,Denmark,1
Number of vulnerable indigenous species,Mammals,Denmark,6
Total number of known species,Mammals,Finland,75
Total number of indigenous known species,Mammals,Finland,67
Number of endangered species,Mammals,Finland,4
Number of critically endangered species,Mammals,Finland,1
Number of vulnerable species,Mammals,Finland,2
Total number of threatened species,Mammals,Finland,7
Number of endangered indigenous species,Mammals,Finland,4
Number of critically endangered indigenous species,Mammals,Finland,1
Number of vulnerable indigenous species,Mammals,Finland,2
Total number of known species,Mammals,France,125
Number of endangered species,Mammals,France,4
Number of critically endangered species,Mammals,France,3
Number of vulnerable species,Mammals,France,10
Total number of threatened species,Mammals,France,17
Total number of known species,Mammals,Germany,107
Total number of indigenous known species,Mammals,Germany,98
Number of endangered species,Mammals,Germany,10
Number of critically endangered species,Mammals,Germany,7
Number of vulnerable species,Mammals,Germany,22
Total number of threatened species,Mammals,Germany,39
Number of endangered indigenous species,Mammals,Germany,10
Number of critically endangered indigenous species,Mammals,Germany,7
Number of vulnerable indigenous species,Mammals,Germany,22
Total number of known species,Mammals,Greece,115
Total number of indigenous known species,Mammals,Greece,113
Number of endangered species,Mammals,Greece,13
Number of critically endangered species,Mammals,Greece,3
Number of vulnerable species,Mammals,Greece,13
Total number of threatened species,Mammals,Greece,29
Number of endangered indigenous species,Mammals,Greece,13
Number of critically endangered indigenous species,Mammals,Greece,3
Number of vulnerable indigenous species,Mammals,Greece,13
Total number of known species,Mammals,Hungary,87
Total number of indigenous known species,Mammals,Hungary,76
Number of endangered species,Mammals,Hungary,3
Number of critically endangered species,Mammals,Hungary,5
Number of vulnerable species,Mammals,Hungary,6
Total number of threatened species,Mammals,Hungary,14
Number of endangered indigenous species,Mammals,Hungary,3
Number of critically endangered indigenous species,Mammals,Hungary,5
Number of vulnerable indigenous species,Mammals,Hungary,6
Total number of known species,Mammals,Iceland,4
Total number of known species,Mammals,Ireland,57
Total number of indigenous known species,Mammals,Ireland,46
Number of vulnerable species,Mammals,Ireland,1
Total number of threatened species,Mammals,Ireland,1
Total number of known species,Mammals,Italy,126
Number of endangered species,Mammals,Italy,8
Number of critically endangered species,Mammals,Italy,2
Number of vulnerable species,Mammals,Italy,13
Total number of threatened species,Mammals,Italy,23
Total number of known species,Mammals,Japan,160
Number of endangered species,Mammals,Japan,12
Number of critically endangered species,Mammals,Japan,13
Number of vulnerable species,Mammals,Japan,9
Total number of threatened species,Mammals,Japan,34
Total number of known species,Mammals,Korea,125
Total number of indigenous known species,Mammals,Korea,1
Number of endangered species,Mammals,Korea,4
Number of critically endangered species,Mammals,Korea,1
Number of vulnerable species,Mammals,Korea,9
Total number of threatened species,Mammals,Korea,14
Number of endangered indigenous species,Mammals,Korea,0
Number of critically endangered indigenous species,Mammals,Korea,0
Number of vulnerable indigenous species,Mammals,Korea,0
Total number of known species,Mammals,Mexico,564
Total number of indigenous known species,Mammals,Mexico,162
Number of endangered species,Mammals,Mexico,50
Number of critically endangered species,Mammals,Mexico,9
Number of vulnerable species,Mammals,Mexico,91
Total number of threatened species,Mammals,Mexico,150
Number of endangered indigenous species,Mammals,Mexico,20
Number of critically endangered indigenous species,Mammals,Mexico,7
Number of vulnerable indigenous species,Mammals,Mexico,55
Total number of known species,Mammals,Netherlands,53
Number of endangered species,Mammals,Netherlands,3
Number of critically endangered species,Mammals,Netherlands,2
Number of vulnerable species,Mammals,Netherlands,6
Total number of threatened species,Mammals,Netherlands,11
Total number of known species,Mammals,New Zealand,65
Total number of indigenous known species,Mammals,New Zealand,37
Number of endangered indigenous species,Mammals,New Zealand,2
Number of critically endangered indigenous species,Mammals,New Zealand,6
Number of vulnerable indigenous species,Mammals,New Zealand,2
Total number of known species,Mammals,Norway,89
Total number of indigenous known species,Mammals,Norway,73
Number of endangered species,Mammals,Norway,5
Number of critically endangered species,Mammals,Norway,5
Number of vulnerable species,Mammals,Norway,7
Total number of threatened species,Mammals,Norway,17
Number of endangered indigenous species,Mammals,Norway,5
Number of critically endangered indigenous species,Mammals,Norway,5
Number of vulnerable indigenous species,Mammals,Norway,7
Total number of known species,Mammals,Poland,112
Total number of indigenous known species,Mammals,Poland,100
Number of endangered species,Mammals,Poland,10
Number of critically endangered species,Mammals,Poland,2
Number of vulnerable species,Mammals,Poland,1
Total number of threatened species,Mammals,Poland,13
Number of endangered indigenous species,Mammals,Poland,10
Number of critically endangered indigenous species,Mammals,Poland,2
Number of vulnerable indigenous species,Mammals,Poland,1
Total number of known species,Mammals,Portugal,158
Total number of indigenous known species,Mammals,Portugal,108
Number of endangered species,Mammals,Portugal,7
Number of critically endangered species,Mammals,Portugal,11
Number of vulnerable species,Mammals,Portugal,13
Total number of threatened species,Mammals,Portugal,31
Number of endangered indigenous species,Mammals,Portugal,7
Number of critically endangered indigenous species,Mammals,Portugal,11
Number of vulnerable indigenous species,Mammals,Portugal,13
Total number of known species,Mammals,Slovak Republic,90
Total number of indigenous known species,Mammals,Slovak Republic,85
Number of endangered species,Mammals,Slovak Republic,6
Number of critically endangered species,Mammals,Slovak Republic,2
Number of vulnerable species,Mammals,Slovak Republic,12
Total number of threatened species,Mammals,Slovak Republic,20
Number of endangered indigenous species,Mammals,Slovak Republic,6
Number of critically endangered indigenous species,Mammals,Slovak Republic,2
Number of vulnerable indigenous species,Mammals,Slovak Republic,12
Total number of known species,Mammals,Spain,174
Number of endangered species,Mammals,Spain,6
Number of critically endangered species,Mammals,Spain,2
Number of vulnerable species,Mammals,Spain,18
Total number of threatened species,Mammals,Spain,26
Number of endangered indigenous species,Mammals,Spain,6
Number of critically endangered indigenous species,Mammals,Spain,2
Number of vulnerable indigenous species,Mammals,Spain,18
Total number of known species,Mammals,Sweden,65
Total number of indigenous known species,Mammals,Sweden,65
Number of endangered species,Mammals,Sweden,3
Number of critically endangered species,Mammals,Sweden,5
Number of vulnerable species,Mammals,Sweden,6
Total number of threatened species,Mammals,Sweden,14
Number of endangered indigenous species,Mammals,Sweden,3
Number of critically endangered indigenous species,Mammals,Sweden,5
Number of vulnerable indigenous species,Mammals,Sweden,6
Total number of known species,Mammals,Switzerland,93
Total number of indigenous known species,Mammals,Switzerland,81
Number of endangered species,Mammals,Switzerland,13
Number of critically endangered species,Mammals,Switzerland,5
Number of vulnerable species,Mammals,Switzerland,16
Total number of threatened species,Mammals,Switzerland,34
Number of endangered indigenous species,Mammals,Switzerland,13
Number of critically endangered indigenous species,Mammals,Switzerland,5
Number of vulnerable indigenous species,Mammals,Switzerland,16
Total number of known species,Mammals,Turkey,173
Total number of threatened species,Mammals,Turkey,23
Total number of known species,Mammals,United Kingdom,107
Total number of indigenous known species,Mammals,United Kingdom,62
Number of endangered species,Mammals,United Kingdom,4
Number of critically endangered species,Mammals,United Kingdom,2
Number of vulnerable species,Mammals,United Kingdom,5
Total number of threatened species,Mammals,United Kingdom,11
Number of endangered indigenous species,Mammals,United Kingdom,4
Number of critically endangered indigenous species,Mammals,United Kingdom,2
